All clinical codes used by this project.
NB. This file is auto-generated.
Some clinical codes become garbled when opening csv files in MS Excel. This is because Excel attempts to convert them to a number. For example SNOMED codes above 11 digits appear in scientific notation format (1.03e11) while Read codes with a trailing decimal point such as '1371.' lose the '.' and becomes 1371
To get round this we provide the clinical codes in two columns:
- The [Code] column contains the raw values and can be used if this file is viewed in a text editor or processed by statistical software.
- The [ExcelCode] column behaves when opened in Excel and is to be used if the column needs to be copy/pasted

Name,Version,Terminology,Code,ExcelCode,Description
"bmi",1,"ctv3",22K..,22K..,"Body Mass Index"
"bmi",1,"ctv3",22K1.,22K1.,"Body Mass Index normal K/M2"
"bmi",1,"ctv3",22K2.,22K2.,"Body Mass Index high K/M2"
"bmi",1,"ctv3",22K3.,22K3.,"Body Mass Index low K/M2"
"bmi",1,"ctv3",22K4.,22K4.,"Body mass index index 25-29 - overweight"
"bmi",1,"ctv3",22K5.,22K5.,"Body mass index 30+ - obesity"
"bmi",1,"ctv3",X76CO,X76CO,"Quetelet index"
"bmi",1,"ctv3",Xa7wG,Xa7wG,"Observation of body mass index"
"bmi",1,"ctv3",Xaa0k,Xaa0k,"Childhood obesity"
"bmi",1,"ctv3",Xaatm,Xaatm,"Child BMI centile"
"bmi",1,"ctv3",Xabdn,Xabdn,"Down's syndrome BMI centile"
"bmi",1,"ctv3",XabHx,XabHx,"Obese class I (BMI 30.0-34.9)"
"bmi",1,"ctv3",XabHy,XabHy,"Obese class II (BMI 35.0-39.9)"
"bmi",1,"ctv3",XabHz,XabHz,"Obese cls III (BMI eq/gr 40.0)"
"bmi",1,"ctv3",XabSe,XabSe,"Child BMI < 0.4th centile"
"bmi",1,"ctv3",XabSf,XabSf,"Child BMI 0.4th-1.9th centile"
"bmi",1,"ctv3",XabSg,XabSg,"Child BMI on 2nd centile"
"bmi",1,"ctv3",XabSh,XabSh,"Child BMI 3rd-8th centile"
"bmi",1,"ctv3",XabSj,XabSj,"Child BMI on 9th centile"
"bmi",1,"ctv3",XabSk,XabSk,"Child BMI 10th-24th centile"
"bmi",1,"ctv3",XabSl,XabSl,"Child BMI on 25th centile"
"bmi",1,"ctv3",XabSm,XabSm,"Child BMI 26th-49th centile"
"bmi",1,"ctv3",XabSn,XabSn,"Child BMI on 50th centile"
"bmi",1,"ctv3",XabTe,XabTe,"Child BMI on 75th centile"
"bmi",1,"ctv3",XabTf,XabTf,"Child BMI 76th-90th centile"
"bmi",1,"ctv3",XabTg,XabTg,"Child BMI on 91st centile"
"bmi",1,"ctv3",XabTh,XabTh,"Child BMI 92nd-97th centile"
"bmi",1,"ctv3",XabTi,XabTi,"Child BMI on 98th centile"
"bmi",1,"ctv3",XabTj,XabTj,"Child BMI 98.1-99.6 centile"
"bmi",1,"ctv3",XabTk,XabTk,"Child BMI > 99.6th centile"
"bmi",1,"ctv3",XabTZ,XabTZ,"Child BMI 51st-74th centile"
"bmi",1,"ctv3",XaCDR,XaCDR,"Body mass index less than 20"
"bmi",1,"ctv3",XaJJH,XaJJH,"BMI 40+ - severely obese"
"bmi",1,"ctv3",XaJqk,XaJqk,"Body mass index 20-24 - normal"
"bmi",1,"ctv3",XaVwA,XaVwA,"Body mass index centile"
"bmi",1,"ctv3",XaZck,XaZck,"Baseline BMI centile"
"bmi",1,"ctv3",XaZcl,XaZcl,"Baseline body mass index"
"bmi",1,"emis",EMISNQBM1,EMISNQBM1,"BMI centile"
"bmi",1,"readv2",22K..00,22K..00,"Body Mass Index"
"bmi",1,"readv2",22KE.00,22KE.00,"Obese class III (body mass index equal to or greater than 40.0)"
"bmi",1,"readv2",22KD.00,22KD.00,"Obese class II (body mass index 35.0 - 39.9)"
"bmi",1,"readv2",22KC.00,22KC.00,"Obese class I (body mass index 30.0 - 34.9)"
"bmi",1,"readv2",22KB.00,22KB.00,"Baseline body mass index"
"bmi",1,"readv2",22KA.00,22KA.00,"Target body mass index"
"bmi",1,"readv2",22K9.00,22K9.00,"Body mass index centile"
"bmi",1,"readv2",22K9K00,22K9K00,"Down's syndrome body mass index centile"
"bmi",1,"readv2",22K9J00,22K9J00,"Child body mass index greater than 99.6th centile"
"bmi",1,"readv2",22K9H00,22K9H00,"Child body mass index 98.1st-99.6th centile"
"bmi",1,"readv2",22K9G00,22K9G00,"Child body mass index on 98th centile"
"bmi",1,"readv2",22K9F00,22K9F00,"Child body mass index 92nd-97th centile"
"bmi",1,"readv2",22K9E00,22K9E00,"Child body mass index on 91st centile"
"bmi",1,"readv2",22K9D00,22K9D00,"Child body mass index 76th-90th centile"
"bmi",1,"readv2",22K9C00,22K9C00,"Child body mass index on 75th centile"
"bmi",1,"readv2",22K9B00,22K9B00,"Child body mass index 51st-74th centile"
"bmi",1,"readv2",22K9A00,22K9A00,"Child body mass index on 50th centile"
"bmi",1,"readv2",22K9900,22K9900,"Child body mass index 26th-49th centile"
"bmi",1,"readv2",22K9800,22K9800,"Child body mass index on 25th centile"
"bmi",1,"readv2",22K9700,22K9700,"Child body mass index 10th-24th centile"
"bmi",1,"readv2",22K9600,22K9600,"Child body mass index on 9th centile"
"bmi",1,"readv2",22K9500,22K9500,"Child body mass index 3rd-8th centile"
