All clinical codes used by this project.
NB. This file is auto-generated.
Some clinical codes become garbled when opening csv files in MS Excel. This is because Excel attempts to convert them to a number. For example SNOMED codes above 11 digits appear in scientific notation format (1.03e11) while Read codes with a trailing decimal point such as '1371.' lose the '.' and becomes 1371
To get round this we provide the clinical codes in two columns:
- The [Code] column contains the raw values and can be used if this file is viewed in a text editor or processed by statistical software.
- The [ExcelCode] column behaves when opened in Excel and is to be used if the column needs to be copy/pasted

Name,Version,Terminology,Code,ExcelCode,Description
"diabetes",1,"ctv3",C10..,C10..,"DM - Diabetes mellitus"
"diabetes",1,"ctv3",C100.,C100.,"Diabetes mellitus with no mention of complication"
"diabetes",1,"ctv3",C1000,C1000,"Diabetes mellitus, juvenile type, with no mention of complication"
"diabetes",1,"ctv3",C1001,C1001,"Maturity onset diabetes"
"diabetes",1,"ctv3",C100z,C100z,"Diabetes mellitus NOS with no mention of complication"
"diabetes",1,"ctv3",C101.,C101.,"Diabetic ketoacidosis"
"diabetes",1,"ctv3",C1010,C1010,"Diabetes mellitus, juvenile type, with ketoacidosis"
"diabetes",1,"ctv3",C1011,C1011,"Diabetes mellitus, adult onset, with ketoacidosis"
"diabetes",1,"ctv3",C101y,C101y,"Other specified diabetes mellitus with ketoacidosis"
"diabetes",1,"ctv3",C101z,C101z,"Diabetes mellitus NOS with ketoacidosis"
"diabetes",1,"ctv3",C102.,C102.,"Diabetes mellitus with hyperosmolar coma"
"diabetes",1,"ctv3",C1020,C1020,"Diabetes mellitus, juvenile type, with hyperosmolar coma"
"diabetes",1,"ctv3",C1021,C1021,"Diabetes mellitus, adult onset, with hyperosmolar coma"
"diabetes",1,"ctv3",C102z,C102z,"Diabetes mellitus NOS with hyperosmolar coma"
"diabetes",1,"ctv3",C103.,C103.,"Diabetes mellitus with ketoacidotic coma"
"diabetes",1,"ctv3",C1030,C1030,"Diabetes mellitus, juvenile type, with ketoacidotic coma"
"diabetes",1,"ctv3",C1031,C1031,"Diabetes mellitus, adult onset, with ketoacidotic coma"
"diabetes",1,"ctv3",C103y,C103y,"Other specified diabetes mellitus with coma"
"diabetes",1,"ctv3",C103z,C103z,"Diabetes mellitus NOS with ketoacidotic coma"
"diabetes",1,"ctv3",C1040,C1040,"Diabetes mellitus, juvenile type, with renal manifestation"
"diabetes",1,"ctv3",C1041,C1041,"Diabetes mellitus, adult onset, with renal manifestation"
"diabetes",1,"ctv3",C104y,C104y,"Other specified diabetes mellitus with renal complications"
"diabetes",1,"ctv3",C104z,C104z,"Diabetes mellitus with nephropathy NOS"
"diabetes",1,"ctv3",C105.,C105.,"Diabetes mellitus with ophthalmic manifestation"
"diabetes",1,"ctv3",C1050,C1050,"Diabetes mellitus, juvenile type, with ophthalmic manifestation"
"diabetes",1,"ctv3",C1051,C1051,"Diabetes mellitus, adult onset, with ophthalmic manifestation"
"diabetes",1,"ctv3",C105y,C105y,"Other specified diabetes mellitus with ophthalmic complications"
"diabetes",1,"ctv3",C105z,C105z,"Diabetes mellitus NOS with ophthalmic manifestation"
"diabetes",1,"ctv3",C1060,C1060,"Diabetes mellitus, juvenile type, with neurological manifestation"
"diabetes",1,"ctv3",C1061,C1061,"Diabetes mellitus, adult onset, with neurological manifestation"
"diabetes",1,"ctv3",C106y,C106y,"Other specified diabetes mellitus with neurological complications"
