All clinical codes used by this project.
NB. This file is auto-generated.
Some clinical codes become garbled when opening csv files in MS Excel. This is because Excel attempts to convert them to a number. For example SNOMED codes above 11 digits appear in scientific notation format (1.03e11) while Read codes with a trailing decimal point such as '1371.' lose the '.' and becomes 1371
To get round this we provide the clinical codes in two columns:
- The [Code] column contains the raw values and can be used if this file is viewed in a text editor or processed by statistical software.
- The [ExcelCode] column behaves when opened in Excel and is to be used if the column needs to be copy/pasted

Name,Version,Terminology,Code,ExcelCode,Description
"hypertension",1,"ctv3",G24..,G24..,"Secondary hypertension"
"hypertension",1,"ctv3",G240.,G240.,"Malignant secondary hypertension"
"hypertension",1,"ctv3",G241.,G241.,"Secondary benign hypertension"
"hypertension",1,"ctv3",G244.,G244.,"Hypertension secondary to endocrine disorders"
"hypertension",1,"ctv3",G24z.,G24z.,"Secondary hypertension NOS"
"hypertension",1,"ctv3",Gyu20,Gyu20,"[X]Other secondary hypertension"
"hypertension",1,"ctv3",Gyu21,Gyu21,"[X]Hypertension secondary to other renal disorders"
"hypertension",1,"ctv3",Xa0kX,Xa0kX,"Hypertension due to renovascular disease"
"hypertension",1,"ctv3",XE0Ub,XE0Ub,"Systemic arterial hypertension"
"hypertension",1,"ctv3",G2400,G2400,"Secondary malignant renovascular hypertension"
"hypertension",1,"ctv3",G240z,G240z,"Secondary malignant hypertension NOS"
"hypertension",1,"ctv3",G2410,G2410,"Secondary benign renovascular hypertension"
"hypertension",1,"ctv3",G241z,G241z,"Secondary benign hypertension NOS"
"hypertension",1,"ctv3",G24z0,G24z0,"Secondary renovascular hypertension NOS"
"hypertension",1,"ctv3",G20..,G20..,"Primary hypertension"
"hypertension",1,"ctv3",G202.,G202.,"Systolic hypertension"
"hypertension",1,"ctv3",G20z.,G20z.,"Essential hypertension NOS"
"hypertension",1,"ctv3",XE0Uc,XE0Uc,"Primary hypertension"
"hypertension",1,"ctv3",XE0W8,XE0W8,"Hypertension"
"hypertension",1,"ctv3",XSDSb,XSDSb,"Diastolic hypertension"
"hypertension",1,"ctv3",Xa0Cs,Xa0Cs,"Labile hypertension"
"hypertension",1,"ctv3",Xa3fQ,Xa3fQ,"Malignant hypertension"
"hypertension",1,"ctv3",XaZWm,XaZWm,"Stage 1 hypertension"
"hypertension",1,"ctv3",XaZWn,XaZWn,"Severe hypertension"
"hypertension",1,"ctv3",XaZbz,XaZbz,"Stage 2 hypertension (NICE - National Institute for Health and Clinical Excellence 2011)"
"hypertension",1,"ctv3",XaZzo,XaZzo,"Nocturnal hypertension"
"hypertension",1,"ctv3",G2...,G2...,"Hypertensive disease"
"hypertension",1,"ctv3",G200.,G200.,"Malignant essential hypertension"
"hypertension",1,"ctv3",G201.,G201.,"Benign essential hypertension"
"hypertension",1,"ctv3",XE0Ud,XE0Ud,"Essential hypertension NOS"
"hypertension",1,"ctv3",Xa41E,Xa41E,"Maternal hypertension"
"hypertension",1,"ctv3",Xab9L,Xab9L,"Stage 1 hypertension (NICE 2011) without evidence of end organ damage"
"hypertension",1,"ctv3",Xab9M,Xab9M,"Stage 1 hypertension (NICE 2011) with evidence of end organ damage"
"hypertension",1,"ctv3",G2y..,G2y..,"Other specified hypertensive disease"
"hypertension",1,"ctv3",G2z..,G2z..,"Hypertensive disease NOS"
"hypertension",1,"ctv3",Gyu2.,Gyu2.,"[X]Hypertensive diseases"
"hypertension",1,"ctv3",XM19D,XM19D,"[EDTA] Renal vascular disease due to hypertension (no primary renal disease) associated with renal failure"
"hypertension",1,"ctv3",XM19E,XM19E,"[EDTA] Renal vascular disease due to malignant hypertension (no primary renal disease) associated with renal failure"
"hypertension",1,"emis",EMISNQST25,EMISNQST25,"Stage 2 hypertension"
"hypertension",1,"emis",^ESCTMA364280,^ESCTMA364280,"Malignant hypertension"
"hypertension",1,"emis",EMISNQST25,EMISNQST25,"Stage 2 hypertension"
"hypertension",1,"readv2",G2...11,G2...11,"BP - hypertensive disease"
"hypertension",1,"readv2",G2...00,G2...00,"Hypertensive disease"
"hypertension",1,"readv2",G2z..00,G2z..00,"Hypertensive disease NOS"
"hypertension",1,"readv2",G2y..00,G2y..00,"Other specified hypertensive disease"
"hypertension",1,"readv2",G28..00,G28..00,"Stage 2 hypertension (NICE - National Institute for Health and Clinical Excellence 2011)"
"hypertension",1,"readv2",G26..00,G26..00,"Severe hypertension (NICE - National Institute for Health and Clinical Excellence 2011)"
