All clinical codes used by this project.
NB. This file is auto-generated.
Some clinical codes become garbled when opening csv files in MS Excel. This is because Excel attempts to convert them to a number. For example SNOMED codes above 11 digits appear in scientific notation format (1.03e11) while Read codes with a trailing decimal point such as '1371.' lose the '.' and becomes 1371
To get round this we provide the clinical codes in two columns:
- The [Code] column contains the raw values and can be used if this file is viewed in a text editor or processed by statistical software.
- The [ExcelCode] column behaves when opened in Excel and is to be used if the column needs to be copy/pasted

Name,Version,Terminology,Code,ExcelCode,Description
"selfharm-episodes",1,"ctv3",SL521,SL521,"Paracetamol poisoning"
"selfharm-episodes",1,"ctv3",SL51.,SL51.,"Salicylate poisoning"
"selfharm-episodes",1,"ctv3",SL510,SL510,"Aspirin poisoning"
"selfharm-episodes",1,"ctv3",SL505,SL505,"Morphine poisoning"
"selfharm-episodes",1,"ctv3",SL5y.,SL5y.,"Other analg/antipyr.poisoning"
"selfharm-episodes",1,"ctv3",SL542,SL542,"Ibuprofen poisoning"
"selfharm-episodes",1,"ctv3",SL543,SL543,"Naproxen poisoning"
"selfharm-episodes",1,"ctv3",SL70.,SL70.,"Barbiturate poisoning"
"selfharm-episodes",1,"ctv3",SL90.,SL90.,"Poisoning - antidepress drug"
"selfharm-episodes",1,"ctv3",SL900,SL900,"Amitriptyline poisoning"
"selfharm-episodes",1,"ctv3",SL902,SL902,"Poisoning-MOAI antidepres drug"
"selfharm-episodes",1,"ctv3",SL920,SL920,"Haloperidol poisoning"
"selfharm-episodes",1,"ctv3",SL94.,SL94.,"Benzodiazepine poisoning"
"selfharm-episodes",1,"ctv3",SL93.,SL93.,"Other antipsychotics poisoning"
"selfharm-episodes",1,"ctv3",SL9y.,SL9y.,"Other psychotropic poisoning"
"selfharm-episodes",1,"ctv3",SLC02,SLC02,"Propranolol poisoning"
"selfharm-episodes",1,"ctv3",SLHyz,SLHyz,"Other drug/medic.poisoning NOS"
"selfharm-episodes",1,"ctv3",SLHz.,SLHz.,"Drug/medicament poisoning NOS"
"selfharm-episodes",1,"ctv3",SL70z,SL70z,"Barbiturate poisoning NOS"
"selfharm-episodes",1,"ctv3",SLz..,SLz..,"Drug/medicam./biol.poison.NOS"
"selfharm-episodes",1,"ctv3",T....,T....,"Causes of injury and poisoning"
"selfharm-episodes",1,"ctv3",TK0z.,TK0z.,"Suicide + selfinflicted poisoning by solid/liquid subst NOS"
"selfharm-episodes",1,"ctv3",TKz..,TKz..,"Suicide and selfinflicted injury NOS"
"selfharm-episodes",1,"ctv3",TKx..,TKx..,"Suicide and selfinflicted injury by other means"
"selfharm-episodes",1,"ctv3",TKx01,TKx01,"Suicide + selfinflicted injury-lying before moving object"
"selfharm-episodes",1,"ctv3",TK02.,TK02.,"Suicide + selfinflicted poisoning by oth sedatives/hypnotics"
"selfharm-episodes",1,"ctv3",TK03.,TK03.,"Suicide + selfinflicted poisoning tranquilliser/psychotropic"
"selfharm-episodes",1,"ctv3",TK04.,TK04.,"Suicide + selfinflicted poisoning by other drugs/medicines"
"selfharm-episodes",1,"ctv3",TK00.,TK00.,"Suicide + selfinflicted poisoning by analgesic/antipyretic"
"selfharm-episodes",1,"ctv3",TK07.,TK07.,"Self poisoning by corrosive or caustic substance"
"selfharm-episodes",1,"ctv3",TK21.,TK21.,"Suicide and selfinflicted poisoning by other carbon monoxide"
"selfharm-episodes",1,"ctv3",TK1y.,TK1y.,"Suicide and selfinflicted poisoning by other utility gas"
"selfharm-episodes",1,"ctv3",TK20.,TK20.,"Self poisoning by motor vehicle exhaust gas"
"selfharm-episodes",1,"ctv3",TK3y.,TK3y.,"Suicide + selfinflicted inj oth mean hang/strangle/suffocate"
"selfharm-episodes",1,"ctv3",TK30.,TK30.,"Suicide or attempted suicide by hanging"
"selfharm-episodes",1,"ctv3",TK50.,TK50.,"Suicide or selfinflicted injury by handgun"
"selfharm-episodes",1,"ctv3",TK6..,TK6..,"Suicide or selfinflicted injury by cutting and stabbing"
"selfharm-episodes",1,"ctv3",TK60.,TK60.,"Suicide or selfinflicted injury by cutting"
"selfharm-episodes",1,"ctv3",TK601,TK601,"Self inflicted lacerations to wrist"
"selfharm-episodes",1,"ctv3",TK61.,TK61.,"Suicide or selfinflicted injury by stabbing"
"selfharm-episodes",1,"ctv3",TK7..,TK7..,"Suicide or self injury by jumping from a height"
"selfharm-episodes",1,"ctv3",TK7z.,TK7z.,"Suicide+selfinflicted injury-jump from high place NOS"
"selfharm-episodes",1,"ctv3",TK70.,TK70.,"Suicide+selfinflicted injury-jump from residential premises"
"selfharm-episodes",1,"ctv3",TKx5.,TKx5.,"Suicide or selfinflicted injury by crashing motor vehicle"
"selfharm-episodes",1,"ctv3",TKx1.,TKx1.,"Suicide or self injury by burning or fire"
"selfharm-episodes",1,"ctv3",TKx2.,TKx2.,"Suicide or self injury by scalding"
"selfharm-episodes",1,"ctv3",TN6z.,TN6z.,"""Injury ?accidental, by cutting or stabbing instrument NOS"""
"selfharm-episodes",1,"ctv3",TN60.,TN60.,"Injury of unknown intent by cutting instrument"
"selfharm-episodes",1,"ctv3",TN61.,TN61.,"Injury of unknown intent by stabbing instrument"
"selfharm-episodes",1,"ctv3",TN84.,TN84.,"Injury of unknown intent by electrocution"
"selfharm-episodes",1,"ctv3",TK0..,TK0..,"Suicide + selfinflicted poisoning by solid/liquid substances"
"selfharm-episodes",1,"ctv3",ZV1B2,ZV1B2,"[V]Personal history of self-harm"
"selfharm-episodes",1,"ctv3",SyuF.,SyuF.,"[X]Poisoning by drugs and biological substances"
"selfharm-episodes",1,"ctv3",SyuFL,SyuFL,"[X]Poisoning by oth & unspec antipsychotics & neuroleptics"
"selfharm-episodes",1,"ctv3",SyuFc,SyuFc,"[X]Poisoning by oth & unspecif drugs & biologic substances"
"selfharm-episodes",1,"ctv3",U200.,U200.,"[X]Intent self poison/exposure to nonopioid analgesic"
"selfharm-episodes",1,"ctv3",U2000,U2000,"[X]Int self poison/exposure to nonopioid analgesic at home"
"selfharm-episodes",1,"ctv3",U2006,U2006,"[X]Int self pois nonopioid analgesic indust/construct area"
"selfharm-episodes",1,"ctv3",U202.,U202.,"[X]Intent self poison/exposure to sedative hypnotic"
"selfharm-episodes",1,"ctv3",U2020,U2020,"[X]Int self poison/exposure to sedative hypnotic at home"
"selfharm-episodes",1,"ctv3",U204.,U204.,"[X]Intent self poison/exposure to psychotropic drug"
"selfharm-episodes",1,"ctv3",U2047,U2047,"[X]Int self poison/exposure to psychotropic drug on farm"
"selfharm-episodes",1,"ctv3",U204z,U204z,"[X]Intent self poison psychotropic drug unspecif place"
"selfharm-episodes",1,"ctv3",U205y,U205y,"[X]Int self poison narcotic drug other spec place"
"selfharm-episodes",1,"ctv3",U208.,U208.,"[X]Int self poison/exposure to other/unspec drug/medicament"
"selfharm-episodes",1,"ctv3",U2080,U2080,"[X]Int self poison/exposure to oth/unsp drug/medicam home"
"selfharm-episodes",1,"ctv3",U208y,U208y,"[X]Int self poison oth/unsp drug/medic other spec place"
"selfharm-episodes",1,"ctv3",U209.,U209.,"[X]Intentional self poisoning by and exposure to alcohol"
"selfharm-episodes",1,"ctv3",U2090,U2090,"[X]Int self poison/exposure to alcohol at home"
"selfharm-episodes",1,"ctv3",U2094,U2094,"[X]Intent self pois alcohol in street/highway"
"selfharm-episodes",1,"ctv3",U209z,U209z,"[X]Intent self poison alcohol unspecif place"
"selfharm-episodes",1,"ctv3",U20A.,U20A.,"""[X]Intentional self poison organ solvent,halogen hydrocarb"""
"selfharm-episodes",1,"ctv3",U20B0,U20B0,"[X]Int self poison/exposure to other gas/vapour at home"
"selfharm-episodes",1,"ctv3",U20y.,U20y.,"[X]Intent self poison/exposure to unspecif chemical"
"selfharm-episodes",1,"ctv3",U20yy,U20yy,"[X]Int self poison unspecif chemical other spec place"
"selfharm-episodes",1,"ctv3",U21..,U21..,"[X]Intent self harm by hanging strangulation / suffocation"
"selfharm-episodes",1,"ctv3",U210.,U210.,"[X]Intent self harm by hanging strangulat/suffocat occ home"
"selfharm-episodes",1,"ctv3",U211.,U211.,"[X]Intent self harm by hangng strangult/suffoct resid instit"
"selfharm-episodes",1,"ctv3",U213.,U213.,"[X]Intent self harm by hang strangl/suffc sport/athlet area"
"selfharm-episodes",1,"ctv3",U214.,U214.,"[X]Intent self harm by hangng strangult/suffoct street/h'way"
"selfharm-episodes",1,"ctv3",U21z.,U21z.,"[X]Intent self harm by hangng strangul/suffoct unspecif plce"
"selfharm-episodes",1,"ctv3",U22..,U22..,"[X]Intentional self harm by drowning and submersion"
"selfharm-episodes",1,"ctv3",U22z.,U22z.,"[X]Intent self harm by drown/submersn occ unspecified place"
"selfharm-episodes",1,"ctv3",U26..,U26..,"[X]Intentional self harm by explosive material"
