All clinical codes used by this project.
NB. This file is auto-generated.
Some clinical codes become garbled when opening csv files in MS Excel. This is because Excel attempts to convert them to a number. For example SNOMED codes above 11 digits appear in scientific notation format (1.03e11) while Read codes with a trailing decimal point such as '1371.' lose the '.' and becomes 1371
To get round this we provide the clinical codes in two columns:
- The [Code] column contains the raw values and can be used if this file is viewed in a text editor or processed by statistical software.
- The [ExcelCode] column behaves when opened in Excel and is to be used if the column needs to be copy/pasted

Name,Version,Terminology,Code,ExcelCode,Description
"chronic-pancreatitis",1,"ctv3",Jyu84,Jyu84,"[X]Other chronic pancreatitis"
"chronic-pancreatitis",1,"ctv3",XaLov,XaLov,"History of chronic pancreatitis"
"chronic-pancreatitis",1,"ctv3",X308v,X308v,"Alcohol-induced chronic pancreatitis"
"chronic-pancreatitis",1,"ctv3",J671.,J671.,"CP - Chronic pancreatitis"
"chronic-pancreatitis",1,"ctv3",J671.,J671.,"Chronic pancreatitis"
"chronic-pancreatitis",1,"ctv3",Xa7na,Xa7na,"Calcific chronic pancreatitis"
"chronic-pancreatitis",1,"ctv3",X308u,X308u,"Gallstone chronic pancreatitis"
"chronic-pancreatitis",1,"ctv3",X308w,X308w,"Idiopathic chronic pancreatitis"
"chronic-pancreatitis",1,"ctv3",X308x,X308x,"Obstructive chronic pancreatitis"
"chronic-pancreatitis",1,"ctv3",X308y,X308y,"Drug-induced chronic pancreatitis"
"chronic-pancreatitis",1,"ctv3",X308z,X308z,"Familial chronic pancreatitis"
"chronic-pancreatitis",1,"ctv3",X308z,X308z,"Hereditary chronic pancreatitis"
"chronic-pancreatitis",1,"emis",^ESCTCA588800,^ESCTCA588800,"Calcific chronic pancreatitis"
"chronic-pancreatitis",1,"emis",^ESCTCH508775,^ESCTCH508775,"Chronic pancreatitis due to acute alcohol intoxication"
"chronic-pancreatitis",1,"emis",^ESCTCP508106,^ESCTCP508106,"CP - Chronic pancreatitis"
"chronic-pancreatitis",1,"emis",^ESCTDR508778,^ESCTDR508778,"Drug-induced chronic pancreatitis"
"chronic-pancreatitis",1,"emis",^ESCTFA508779,^ESCTFA508779,"Familial chronic pancreatitis"
"chronic-pancreatitis",1,"emis",^ESCTHE508780,^ESCTHE508780,"Hereditary chronic pancreatitis"
"chronic-pancreatitis",1,"emis",^ESCTID508776,^ESCTID508776,"Idiopathic chronic pancreatitis"
"chronic-pancreatitis",1,"emis",^ESCTOB508777,^ESCTOB508777,"Obstructive chronic pancreatitis"
"chronic-pancreatitis",1,"readv2",14CH.,14CH.,"History of chronic pancreatitis"
"chronic-pancreatitis",1,"readv2",J671.,J671.,"Chronic pancreatitis"
"chronic-pancreatitis",1,"readv2",J6710,J6710,"Alcohol-induced chronic pancreatitis"
"chronic-pancreatitis",1,"readv2",J6711,J6711,"Gallstone chronic pancreatitis"
"chronic-pancreatitis",1,"readv2",Jyu84,Jyu84,"[X]Other chronic pancreatitis"
"chronic-pancreatitis",1,"snomed",235494005,"=""235494005""","Chronic pancreatitis (disorder)"
"chronic-pancreatitis",1,"snomed",235951009,"=""235951009""","Gallstone chronic pancreatitis (disorder)"
"chronic-pancreatitis",1,"snomed",235952002,"=""235952002""","Alcohol-induced chronic pancreatitis (disorder)"
"chronic-pancreatitis",1,"snomed",235953007,"=""235953007""","Idiopathic chronic pancreatitis (disorder)"
"chronic-pancreatitis",1,"snomed",235954001,"=""235954001""","Obstructive chronic pancreatitis (disorder)"
"chronic-pancreatitis",1,"snomed",235955000,"=""235955000""","Drug-induced chronic pancreatitis (disorder)"
"chronic-pancreatitis",1,"snomed",235956004,"=""235956004""","Familial chronic pancreatitis (disorder)"
"chronic-pancreatitis",1,"snomed",247431000000103,"=""247431000000103""","History of chronic pancreatitis (context-dependent category)"
"chronic-pancreatitis",1,"snomed",301009006,"=""301009006""","Calcific chronic pancreatitis (disorder)"
