Cluster SNOMED_Code	Description	Frequency_In_GP_Medications
Prednisolone	39722711000001103	Prednisolone 5mg soluble tablets	209974
Prednisolone	355311000001102	Deltastab 25mg/1ml suspension for injection ampoules	58
Prednisolone	36021411000001107	Prednisolone 25mg/1ml suspension for injection ampoules	8
Prednisolone	965911000001100	Prednisolone 5mg soluble tablets	0
Prednisolone	245011000001108	Prednisolone 5mg soluble tablets	0
Prednisolone	1438111000001102	Prednisolone 5mg soluble tablets	0
Prednisolone	157711000001100	Prednisolone 5mg soluble tablets	0
Prednisolone	1438211000001108	Prednisolone 5mg soluble tablets	0
Prednisolone	392511000001108	Prednisolone 5mg soluble tablets	0
Prednisolone	1438311000001100	Prednisolone 5mg soluble tablets	0
Prednisolone	15172311000001102	Prednisolone 5mg soluble tablets	0
Prednisolone	15172611000001107	Prednisolone 5mg soluble tablets	0
Prednisolone	28937511000001104	Prednisolone 5mg soluble tablets	0
Prednisolone	28937611000001100	Prednisolone 5mg soluble tablets	0
Prednisolone	30114611000001103	Prednisolone 5mg soluble tablets	0
Prednisolone	30114711000001107	Prednisolone 5mg soluble tablets	0
Prednisolone	34035411000001102	Prednisolone 5mg soluble tablets	0
Prednisolone	34035511000001103	Prednisolone 5mg soluble tablets	0
Prednisolone	34172711000001106	Prednisolone 5mg soluble tablets	0
Prednisolone	34172911000001108	Prednisolone 5mg soluble tablets	0
Prednisolone	39179711000001104	Prednisolone 5mg soluble tablets	0
Prednisolone	39179811000001107	Prednisolone 5mg soluble tablets	0
Prednisolone	1002611000001105	Prednisolone 25mg/1ml suspension for injection ampoules	0
Prednisolone	2760811000001108	Deltastab 25mg/1ml suspension for injection ampoules	0
Prednisolone	42848511000001102	Prednisolone 5mg soluble tablets (Novumgen Ltd) (product)	0
Prednisolone	37727411000001103	Prednisolone 5mg soluble tablets (Pilsco Ltd)	0
Prednisolone	13078711000001102	Prednisolone 15mg/5ml oral solution (product)	0
Prednisolone	325444003	Prednisolone 5mg soluble tablets	0
Prednisolone	13078811000001105	Prednisolone 15mg/5ml oral suspension (product)	0
Prednisolone	28995411000001102	Prednisolone 1mg/ml oral solution (Logixx Pharma Solutions Ltd) (product)	0
Prednisolone	31386211000001109	Prednisolone Dompe 5mg/5ml oral solution unit dose (Logixx Pharma Solutions Ltd) (product)	0
Prednisolone	13078511000001107	Prednisolone 10mg/5ml oral solution (product)	0
Prednisolone	13133211000001106	Prednisolone 5mg/5ml oral suspension (product)	0
Immunosuppresion (Mycophenolate mofetil)	375704006	Mycophenolate mofetil 200mg/mL suspension (product)	0
Immunosuppresion (Mycophenolate mofetil)	375781000	Mycophenolate mofetil 500mg/vial injection (product)	0
Immunosuppresion (Mycophenolate mofetil)	395277006	Mycophenolate mofetil 1g/5mL oral suspension (product)	0
Immunosuppresion (Mycophenolate mofetil)	400290004	Mycophenolate mofetil 500mg/vial powder for injection 20mL vial (product)	0
Immunosuppresion (Mycophenolate mofetil)	409332002	Mycophenolic acid 180mg m/r capsule (product)	0
Immunosuppresion (Mycophenolate mofetil)	409333007	Mycophenolic acid 360mg m/r capsule (product)	0
Immunosuppresion (Mycophenolate mofetil)	42760011000001103	Mycophenolate mofetil 1g/5ml oral suspension sugar free 160 ml (product)	0
