All clinical codes used by this project.
NB. This file is auto-generated.
Some clinical codes become garbled when opening csv files in MS Excel. This is because Excel attempts to convert them to a number. For example SNOMED codes above 11 digits appear in scientific notation format (1.03e11) while Read codes with a trailing decimal point such as '1371.' lose the '.' and becomes 1371
To get round this we provide the clinical codes in two columns:
- The [Code] column contains the raw values and can be used if this file is viewed in a text editor or processed by statistical software.
- The [ExcelCode] column behaves when opened in Excel and is to be used if the column needs to be copy/pasted

Name,Version,Terminology,Code,ExcelCode,Description
"sle",1,"ctv3",F3710,F3710,"Polyneuropathy in disseminated lupus erythematosus"
"sle",1,"ctv3",F3961,F3961,"Myopathy due to disseminated lupus erythematosus"
"sle",1,"ctv3",H57y4,H57y4,"Lung disease with systemic lupus erythematosus"
"sle",1,"ctv3",K01x4,K01x4,"(Nephr synd in system lupus erythemat) or (lupus nephritis]"
"sle",1,"ctv3",M154.,M154.,"Lupus erythematosus"
"sle",1,"ctv3",M1540,M1540,"Lupus erythematosus chronicus"
"sle",1,"ctv3",M1542,M1542,"Lupus erythematosus migrans"
"sle",1,"ctv3",M1543,M1543,"Lupus erythematosus nodularis"
"sle",1,"ctv3",M1544,M1544,"Lupus erythematosus profundus"
"sle",1,"ctv3",M1546,M1546,"Lupus erythematosus unguium mutilans"
"sle",1,"ctv3",M154z,M154z,"Lupus erythematosus NOS"
"sle",1,"ctv3",N000.,N000.,"Systemic lupus erythematosus"
"sle",1,"ctv3",N0002,N0002,"Drug-induced systemic lupus erythematosus"
"sle",1,"ctv3",N000z,N000z,"Systemic lupus erythematosus NOS"
"sle",1,"ctv3",Nyu43,Nyu43,"[X]Other forms of systemic lupus erythematosus"
"sle",1,"ctv3",X00Dx,X00Dx,"Cerebral lupus"
"sle",1,"ctv3",X30Kn,X30Kn,"Lupus nephritis - WHO Class I"
"sle",1,"ctv3",X30Ko,X30Ko,"Lupus nephritis - WHO Class II"
"sle",1,"ctv3",X30Kp,X30Kp,"Lupus nephritis - WHO Class III"
"sle",1,"ctv3",X30Kq,X30Kq,"Lupus nephritis - WHO Class IV"
"sle",1,"ctv3",X30Kr,X30Kr,"Lupus nephritis - WHO Class V"
"sle",1,"ctv3",X30Ks,X30Ks,"Lupus nephritis - WHO Class VI"
"sle",1,"ctv3",X50Ew,X50Ew,"Lupus erythematosus and erythema multiforme-like syndrome"
"sle",1,"ctv3",X50Ez,X50Ez,"Chilblain lupus erythematosus"
"sle",1,"ctv3",X704W,X704W,"Limited lupus erythematosus"
"sle",1,"ctv3",X704X,X704X,"Systemic lupus erythematosus with organ/system involvement"
"sle",1,"ctv3",X704a,X704a,"Lupus panniculitis"
"sle",1,"ctv3",X704b,X704b,"Bullous systemic lupus erythematosus"
"sle",1,"ctv3",X704c,X704c,"Systemic lupus erythematosus with multisystem involvement"
"sle",1,"ctv3",X704g,X704g,"Neonatal lupus erythematosus"
"sle",1,"ctv3",XE0da,XE0da,"Lupus nephritis"
"sle",1,"ctv3",XM197,XM197,"[EDTA] Lupus erythematosus associated with renal failure"
"sle",1,"ctv3",XaBE1,XaBE1,"Renal tubulo-interstitial disord in systemic lupus erythemat"
"sle",1,"ctv3",XaC1J,XaC1J,"Systemic lupus erythematosus with pericarditis"
"sle",1,"ctv3",X0046,X0046,"Chorea in systemic lupus erythematosus"
"sle",1,"ctv3",X1038,X1038,"Lupus pneumonia"
"sle",1,"ctv3",X705w,X705w,"Lupus vasculitis"
"sle",1,"emis",^ESCTBU514089,^ESCTBU514089,"Bullous systemic lupus erythematosus"
"sle",1,"emis",^ESCTCE406029,^ESCTCE406029,"Cerebral systemic lupus erythematosus"
"sle",1,"emis",^ESCTCH512810,^ESCTCH512810,"Chilblain lupus erythematosus"
"sle",1,"emis",^ESCTLE480559,^ESCTLE480559,"LE - Lupus erythematosus"
"sle",1,"emis",^ESCTLI514085,^ESCTLI514085,"Limited lupus erythematosus"
"sle",1,"emis",^ESCTLU257360,^ESCTLU257360,"Lupus nephritis - WHO Class II"
"sle",1,"emis",^ESCTLU267516,^ESCTLU267516,"Lupus with glomerular sclerosis"
"sle",1,"emis",^ESCTLU267517,^ESCTLU267517,"Lupus nephritis - WHO Class VI"
"sle",1,"emis",^ESCTLU273907,^ESCTLU273907,"Lupus profundus"
"sle",1,"emis",^ESCTLU308669,^ESCTLU308669,"Lupus nephritis - WHO Class IV"
"sle",1,"emis",^ESCTLU334360,^ESCTLU334360,"Lupus nephritis - WHO Class V"
"sle",1,"emis",^ESCTLU369178,^ESCTLU369178,"Lupus nephritis - WHO Class I"
"sle",1,"emis",^ESCTLU374466,^ESCTLU374466,"Lupus nephritis - WHO Class III"
"sle",1,"emis",^ESCTLU406027,^ESCTLU406027,"Lupus encephalopathy"
"sle",1,"emis",^ESCTLU480560,^ESCTLU480560,"Lupus"
"sle",1,"emis",^ESCTLU512806,^ESCTLU512806,"Lupus erythematosus and erythema multiforme-like syndrome"
"sle",1,"emis",^ESCTLU514088,^ESCTLU514088,"Lupus panniculitis"
"sle",1,"emis",^ESCTME334359,^ESCTME334359,"Membranous lupus glomerulonephritis"
"sle",1,"emis",^ESCTNE405966,^ESCTNE405966,"Neonatal lupus"
"sle",1,"emis",^ESCTRO512807,^ESCTRO512807,"Rowell's syndrome"
"sle",1,"emis",^ESCTSK514086,^ESCTSK514086,"Skin and joint lupus"
"sle",1,"emis",^ESCTSL257358,^ESCTSL257358,"SLE glomerulonephritis syndrome, WHO class II"
"sle",1,"emis",^ESCTSL257359,^ESCTSL257359,"SLE with mesangial proliferative glomerulonephritis"
"sle",1,"emis",^ESCTSL267514,^ESCTSL267514,"SLE glomerulonephritis syndrome, WHO class VI"
"sle",1,"emis",^ESCTSL267515,^ESCTSL267515,"SLE with advanced sclerosing glomerulonephritis"
"sle",1,"emis",^ESCTSL308667,^ESCTSL308667,"SLE glomerulonephritis syndrome, WHO class IV"
"sle",1,"emis",^ESCTSL308668,^ESCTSL308668,"SLE with diffuse proliferative glomerulonephritis"
"sle",1,"emis",^ESCTSL334357,^ESCTSL334357,"SLE glomerulonephritis syndrome, WHO class V"
"sle",1,"emis",^ESCTSL334358,^ESCTSL334358,"SLE with membranous glomerulonephritis"
"sle",1,"emis",^ESCTSL340060,^ESCTSL340060,"SLE - Systemic lupus erythematosus"
"sle",1,"emis",^ESCTSL361922,^ESCTSL361922,"SLE glomerulonephritis syndrome"
"sle",1,"emis",^ESCTSL369176,^ESCTSL369176,"SLE glomerulonephritis syndrome, WHO class I"
"sle",1,"emis",^ESCTSL369177,^ESCTSL369177,"SLE with normal kidneys"
"sle",1,"emis",^ESCTSL374464,^ESCTSL374464,"SLE glomerulonephritis syndrome, WHO class III"
"sle",1,"emis",^ESCTSL374465,^ESCTSL374465,"SLE with focal AND segmental proliferative glomerulonephritis"
"sle",1,"emis",^ESCTSY257361,^ESCTSY257361,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class II"
"sle",1,"emis",^ESCTSY257362,^ESCTSY257362,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class II"
"sle",1,"emis",^ESCTSY257363,^ESCTSY257363,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class II"
"sle",1,"emis",^ESCTSY267518,^ESCTSY267518,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class VI"
"sle",1,"emis",^ESCTSY267519,^ESCTSY267519,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class VI"
"sle",1,"emis",^ESCTSY267520,^ESCTSY267520,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class VI"
"sle",1,"emis",^ESCTSY308670,^ESCTSY308670,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class IV"
"sle",1,"emis",^ESCTSY308671,^ESCTSY308671,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class IV"
"sle",1,"emis",^ESCTSY308672,^ESCTSY308672,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class IV"
"sle",1,"emis",^ESCTSY334361,^ESCTSY334361,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class V"
"sle",1,"emis",^ESCTSY334362,^ESCTSY334362,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class V"
"sle",1,"emis",^ESCTSY334363,^ESCTSY334363,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class V"
"sle",1,"emis",^ESCTSY361924,^ESCTSY361924,"Systemic lupus erythematosus glomerulonephritis syndrome"
"sle",1,"emis",^ESCTSY369179,^ESCTSY369179,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class I"
"sle",1,"emis",^ESCTSY369180,^ESCTSY369180,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class I"
"sle",1,"emis",^ESCTSY369181,^ESCTSY369181,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class I"
"sle",1,"emis",^ESCTSY374467,^ESCTSY374467,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization (WHO) class III"
"sle",1,"emis",^ESCTSY374468,^ESCTSY374468,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organisation (WHO) class III"
