"antiphospholipid-syndrome",1,"readv2","43GE1","Lupus anticoagulant positive"
"antiphospholipid-syndrome",1,"readv2","43GE100","Lupus anticoagulant positive"
"antiphospholipid-syndrome",1,"readv2","N006.","Antiphospholipid syndrome"
"antiphospholipid-syndrome",1,"readv2","N006.00","Antiphospholipid syndrome"
"bone-infection",1,"readv2","N010.","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N010.00","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N302.","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N302.00","Osteomyelitis unspecified"
"bone-infection",1,"readv2","A151.","Tuberculosis of bones and joints"
"bone-infection",1,"readv2","A151.00","Tuberculosis of bones and joints"
"bone-infection",1,"readv2","N301.","Other chronic osteomyelitis"
"bone-infection",1,"readv2","N301.00","Other chronic osteomyelitis"
"bone-infection",1,"readv2","A150.","Tuberculosis of spine"
"bone-infection",1,"readv2","A150.00","Tuberculosis of spine"
"bone-infection",1,"readv2","A15..","Tuberculosis of bones and joints"
"bone-infection",1,"readv2","A15..00","Tuberculosis of bones and joints"
"bone-infection",1,"readv2","N3030","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N303000","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N3025","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N302500","Osteomyelitis unspecified"
"bone-infection",1,"readv2","A153.","Tuberculosis of bones and joints"
"bone-infection",1,"readv2","A153.00","Tuberculosis of bones and joints"
"bone-infection",1,"readv2","N300.","Other acute osteomyelitis"
"bone-infection",1,"readv2","N300.00","Other acute osteomyelitis"
"bone-infection",1,"readv2","N304.","Tuberculosis of spine"
"bone-infection",1,"readv2","N304.00","Tuberculosis of spine"
"bone-infection",1,"readv2","N0106","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N010600","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N300Z","Acute haematogenous osteomyelitis"
"bone-infection",1,"readv2","N300Z00","Acute haematogenous osteomyelitis"
"bone-infection",1,"readv2","N306.","Tuberculosis of bones and joints"
"bone-infection",1,"readv2","N306.00","Tuberculosis of bones and joints"
"bone-infection",1,"readv2","N3020","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N302000","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N010y","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N010y00","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N302N","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N302N00","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N3008","Other acute osteomyelitis"
"bone-infection",1,"readv2","N300800","Other acute osteomyelitis"
"bone-infection",1,"readv2","N3006","Other acute osteomyelitis"
"bone-infection",1,"readv2","N300600","Other acute osteomyelitis"
"bone-infection",1,"readv2","J0645","Inflammatory conditions of jaws"
"bone-infection",1,"readv2","J064500","Inflammatory conditions of jaws"
"bone-infection",1,"readv2","N302X","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N302X00","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N302Y","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N302Y00","Osteomyelitis unspecified"
"bone-infection",1,"readv2","A56x0","Arthritis due to rubella"
"bone-infection",1,"readv2","A56x000","Arthritis due to rubella"
"bone-infection",1,"readv2","A154.","Tuberculous mastoiditis"
"bone-infection",1,"readv2","A154.00","Tuberculous mastoiditis"
"bone-infection",1,"readv2","N0105","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N010500","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N0102","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N010200","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N301M","Chronic osteomyelitis with draining sinus"
"bone-infection",1,"readv2","N301M00","Chronic osteomyelitis with draining sinus"
"bone-infection",1,"readv2","Nyu00","[X]Other streptococcal arthritis and polyarthritis"
"bone-infection",1,"readv2","Nyu0000","[X]Other streptococcal arthritis and polyarthritis"
"bone-infection",1,"readv2","N3005","Other acute osteomyelitis"
"bone-infection",1,"readv2","N300500","Other acute osteomyelitis"
"bone-infection",1,"readv2","N30..","Osteomyelitis"
"bone-infection",1,"readv2","N30..00","Osteomyelitis"
"bone-infection",1,"readv2","N302b","Other osteomyelitis"
"bone-infection",1,"readv2","N302b00","Other osteomyelitis"
"bone-infection",1,"readv2","J064.","Inflammatory conditions of jaws"
"bone-infection",1,"readv2","J064.","Inflammatory conditions of jaws"
"bone-infection",1,"readv2","A9850","Gonococcal infection of musculoskeletal system"
"bone-infection",1,"readv2","A985000","Gonococcal infection of musculoskeletal system"
"bone-infection",1,"readv2","A152.","Tuberculous arthritis"
"bone-infection",1,"readv2","A152.00","Tuberculous arthritis"
"bone-infection",1,"readv2","N3000","Other acute osteomyelitis"
"bone-infection",1,"readv2","N300000","Other acute osteomyelitis"
"bone-infection",1,"readv2","N309.","Subacute osteomyelitis"
"bone-infection",1,"readv2","N309.00","Subacute osteomyelitis"
"bone-infection",1,"readv2","N302a","Osteomyelitis of vertebra"
"bone-infection",1,"readv2","N302a00","Osteomyelitis of vertebra"
"bone-infection",1,"readv2","N3027","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N302700","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N305.","Tuberculosis of bone"
"bone-infection",1,"readv2","N305.00","Tuberculosis of bone"
"bone-infection",1,"readv2","N3017","Other chronic osteomyelitis"
"bone-infection",1,"readv2","N301700","Other chronic osteomyelitis"
"bone-infection",1,"readv2","N3007","Other acute osteomyelitis"
"bone-infection",1,"readv2","N300700","Other acute osteomyelitis"
"bone-infection",1,"readv2","N3026","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N302600","Osteomyelitis unspecified"
"bone-infection",1,"readv2","A36y1","Meningococcal arthropathy"
"bone-infection",1,"readv2","A36y100","Meningococcal arthropathy"
"bone-infection",1,"readv2","N3036","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N303600","Osteomyelitis unspecified"
"bone-infection",1,"readv2","A0223","Arthritis in other bacterial diseases classified elsewhere"
"bone-infection",1,"readv2","A022300","Arthritis in other bacterial diseases classified elsewhere"
"bone-infection",1,"readv2","N0108","Staphylococcal arthritis and polyarthritis"
"bone-infection",1,"readv2","N010800","Staphylococcal arthritis and polyarthritis"
"bone-infection",1,"readv2","SP060","Infect and inflammatory reaction due to internal joint pros"
"bone-infection",1,"readv2","SP06000","Infect and inflammatory reaction due to internal joint pros"
"bone-infection",1,"readv2","N303.","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N303.00","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N300S","Other acute osteomyelitis"
"bone-infection",1,"readv2","N300S00","Other acute osteomyelitis"
"bone-infection",1,"readv2","N302z","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N302z00","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N300Q","Other acute osteomyelitis"
"bone-infection",1,"readv2","N300Q00","Other acute osteomyelitis"
"bone-infection",1,"readv2","N014.","Arthritis in other bacterial diseases classified elsewhere"
"bone-infection",1,"readv2","N014.00","Arthritis in other bacterial diseases classified elsewhere"
"bone-infection",1,"readv2","N302P","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N302P00","Osteomyelitis unspecified"
"bone-infection",1,"readv2","J0642","Inflammatory conditions of jaws"
"bone-infection",1,"readv2","J064200","Inflammatory conditions of jaws"
"bone-infection",1,"readv2","A15x.","Tuberculosis of bones and joints"
"bone-infection",1,"readv2","A15x.00","Tuberculosis of bones and joints"
"bone-infection",1,"readv2","N30zz","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N30zz00","Osteomyelitis unspecified"
"bone-infection",1,"readv2","N300N","Other acute osteomyelitis"
"bone-infection",1,"readv2","N300N00","Other acute osteomyelitis"
"bone-infection",1,"readv2","N3016","Other chronic osteomyelitis"
"bone-infection",1,"readv2","N301600","Other chronic osteomyelitis"
"bone-infection",1,"readv2","N0104","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N010400","Pyogenic arthritis unspecified"
"bone-infection",1,"readv2","N300U","Other acute osteomyelitis"
"bone-infection",1,"readv2","N300U00","Other acute osteomyelitis"
