All clinical codes used by this project.
NB. This file is auto-generated.
Some clinical codes become garbled when opening csv files in MS Excel. This is because Excel attempts to convert them to a number. For example SNOMED codes above 11 digits appear in scientific notation format (1.03e11) while Read codes with a trailing decimal point such as '1371.' lose the '.' and becomes 1371
To get round this we provide the clinical codes in two columns:
- The [Code] column contains the raw values and can be used if this file is viewed in a text editor or processed by statistical software.
- The [ExcelCode] column behaves when opened in Excel and is to be used if the column needs to be copy/pasted

Name,Version,Terminology,Code,ExcelCode,Description
"diffuse-large-b-cell-lymphoma",1,"snomed",847741000000106,"=""847741000000106""","Diffuse large B-cell lymphoma (disorder)"
"diffuse-large-b-cell-lymphoma",1,"snomed",1172695008,"=""1172695008""","Diffuse large B cell malignant lymphoma (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",12341000132100,"=""12341000132100""","B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma and Burkitt lymphoma (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",1187190002,"=""1187190002""","Primary cutaneous diffuse large B-cell lymphoma leg type (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",1172702009,"=""1172702009""","Anaplastic diffuse large B-cell lymphoma (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",787594004,"=""787594004""","Diffuse large B-cell lymphoma germinal centre B-cell subtype (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",787565006,"=""787565006""","Diffuse large B-cell lymphoma activated B-cell subtype (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",786909001,"=""786909001""","High grade B-cell lymphoma with MYC and BCL2 and/or BCL6 rearrangements (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",734076008,"=""734076008""","Diffuse large B-cell lymphoma associated with chronic inflammation (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",716789004,"=""716789004""","Epstein-Barr virus positive diffuse large B-cell lymphoma of elderly (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",450910000,"=""450910000""","Anaplastic lymphoma kinase positive large B-cell lymphoma (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",314934003,"=""314934003""","Diffuse high grade B-cell lymphoma morphology (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",450958009,"=""450958009""","Malignant lymphoma, diffuse large B-cell, immunoblastic (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",128801005,"=""128801005""","Mediastinal large B-cell lymphoma (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",128800006,"=""128800006""","Primary effusion lymphoma (morphologic abnormality)"
"diffuse-large-b-cell-lymphoma",1,"snomed",404144008,"=""404144008""","Primary cutaneous diffuse large cell B-cell lymphoma (disorder)"
"diffuse-large-b-cell-lymphoma",1,"snomed",46732000,"=""46732000""","Malignant lymphoma, large B-cell, diffuse, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",1163005009,"=""1163005009""","Hodgkin lymphoma (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",762691001,"=""762691001""","Classical Hodgkin lymphoma (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",836277009,"=""836277009""","Hodgkin granuloma (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",836276000,"=""836276000""","Hodgkin sarcoma (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",128799007,"=""128799007""","Hodgkin lymphoma, lymphocyte-rich (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",112687003,"=""112687003""","Hodgkin lymphoma, lymphocyte depletion (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",71109004,"=""71109004""","Hodgkin lymphoma, lymphocyte depletion, reticular (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",16893006,"=""16893006""","Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",52248008,"=""52248008""","Hodgkin lymphoma, nodular sclerosis (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",45572000,"=""45572000""","Hodgkin lymphoma, nodular sclerosis, grade 1 (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",43985008,"=""43985008""","Hodgkin lymphoma, nodular sclerosis, grade 2 (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",39086001,"=""39086001""","Hodgkin lymphoma, nodular sclerosis, cellular phase (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",41529000,"=""41529000""","Hodgkin lymphoma, mixed cellularity (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",70600005,"=""70600005""","Hodgkin lymphoma, nodular lymphocyte predominance (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",1255687003,"=""1255687003""","Hodgkin lymphoma, lymphocyte depletion of lymph nodes of head and neck (disorder)"
"hodgkin-lymphoma",1,"snomed",1255666008,"=""1255666008""","Hodgkin lymphoma, lymphocyte depletion of lymph nodes of neck (disorder)"
"hodgkin-lymphoma",1,"snomed",118605002,"=""118605002""","Hodgkin lymphoma, nodular lymphocyte predominance (disorder)"
"hodgkin-lymphoma",1,"snomed",128930002,"=""128930002""","Hodgkin lymphoma - category (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",14537002,"=""14537002""","Hodgkin lymphoma, no ICD-O subtype (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",43985008,"=""43985008""","Hodgkin lymphoma, nodular sclerosis, grade 2 (morphologic abnormality)"
"hodgkin-lymphoma",1,"snomed",41529000,"=""41529000""","Hodgkin lymphoma, mixed cellularity (morphologic abnormality)"
