id	name	active	notes
38481006	Hypertensive renal disease (disorder)	y	direct mapping
83105008	Malignant hypertensive heart disease with congestive heart failure (disorder)	y	direct mapping
48146000	Diastolic hypertension (disorder)	y	direct mapping
199006004	"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium (disorder)"	y	direct mapping
270440008	Hypertension monitoring check done (finding)	y	direct mapping
697929007	Intermittent hypertension (disorder)	y	direct mapping
185716009	Attends hypertension monitoring (finding)	y	direct mapping
66610008	Malignant hypertensive heart AND renal disease (disorder)	y	direct mapping
308502002	Hypertension monitoring status (finding)	y	direct mapping
308427006	Hypertension screening recall (procedure)	y	direct mapping
163028000	On examination - blood pressure reading very high (finding)	y	direct mapping
713641000000103	Hypertension monitoring administration (record artifact)	y	direct mapping
736286003	Hypertension clinical management plan (record artifact)	y	direct mapping
268509003	Cardiac disease monitoring (regime/therapy)	y	direct mapping
302192008	On treatment for hypertension (regime/therapy)	y	direct mapping
220901000000101	High cost hypertension drug therapy - OPCS Classification of Interventions and Procedures (procedure)	y	direct mapping
194767001	Benign hypertensive heart disease with congestive cardiac failure (disorder)	y	direct mapping
1201005	Benign essential hypertension (disorder)	y	direct mapping
38341003	"Hypertensive disorder, systemic arterial (disorder)"	y	direct mapping
1066941000000100	Hypertension monitoring invitation short message service text message (procedure)	y	direct mapping
401118009	Hypertension annual review (procedure)	y	direct mapping
198997005	Pre-eclampsia or eclampsia with pre-existing hypertension (disorder)	y	direct mapping
73410007	Benign secondary renovascular hypertension (disorder)	y	direct mapping
66052004	Benign hypertensive heart AND renal disease (disorder)	y	direct mapping
199005000	"Pre-existing hypertension complicating pregnancy, childbirth and puerperium (disorder)"	y	direct mapping
1066961000000100	Hypertension monitoring short message service text message second invitation (procedure)	y	direct mapping
185723005	Hypertension monitoring telephone invite (procedure)	y	direct mapping
161501007	History of hypertension (situation)	y	direct mapping
845891000000103	Hypertension resistant to drug therapy (disorder)	y	direct mapping
194780003	Hypertensive heart and renal disease with renal failure (disorder)	y	direct mapping
163027005	On examination - blood pressure reading raised (finding)	y	direct mapping
194783001	Secondary malignant renovascular hypertension (disorder)	y	direct mapping
86234004	Hypertensive heart AND renal disease (disorder)	y	direct mapping
275516004	Cardiomegaly - hypertensive (disorder)	y	direct mapping
