medcode	readcode	Description	CodingSystem
848	7411200	Intranasal antrostomy	readcode
1140	7414z00	Operation on unspecified nasal sinus NOS	readcode
1400	7414500	Antral washout - nasal	readcode
1673	7412100	Intranasal ethmoidectomy	readcode
1674	H132.00	Chronic ethmoidal sinusitis	readcode
2257	H13..00	Chronic sinusitis	readcode
3938	7410100	Caldwell Luc drainage of maxillary antrum	readcode
4128	7414y00	Other specified operation on unspecified nasal sinus	readcode
4433	H130.00	Chronic maxillary sinusitis	readcode
4640	741..00	Nasal sinus operations	readcode
5437	H13z.00	Chronic sinusitis NOS	readcode
6354	J083500	Oroantral fistula	readcode
6491	7416	FESS/Therapeutic endoscopy of nose and sinus	readcode
7243	7.42E+03	FESS/Post operative division of adhesions	readcode
7738	7415	FESS - diagnostic endoscopy of nose and sinus	readcode
7981	7411	Other operations on maxillary antrum	readcode
8220	7416300	FESS/Uncinectomy	readcode
10546	H13..11	Chronic rhinosinusitis	readcode
11711	7413	Operations on sphenoid sinus	readcode
11744	H11y100	Polyp of ethmoidal sinus	readcode
12747	7412000	External frontoethmoidectomy	readcode
15163	H131.00	Chronic frontal sinusitis	readcode
16022	7414300	Lateral rhinotomy	readcode
16626	7416D00	FESS - post operative removal of polyps (local anaesthetic)	readcode
17173	H135.00	Recurrent sinusitis	readcode
18083	7416C00	FESS - post operative suction clearance (local anaesthetic)	readcode
18271	7411500	Puncture of maxillary antrum	readcode
18302	7413000	Drainage of sphenoid sinus	readcode
18869	7416900	FESS/Antrostomy via middle meatus	readcode
19480	741y.00	Other specified operations on nasal sinus	readcode
19742	H11y.11	Nasal sinus polyps	readcode
19995	7411z00	Other operation on maxillary antrum NOS	readcode
20806	7415.11	FESS - diagnostic nasal antroscopy	readcode
20832	7416500	FESS/Anterior ethmoidectomy	readcode
21213	7412700	Radical frontal sinus antrostomy	readcode
21923	7416.11	FESS/Therapeutic nasal antroscopy	readcode
22555	7413100	Puncture of sphenoid sinus	readcode
23673	7414511	BAWO	readcode
23740	7410	Operations on maxillary antrum using sublabial approach	readcode
24535	7411600	Removal of antrochoanal polyp	readcode
25174	7411G00	Bilateral antral washout	readcode
27869	7412800	Frontal sinusotomy NEC	readcode
28764	7411.11	Reconstruction of maxillary antrum	readcode
29429	H134.00	Fistula of nasal sinus	readcode
30744	7412200	External ethmoidectomy	readcode
