emis	Description
AISU29827EMIS	Ailax Forte  Strong Suspension  
CIPO27040NEMIS	Citrafleet  Powder For Oral Solution  16.11 gram sachets
COOR100555NEMIS	Cosmocol Plain  Oral powder  
DOCA23707EMIS	Docusate Sodium  Capsules  100 mg
DUCA11673NEMIS	Dulco-lax Pico Perles  Capsules  2.5 mg
LAPO29886NEMIS	Laxido Orange  Oral powder  13.8 gram/sachet
MAMI10362BRIDL	Magnesium Sulfate  Mixture  
META1784	Mestinon  Tablets  60 mg
NOSU25393EMIS	Normax  Suspension  
PRTA42096NEMIS	Prucalopride  Tablets  2 mg
REMI2442	Relaxit  Micro-enema  
SETA2535	Senna  Tablets  7.5 mg
SETA2539	Senokot  Tablets  7.5 mg
FIGR20242NEMIS	Fibrelief  Granules for Oral Suspension  Natural, 3.5 grams/sachet
GLSU10323BRIDL	Glycerol (Infant)  Suppositories  1 gram
GLSU11871NEMIS	Glycerol (Adult)  Suppositories  4 gram
IDPO12827NEMIS	Idrolax  Powder for oral solution (orange-grapefruit)  10 grams/sachet
ISGR1525	Ispaghula Husk  Granules  Sugar Free 90 %
LESU82333NEMIS	Lecicarbon A  Suppositories  
MAMI10362BRIDL	Magnesium Sulfate  Mixture  
PYTA5353	Pyridostigmine Bromide  Tablets  60 mg
SOOR17897NEMIS	Sodium Picosulfate  Oral Solution, Sugar Free  5 mg/5 ml
COSU8986EGTON	Codalax  Suspension  
DUSUEGTON6657	Dulcolax  Suppositories  10 mg
FLOR28329EMIS	Fleet Phospho-Soda  Oral solution  
ISSA1073NEMIS	Ispaghula Husk  Sachets Sugar Free (Orange)  3.5 grams/sachet
LIOR10494BRIDL	Liquid Paraffin  Oral emulsion  
MEGR5141	Methylcellulose  Granules  64 %
META1793	Methylcellulose  Tablets  500 mg
MOOR38718NEMIS	Molaxole  Oral powder  13.8 grams/sachet
MOSA28315EMIS	Movicol  Oral powder (lemon and lime)  13.8 grams/sachet
NOCA2031	Normax  Capsules  
RESA28575EMIS	Regulan  Sachets (orange)  3.4 grams/sachet
RESO35055EMIS	Regulose  Solution  3.35 grams/5 ml
SETA17492NEMIS	Senokot Max Strength  Tablets  15 mg
BISU3249	Bisacodyl  Suppositories  5 mg
CACA27007EMIS	Capsuvac  Capsules  
COOR100555NEMIS	Cosmocol Plain  Oral powder  
FYEF13036NEMIS	Fybogel  Effervescent granules (orange)  150 grams Bulk Pack
FYEF23543EMIS	Fybogel Mebeverine  Effervescent granules  
KLPO10171BRIDL	Klean-Prep  Powder for reconstitution  
MOPO17000NEMIS	Movicol Paediatric Plain  Powder sachets  6.9 grams/sachet
NOSU25393EMIS	Normax  Suspension  
AISU26080EMIS	Ailax  Suspension  
BISU3249	Bisacodyl  Suppositories  5 mg
COOR88761NEMIS	Cosmocol Orange Lemon And Lime  Oral powder sachets  
DITA8627EGTON	Dioctyl  Tablets  100 mg
ISGR1525	Ispaghula Husk  Granules  Sugar Free 90 %
ISSA25807EMIS	Ispaghula Husk  Sachets (orange)  3.4 grams/sachet
KETA3804	Kest  Tablets  
KOSA25800EMIS	Konsyl  Sachets  6 grams/sachet
LASY5071	Lactulose  Syrup  3.1-3.7 g/5 ml
LESU101262NEMIS	Lecicarbon C  Suppositories  
MACO5091NEMIS	Macrogol  Compound Oral Powder (sachets)  NPF Sugar Free
MEPO3892	Metamucil  Powder  49 %
MIEN3922	Micralax Micro-Enema  Enema  
MOPO14661NEMIS	Movicol-Half  Powder sachets  6.9 grams/sachet
PHEN15280NEMIS	Phosphates Enema Formula B  Enema  Standard Tube, 128 ml
RESA25699EMIS	Regulan  Sachets (flavoured)  3.4 grams/sachet
STGR5085NEMIS	Sterculia And Frangula  Granules  62 % + 8 %, gluten free
LASO23988EMIS	Lactugal  Solution  3.1-3.7 grams/5 ml
LESU101262NEMIS	Lecicarbon C  Suppositories  
MIEN3922	Micralax Micro-Enema  Enema  
MOSA28315EMIS	Movicol  Oral powder (lemon and lime)  13.8 grams/sachet
PIPO4167	Picolax  Oral powder  16.1 gram sachets
COSU25096EMIS	Co-Danthrusate 50/60  Suspension  Sugar Free
COSU9616BRIDL	Co-Danthramer 25/200  Suspension  Sugar Free
FIGR20244NEMIS	Fibrelief Orange  Granules for Oral Suspension  3.5 grams/sachet
FLRE6306NEMIS	Fletchers Arachis Oil  Retention enema  130 ml
GLSU10323BRIDL	Glycerol (Infant)  Suppositories  1 gram
GLSU8824BRIDL	Glycerol (Child)  Suppositories  2 gram
LAOR101954NEMIS	Laxido Paediatric Plain  Oral powder  6.9 gram sachet
MOPO76087NEMIS	Movicol Paediatric Chocolate  Powder sachets  6.9 grams/sachet
PHEN15279NEMIS	Phosphates Enema Formula B  Enema  Long Tube, 128 ml
RESA28574EMIS	Regulan  Sachets (lemon/lime)  3.4 grams/sachet
COCA26264EMIS	Co-Danthramer 25/200  Capsules  
COOR100557NEMIS	Cosmocol Half  Oral powder  6.9 grams/sachet
DOPA541NEMIS	Docusol  Paediatric Oral Solution  12.5 mg/5 ml
ISSA12002NEMIS	Ispagel  Sachets (orange)  3.5 grams/sachet
MOOR34393NEMIS	Movicol Chocolate  Oral powder  13.9 grams/sachet
MOPO25192NEMIS	Movicol Plain  Powder sachets  13.7 grams/sachet
PHEN15280NEMIS	Phosphates Enema Formula B  Enema  Standard Tube, 128 ml
REMI2442	Relaxit  Micro-enema  
RESA28575EMIS	Regulan  Sachets (orange)  3.4 grams/sachet
RETA42098NEMIS	Resolor  Tablets  1 mg
SESA5090NEMIS	Senna And Ispaghula  Sachets  12.4 % + 54.2 %, 4 grams/sachet
SETA2535	Senna  Tablets  7.5 mg
COCA26264EMIS	Co-Danthramer 25/200  Capsules  
COCA4761	Co-Danthrusate 50/60  Capsules  
COGR4769	Coated Sterculia  Granules  62 %, gluten free
DICA23705EMIS	Dioctyl  Capsules  100 mg
DOAD347NEMIS	Docusate Sodium  Adult Oral Solution  Sugar Free 50 mg/5 ml
FYSA1271	Fybogel Orange  Granules  3.5 grams/sachet
GLSU1312	Glycerol  Suppositories  
ISPO1526	Ispaghula Husk  Powder  3.6 grams/sachet
ISSA12002NEMIS	Ispagel  Sachets (orange)  3.5 grams/sachet
MAGR10577BRIDL	Manevac  Granules  
MAMI3870	Magnesium Hydroxide  Mixture  550 mg/10 ml
MOOR47279NEMIS	Moviprep Orange  Oral Powder For Solution (Sachets)  
PIPO4167	Picolax  Oral powder  16.1 gram sachets
AISU26080EMIS	Ailax  Suspension  
AREN6895	Arachis Oil  Enema  130 ml
