readcode	Description
a411.00	ATROPINE SULFATE 600micrograms tablets
a411.11	ATROPINE SULPHATE 600micrograms tablets
a42..00	*ATROPINE METHONITRATE
a421.00	*EUMYDRIN 0.6% solution
a42z.00	ATROPINE METHONITRATE 0.6% solution
a45..00	DICYCLOVERINE HYDROCHLORIDE
a45..11	DICYCLOMINE HYDROCHLORIDE
a451.00	KOLANTICON gel
a452.00	*KOLANTYL gel
a453.00	*MERBENTYL 10mg tablets
a454.00	*MERBENTYL 10mg/5mL syrup
a455.00	*MERBENTYL-20 20mg tablets
a45x.00	DICYCLOVERINE HYDROCHLORIDE 20mg tablets
a45x.11	DICYCLOMINE HYDROCHLORIDE 20mg tablets
a45y.00	DICYCLOVERINE HYDROCHLORIDE 10mg tablets
a45y.11	DICYCLOMINE HYDROCHLORIDE 10mg tablets
a45z.00	DICYCLOVERINE HYDROCHLORIDE 10mg/5mL syrup
a45z.11	DICYCLOMINE HYDROCHLORIDE 10mg/5mL syrup
a47..00	HYOSCINE BUTYLBROMIDE
a471.00	*BUSCOPAN 10mg tablets
a472.00	BUSCOPAN 20mg/1mL injection
a473.00	BUSCOPAN IBS RELIEF 10mg tablets
a474.00	BUSCOPAN CRAMPS 10mg tablets
a47y.00	HYOSCINE BUTYLBROMIDE 10mg tablets
a47z.00	HYOSCINE BUTYLBROMIDE 20mg/1mL injection
a4c..00	PROPANTHELINE BROMIDE [ANTISPASMODIC]
a4c1.00	PROPANTHELINE 15mg tablets
a4c2.00	PRO-BANTHINE 15mg tablets
a4d..00	ALVERINE CITRATE
a4d1.00	*ALVERCOL granules
a4d1.11	ALVERCOL grans [ANTISPASMODIC]
a4d1.12	*SPASMONAL FIBRE ganules
a4d2.00	SPASMONAL 60mg capsules
a4d3.00	*RELAXYL 60mg capsules
a4d4.00	ALVERINE CITRATE 120mg capsules
a4d5.00	SPASMONAL FORTE 120mg capsules
a4d6.00	AUDMONAL 60mg capsules
a4d7.00	AUDMONAL FORTE 120mg capsules
a4dz.00	ALVERINE CITRATE 60mg capsules
a4e..00	MEBEVERINE HYDROCHLORIDE
a4e1.00	COLOFAC 135mg tablets
a4e2.00	*COLOFAC 50mg/5mL liquid
a4e3.00	*COLVEN 135mg granules
a4e4.00	*FOMAC 135mg tablets
a4e5.00	FYBOGEL-MEBEVERINE orange granules
a4e6.00	*EQUILON 135mg tablets
a4e7.00	MEBEVERINE HYDROCHLORIDE 100mg tablets
a4e8.00	*COLOFAC-100 tablets
a4e9.00	COLOFAC MR 200mg m/r capsules
a4eA.00	IBS RELIEF 135mg tablets
a4ev.00	MEBEVERINE HYDROCHLORIDE 200mg m/r capsules
a4ew.00	MEBEVERINE + ISPAGHULA 135mg/3.5g/sachet granules
a4ex.00	MEBEVERINE HYDROCHLORIDE 135mg tablets
a4ey.00	MEBEVERINE 50mg/5mL sugar free liquid
a4ez.00	MEBEVERINE HYDROCHLORIDE 135mg granules
a4f..00	PEPPERMINT OIL
a4f1.00	COLPERMIN 0.2mL m/r gel e/c capsules
a4f2.00	MINTEC 0.2mL e/c capsules
a4f3.00	PEPPERMINT OIL BP 0.2mL e/c capsules
a4f4.00	PEPPERMINT OIL BP 0.2mL m/r gel e/c capsules
a4f5.00	APERCAP 0.2mL gastro-resistant capsules
ab46.00	*ALVERCOL granules 500g
ab46.11	*SPASMONAL FIBRE granules 500g
