prodcode	CodingSystem	productname	gemscriptcode
4	prodcode	Co-proxamol 32.5mg/325mg tablets	58897020
7	prodcode	Paracetamol 500mg tablets	58932020
11	prodcode	Co-dydramol 10mg/500mg tablets	62553020
15	prodcode	Ibuprofen 400mg tablets	59355020
19	prodcode	Co-codamol 8mg/500mg tablets	60971020
40	prodcode	Diclofenac sodium 50mg gastro-resistant tablets	83872020
53	prodcode	Dihydrocodeine 30mg tablets	62538020
57	prodcode	Co-codamol 8mg/500mg effervescent tablets	60972020
86	prodcode	Tramadol 50mg capsules	75786020
96	prodcode	Co-codamol 30mg/500mg tablets	80055020
112	prodcode	Ibuprofen 5% cream	72458020
120	prodcode	Indocid 25mg capsules (Merck Sharp & Dohme Ltd)	49932020
123	prodcode	Fortral 30mg/ml Injection (Sterwin Medicines)	49528020
124	prodcode	Distalgesic 32.5mg/325mg tablets (Meda Pharmaceuticals Ltd)	49037020
126	prodcode	Ponstan 250mg capsules (Chemidex Pharma Ltd)	51186020
129	prodcode	Naprosyn 500mg suppositories (Roche Products Ltd)	57759020
139	prodcode	Paracetamol 500mg capsules	65977020
140	prodcode	Naproxen 500mg suppositories	64941020
141	prodcode	Piroxicam 10mg capsules	65858020
142	prodcode	CODEINE SOLUBLE TAB	4100007
148	prodcode	MORPHINE 60 MG SUP	3652007
158	prodcode	Codeine 30mg tablets	52434020
162	prodcode	Arthrotec 50 gastro-resistant tablets (Pfizer Ltd)	74346020
166	prodcode	PAPAVERETUM 20 MG INJ	3621007
167	prodcode	Butacote 100mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)	65704020
175	prodcode	PARACETAMOL 1 GM SUP	2137007
177	prodcode	Indometacin 25mg capsules	58913020
187	prodcode	Zydol 50mg capsules (Grunenthal Ltd)	75791020
191	prodcode	Dihydrocodeine 10mg/5ml oral solution	62539020
203	prodcode	CODEINE CO SOLUBLE TAB	2818007
213	prodcode	Codeine 25mg/5ml oral solution	52438020
215	prodcode	IBUPROFEN 200 MG CAP	4856007
231	prodcode	OMNOPON 20 MG INJ	2169007
234	prodcode	Pethidine 25mg tablet	69166020
241	prodcode	CODEINE CO TAB	4104007
249	prodcode	Pethidine 10mg/ml injection	51091020
258	prodcode	Panadol 500mg tablets (GlaxoSmithKline Consumer Healthcare)	54171020
259	prodcode	Mefenamic acid 250mg capsules	59793020
262	prodcode	Paracetamol 250mg/5ml oral suspension	65976020
296	prodcode	Ponstan Forte 500mg tablets (Chemidex Pharma Ltd)	51182020
315	prodcode	BRUFEN SUP	5256007
316	prodcode	PHENYLBUTAZONE 250 MG SUP	5712007
320	prodcode	Buprenorphine HCl 300micrograms injection	64276020
328	prodcode	Pentazocine 50mg capsules	71386020
341	prodcode	Feldene 10mg capsules (Pfizer Ltd)	49419020
344	prodcode	Acemetacin 60mg capsules	73771020
345	prodcode	IBUPROFEN S/R 300 MG CAP	3721007
349	prodcode	VOLTAROL 75 MG INJ	3184007
354	prodcode	Morphine sulfate 100mg/50ml solution for infusion vials	78857020
360	prodcode	Brufen 100mg/5ml syrup (Mylan)	48494020
382	prodcode	Codeine 15mg tablets	52433020
387	prodcode	Surgam 200mg tablets (Sanofi)	51745020
389	prodcode	Ketoprofen 50mg capsules	63883020
392	prodcode	Ibuprofen 200mg modified-release capsules	53037020
402	prodcode	Nurofen 200mg Tablet (Crookes Healthcare Ltd)	85651020
407	prodcode	Brufen 600mg effervescent granules sachets (Mylan)	68366020
416	prodcode	Ibuprofen 200mg tablets	59354020
417	prodcode	Diclofenac 50mg dispersible tablets sugar free	72775020
423	prodcode	Pethidine 50mg/ml injection	69168020
447	prodcode	Diclofenac sodium 75mg modified-release capsules	52256020
458	prodcode	Morphine 15mg Suppository	70481020
462	prodcode	Codeine 60mg/1ml solution for injection ampoules	55572020
474	prodcode	Celecoxib 100mg capsules	79023020
483	prodcode	Co-proxamol (dextropropoxyphene and paracetamol) 32.5mg with 325mg/5ml oral suspension sugar free	58898020
495	prodcode	MST Continus 10mg tablets (Napp Pharmaceuticals Ltd)	50521020
497	prodcode	Voltarol 25mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)	83709020
499	prodcode	Diclofenac 50mg suppositories	76045020
526	prodcode	Aceclofenac 100mg tablets	81068020
539	prodcode	Codeine 60mg tablets	52435020
560	prodcode	Diflunisal 250mg tablets	62515020
580	prodcode	Diclofenac sodium 75mg modified-release tablets	83822020
586	prodcode	Ibuprofen 200mg Capsule	80144020
589	prodcode	Voltarol 50mg dispersible tablets (Novartis Pharmaceuticals UK Ltd)	72769020
597	prodcode	Diclofenac potassium 50mg tablets	79362020
607	prodcode	MST Continus Suspension 20mg granules sachets (Napp Pharmaceuticals Ltd)	56810020
612	prodcode	Dicloflex 25mg gastro-resistant tablets (Dexcel-Pharma Ltd)	50464020
620	prodcode	Fentanyl 25micrograms/hour transdermal patches	76085020
625	prodcode	Co-codamol 8mg/500mg capsules	60973020
628	prodcode	Diclofenac potassium 25mg tablets	79361020
635	prodcode	Codeine 30mg/1ml solution for injection ampoules	55573020
647	prodcode	Ibuprofen 100mg/5ml oral suspension	63502020
649	prodcode	Diclofenac sodium 25mg gastro-resistant tablets	83871020
650	prodcode	Etoricoxib 60mg tablets	77851020
655	prodcode	Morphine sulfate 10mg/5ml oral solution unit dose vials sugar free	68486020
656	prodcode	Tylex 30mg/500mg capsules (UCB Pharma Ltd)	68282020
659	prodcode	Morphine 30mg Suppository	70482020
661	prodcode	Naproxen 250mg tablets	58922020
