prodcode	CodingSystem	productname	gemscriptcode
73	prodcode	Hydrocortisone 1% cream	59141020
242	prodcode	Fucidin H cream (LEO Pharma)	67899020
310	prodcode	Hydrocortisone 0.1% cream	70870020
311	prodcode	Dermovate 0.05% cream (GlaxoSmithKline UK Ltd)	48913020
601	prodcode	Dovonex 50micrograms/g cream (LEO Pharma)	63018020
626	prodcode	Timodine cream (Alliance Pharmaceuticals Ltd)	58316020
642	prodcode	Fucibet cream (LEO Pharma)	52769020
734	prodcode	Hydrocortisone 1% ointment	59146020
874	prodcode	Dovonex 50micrograms/g ointment (LEO Pharma)	63017020
905	prodcode	Betnovate 0.1% cream (GlaxoSmithKline UK Ltd)	54461020
929	prodcode	Daktacort 2%/1% cream (Janssen-Cilag Ltd)	48829020
945	prodcode	Hydrocortisone 0.5% ointment	59145020
949	prodcode	Eumovate 0.05% ointment (GlaxoSmithKline UK Ltd)	49363020
982	prodcode	Hydrocortisone 0.5% cream	59140020
984	prodcode	Betnovate 0.1% scalp application (GlaxoSmithKline UK Ltd)	54458020
985	prodcode	Betamethasone valerate 0.1% scalp application	71826020
1005	prodcode	Eumovate 0.05% cream (GlaxoSmithKline UK Ltd)	49362020
1009	prodcode	Canesten HC cream (Bayer Plc)	54899020
1016	prodcode	Cocois ointment (RPH Pharmaceuticals AB)	72520020
1022	prodcode	Betnovate 0.1% ointment (GlaxoSmithKline UK Ltd)	54462020
1023	prodcode	Dermovate 0.05% ointment (GlaxoSmithKline UK Ltd)	48914020
1061	prodcode	Hydrocortisone 2.5% cream	59142020
1107	prodcode	Alphosyl Shampoo (GlaxoSmithKline Consumer Healthcare)	68578020
1206	prodcode	Betamethasone valerate 0.1% cream	64156020
1224	prodcode	Elocon 0.1% ointment (Merck Sharp & Dohme Ltd)	57151020
1228	prodcode	Nerisone 0.1% oily cream (Meadow Laboratories Ltd)	50661020
1239	prodcode	Alphosyl hc Cream (Stafford-Miller Ltd)	58614020
1265	prodcode	Clotrimazole 1% with Hydrocortisone 1% cream	61531020
1325	prodcode	Diprosalic 0.05%/3% ointment (Merck Sharp & Dohme Ltd)	53914020
1340	prodcode	Propaderm -A Ointment (Glaxo Laboratories Ltd)	51303020
1341	prodcode	Propaderm 0.025% ointment (GlaxoSmithKline UK Ltd)	51300020
1362	prodcode	Tarcortin Cream (Stafford-Miller Ltd)	61754020
1386	prodcode	Synalar 0.025% gel (Reig Jofre UK Ltd)	58364020
1389	prodcode	Trimovate cream (Ennogen Healthcare Ltd)	52021020
1429	prodcode	Nystaform HC cream (Typharm Ltd)	50813020
1430	prodcode	Daktacort ointment (Janssen-Cilag Ltd)	48830020
1433	prodcode	Betnovate RD 0.025% ointment (GlaxoSmithKline UK Ltd)	54471020
1472	prodcode	Betnovate RD 0.025% cream (GlaxoSmithKline UK Ltd)	54470020
1475	prodcode	Betnovate-C ointment (Chemidex Pharma Ltd)	54476020
1523	prodcode	Fluocinonide 0.05% ointment	61987020
1533	prodcode	Betnovate-N cream (Chemidex Pharma Ltd)	54479020
1536	prodcode	Betnovate 0.1% lotion (GlaxoSmithKline UK Ltd)	54465020
1553	prodcode	Betnovate-N ointment (Chemidex Pharma Ltd)	54480020
1562	prodcode	Clobetasone 0.05% cream	61446020
1582	prodcode	Nystaform HC ointment (Typharm Ltd)	50814020
1583	prodcode	Betnovate-C cream (Chemidex Pharma Ltd)	54475020
1677	prodcode	Miconazole with hydrocortisone 2% with 1% Cream	64750020
1682	prodcode	Clobetasol 0.05% cream	61435020
1717	prodcode	Diprosalic 0.05%/2% scalp application (Merck Sharp & Dohme Ltd)	53915020
1737	prodcode	Betamethasone valerate 0.1% / Fusidic acid 2% cream	64153020
1772	prodcode	Synalar Cream (GP Pharma)	58352020
1785	prodcode	Polytar Emollient (GlaxoSmithKline Consumer Healthcare)	51165020
1835	prodcode	Cutivate 0.05% cream (GlaxoSmithKline UK Ltd)	75700020
1838	prodcode	Elocon 0.1% cream (Merck Sharp & Dohme Ltd)	57150020
1850	prodcode	Mometasone 0.1% ointment	57356020
1869	prodcode	Diprosone 0.05% ointment (Merck Sharp & Dohme Ltd)	52691020
1871	prodcode	Zorac 0.05% gel (Allergan Ltd)	85694020
1872	prodcode	Curatoderm 4micrograms/g ointment (Almirall Ltd)	80499020
1874	prodcode	Dithrocream 0.1% cream (Dermal Laboratories Ltd)	55322020
1875	prodcode	Dithrocream 0.25% cream (Dermal Laboratories Ltd)	55323020
1876	prodcode	Dithrocream 0.5% cream (Dermal Laboratories Ltd)	55326020
1880	prodcode	Alphaderm 1%/10% cream (Alliance Pharmaceuticals Ltd)	48087020
1914	prodcode	Betamethasone valerate 0.1% ointment	64158020
1915	prodcode	Mometasone 0.1% cream	57355020
1944	prodcode	Fucidin h Gel (LEO Pharma)	52775020
1989	prodcode	Betamethasone valerate 0.1% / Neomycin 0.5% cream	64176020
2004	prodcode	Hydrocortisone 1% lotion	63411020
2075	prodcode	Dioderm 0.1% cream (Dermal Laboratories Ltd)	55319020
2102	prodcode	Locoid 0.1% cream (LEO Pharma)	50231020
2103	prodcode	Hydrocortisone butyrate 0.1% cream	63384020
2116	prodcode	Calmurid HC cream (Galderma (UK) Ltd)	58637020
2131	prodcode	Salicylic acid 2% ointment	56064020
2182	prodcode	Dithranol 0.1% cream	62719020
2184	prodcode	Dithranol 0.25% cream	62720020
2185	prodcode	Dithranol 0.5% cream	62721020
2186	prodcode	Dithranol 1% cream	62724020
2188	prodcode	Dovonex 50micrograms/ml scalp solution (LEO Pharma)	76116020
2190	prodcode	Hydrocortisone 0.125% Cream	79953020
