id	name	active	notes
195136004.0	Rheumatoid myocarditis (disorder)	y	direct mapping
7119001.0	Cutaneous lupus erythematosus (disorder)	y	direct mapping
95644001.0	Systemic lupus erythematosus encephalitis (disorder)	y	direct mapping
239795001.0	Rheumatoid arthritis with multisystem involvement (disorder)	y	direct mapping
201791009.0	Flare of rheumatoid arthritis (disorder)	y	direct mapping
200938002.0	Discoid lupus erythematosus (disorder)	y	direct mapping
307755009.0	Renal tubulo-interstitial disorder in systemic lupus erythematosus (disorder)	y	direct mapping
201796004.0	Systemic onset juvenile chronic arthritis (disorder)	y	direct mapping
882401000000000.0	Rheumatoid arthritis monitoring invitation first letter (procedure)	y	direct mapping
200956002.0	Psoriatic arthritis with spine involvement (disorder)	y	direct mapping
239813000.0	Psoriatic dactylitis (disorder)	y	direct mapping
882321000000000.0	Rheumatoid arthritis monitoring invitation (procedure)	y	direct mapping
11013005.0	"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class VI (disorder)"	y	direct mapping
201779000.0	Rheumatoid arthritis of ankle (disorder)	y	direct mapping
68815009.0	Systemic lupus erythematosus glomerulonephritis syndrome (disorder)	y	direct mapping
193178008.0	Polyneuropathy in disseminated lupus erythematosus (disorder)	y	direct mapping
76521009.0	"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class III (disorder)"	y	direct mapping
52042003.0	"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class V (disorder)"	y	direct mapping
201771002.0	Rheumatoid arthritis of wrist (disorder)	y	direct mapping
239888002.0	Lupus panniculitis (disorder)	y	direct mapping
239793008.0	Rheumatoid arthritis with organ / system involvement (disorder)	y	direct mapping
74391003.0	Pauciarticular juvenile rheumatoid arthritis (disorder)	y	direct mapping
200939005.0	Lupus erythematosus migrans (disorder)	y	direct mapping
239791005.0	Seropositive rheumatoid arthritis (disorder)	y	direct mapping
201764007.0	Rheumatoid arthritis of cervical spine (disorder)	y	direct mapping
239804002.0	Juvenile psoriatic arthritis without psoriasis (disorder)	y	direct mapping
19514005.0	Arthritis mutilans (disorder)	y	direct mapping
95609003.0	Neonatal lupus erythematosus (disorder)	y	direct mapping
239792003.0	Seronegative rheumatoid arthritis (disorder)	y	direct mapping
239891002.0	Subacute cutaneous lupus erythematosus (disorder)	y	direct mapping
10713006.0	Diffuse interstitial rheumatoid disease of lung (disorder)	y	direct mapping
882461000000000.0	Rheumatoid arthritis monitoring verbal invitation (procedure)	y	direct mapping
73286009.0	"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class I (disorder)"	y	direct mapping
238926009.0	Lupus erythematosus and erythema multiforme-like syndrome (disorder)	y	direct mapping
57160007.0	Felty's syndrome (disorder)	y	direct mapping
201768005.0	Rheumatoid arthritis of acromioclavicular joint (disorder)	y	direct mapping
201766009.0	Rheumatoid arthritis of shoulder (disorder)	y	direct mapping
65539006.0	Impetigo herpetiformis (disorder)	y	direct mapping
882441000000000.0	Rheumatoid arthritis monitoring invitation third letter (procedure)	y	direct mapping
161567008.0	History of rheumatoid arthritis (situation)	y	direct mapping
