CTV3ID	Description
14F1.	H/O: eczema
14F2.	H/O: psoriasis
A540.	Eczema herpeticum
G831.	Varicose eczema
G832.	Varicose veins of the leg with ulcer and eczema
M07y0	Acute palmoplantar pustular psoriasis
M112.	Infantile eczema
M113.	Flexural eczema
M114.	Allergic (intrinsic) eczema
M12..	Contact dermatitis
M120.	Contact dermatitis due to detergents
M121.	Oil contact dermatitis
M122.	Contact dermatitis due to solvents
M1220	Contact dermatitis due to chlorocompound
M1221	Contact dermatitis due to cyclohexane
M1222	Contact dermatitis due to ester
M1223	Contact dermatitis due to glycol
M1224	Contact dermatitis due to hydrocarbon
M1225	Contact dermatitis due to ketone
M122z	Contact dermatitis due to solvent NOS
M123.	Drug-induced contact dermatitis
M1230	Contact dermatitis due to arnica
M1231	Contact dermatitis due to fungicides
M1232	Contact dermatitis due to iodine
M1233	Contact dermatitis due to keratolytics
M1234	Contact dermatitis due to mercurials
M1235	Contact dermatitis due to neomycin
M1236	Contact dermatitis due to pediculocides
M1237	Contact dermatitis due to phenols
M1238	Contact dermatitis due to scabicides
M123z	Contact dermatitis due to medicament NOS
M124.	Contact dermatitis due to other chemical products
M1240	Contact dermatitis due to acids
M1241	Elastoplast contact dermatitis
M1242	Contact dermatitis due to alkalis
M1243	Contact dermatitis due to caustics
M1244	Contact dermatitis due to dichromate
M1245	Contact dermatitis due to insecticide
M1246	Contact dermatitis due to nylon
M1247	Contact dermatitis due to plastic
M1248	Contact dermatitis due to rubber
M124z	Contact dermatitis: other chemicals NOS
M125.	Contact dermatitis due to food in contact with skin
M1250	Contact dermatitis due to cereals
M1251	Contact dermatitis due to fish
M1252	Contact dermatitis due to flour
M1253	Contact dermatitis due to fruit
M1254	Contact dermatitis due to meat
M1255	Contact dermatitis due to milk
M125z	Contact dermatitis due to food NOS
M126.	Contact dermatitis due to plants
M1260	Contact dermatitis due to lacquer tree
M1261	Contact dermatitis due to poison-ivy
M1262	Contact dermatitis due to poison-oak
M1263	Contact dermatitis due to poison-sumac
M1264	Contact dermatitis due to poison-vine
M1265	Contact dermatitis due to primrose
M1266	Contact dermatitis due to ragweed
M126z	Contact dermatitis due to plants NOS
M127.	Contact dermatitis due to solar radiation
M1270	Unspecified contact dermatitis due to solar radiation
M127z	Contact dermatitis due to solar radn NOS
M1280	Allergic contact dermatitis due to adhesives
M1281	Allergic contact dermatitis due to cosmetics
M1282	Allergic contact dermatitis due to drugs in contact with the skin
M1283	Allergic contact dermatitis due to dyes
M1284	Allergic contact dermatitis due to other chemical products
M1285	Allergic contact dermatitis due to food in contact with the skin
