ctv3id	Description
X79N9	Pine tar
X79NA	Coal tar
XM0lO	Bufexamac
XaAxw	Coal tar dyes
fe43.	Hydrocortistab 20mg tablet
fe86.	Ledercort 2mg tablet
fe87.	Ledercort 4mg tablet
l41a.	Tri-adcortyl otic ear ointment 10g
m22D.	Evening primrose oil 20% cream
m22G.	Hydromol ointment 125g
m22H.	Hydromol ointment 500g
m22L.	HYDROMOL ointment 1Kg
m22i.	Hydromol cream 50g
m22j.	Hydromol cream 100g
m22k.	Hydromol cream 500g
m22n.	Hydromol bath Emollient 1 litre
m23j.	Sential E cream 100g
m243.	Calmurid cream 50g
m244.	Calmurid cream 100g
m245.	Calmurid 300g
m247.	Calmurid cream 400g
m249.	Calmurid cream 500g
m24R.	HYDROMOL INTENSIVE 10% cream 30g
m24S.	HYDROMOL INTENSIVE 10% cream 100g
m25M.	Hydromol Emollient bath additive 500mL
m25T.	HYDROMOL BATH & SHOWER EMOLLIENT bath additive 50mL
m25a.	Hydromol Emollient bath additive 150mL
m25b.	Hydromol Emollient bath additive 350mL
m28j.	DOUBLEBASE DAYLEVE gel 500g
m28k.	DOUBLEBASE DAYLEVE gel 100g
m4...	Topical corticosteroids
m41..	Hydrocortisone creams
m411.	Hydrocortisone 1% cream 15g
m412.	Hydrocortisone 1% cream 30g
m413.	Hydrocortisone 1% cream 50g
m414.	Hydrocortisone 1% cream 100g
m415.	Hydrocortisone 0.1% cream 30g
m416.	Hydrocortisone 0.125% cream
m417.	Hydrocortisone 0.5% cream 15g
m418.	Hydrocortisone 0.5% cream 30g
m419.	Hydrocortisone 0.5% cream 50g
m41A.	Hydrocortisone 2.5% cream 15g
m41B.	Hydrocortisone 2.5% cream 30g
m41C.	Hydrocortisone 2.5% cream 50g
m41D.	Hydrocortisone 1% aqueous cream
m41a.	Hydrocortisone 0.5% cream 100g
m41b.	Hydrocortisone 2.5% cream
m41c.	Cobadex 0.5% cream 20g
m41d.	Cobadex 1% cream 20g
m41e.	Dioderm 0.1% cream 30g
m41f.	Dome-Cort 0.125% cream
m41g.	Efcortelan 0.5% cream 15g
m41h.	Efcortelan P 1% cream 15g
m41i.	Efcortelan 1% cream 50g
m41j.	Efcortelan 2.5% cream 15g
m41k.	Hydrocortistab 1% cream 15g
m41l.	Hydrocortisyl 1% cream 15g
m41m.	Mildison Lipocream 1% cream 30g
m41n.	Efcortelan 0.5% cream 30g
m41o.	Efcortelan 1% cream 30g
m41p.	Efcortelan 2.5% cream 30g
m41q.	Dermacort cream
m41r.	HC45 cream
m41s.	Kerfoot hydrocortisone cream
m41t.	Dayleve 0.1% cream 15g
m41u.	Hydrocortisone 0.1% cream
m41v.	Zenoxone 1% aqueous cream
m41w.	Exe-Cort Hydrocortisone 1% cream 15g
m42..	Hydrocortisone ointments
m421.	Hydrocortisone 0.5% ointment 15g
m422.	Hydrocortisone 1% ointment 15g
m423.	Hydrocortisone 1% ointment 30g
m424.	Hydrocortisone 1% ointment 100g
m425.	Efcortelan 0.5% ointment 15g
m426.	Efcortelan P 1% ointment 15g
m427.	Efcortelan 1% ointment 50g
m428.	Efcortelan 2.5% ointment 15g
m429.	Hydrocortistab 1% ointment 15g
m42A.	Hydrocortisone 2.5% ointment 15g
