emis	description
ACTA22	Acetazolamide  Tablets  250 mg
CLIN4751	Clonazepam  Injection  1mg/ml, 1 ml ampoule
DIRE25093EMIS	Diazepam  Rectubes  5 mg
DIRE29885EMIS	Diazepam Rectubes  Rectal tubes  10 mg
DISU13303NEMIS	Diazepam  Suspension  10 mg/5 ml
EPCA1071	Epanutin  Capsules  100 mg
EPM/23962EMIS	Epilim Chrono  M/R tablets  500 mg
EPTA1091	Epilim  E/c tablets  200 mg
ETCA4905	Ethosuximide  Capsules  250 mg
ETSY4906	Ethosuximide  Oral solution  250 mg/5 ml
GATA4734NEMIS	Gabapentin  Tablets  800 mg
KETA5620NEMIS	Keppra  Tablets  1000 mg
LADI24491EMIS	Lamictal  Dispersible tablets  5 mg
LATA17992EMIS	Lamictal  Tablets  100 mg
LETA100738NEMIS	Lecaent  Capsules  300 mg
LYCA18437NEMIS	Lyrica  Capsules  25 mg
MIIN6930	Midazolam  Injection  10 mg/5 ml ampoule
MYSU4005	Mysoline  Suspension  250mg/5 ml
PHTA17819NEMIS	Phenobarbital  Tablets  60 mg
SATA9641BRIDL	Sabril  Tablets  500 mg
SOM/25447NEMIS	Sodium Valproate  M/R capsules  150 mg
SOOR26540EMIS	Sodium Valproate  Oral solution  200 mg/5 ml
TECH9560BRIDL	Tegretol Chewtabs  Chewable tablets  100 mg
TOTA27749EMIS	Topamax  Tablets  100 mg
ZOCA20276NEMIS	Zonegran  Capsules  25 mg
CATA3285	Carbamazepine  Tablets  100 mg
COE/23446EMIS	Convulex  E/c capsules  500 mg
EPCA1071	Epanutin  Capsules  100 mg
EPM/30464NEMIS	Epilim Chronosphere  M/R granules  100 mg
LADI24489EMIS	Lamictal  Dispersible tablets  100 mg
LADI24490EMIS	Lamictal  Dispersible tablets  25 mg
LATA17993EMIS	Lamictal  Tablets  50 mg
NECA23639EMIS	Neurontin  Capsules  100 mg
NOTA23827EMIS	Nootropil  Tablets  1.2 grams
PHIN17812NEMIS	Phenobarbital  Solution for injection  200 mg/1 ml ampoule
PRCA18434NEMIS	Pregabalin  Capsules  200 mg
PRTA47630NEMIS	Primidone  Tablets  50 mg
RECA100514NEMIS	Rewisca  Capsules  50 mg
RITA2459	Rivotril  Tablets  2 mg
ACCA20	Acetazolamide  Capsules  500 mg
CAM/6325NEMIS	Carbamazepine  M/R tablets  200 mg
CATA3287	Carbamazepine  Tablets  400 mg
DEGR78275NEMIS	Desitrend  Granules  1000 mg sachet
DISY4827	Diazepam  Syrup  2 mg/5 ml
EPM/36261NEMIS	Epilim Chronosphere  M/R granules  1 gram
LETA5613NEMIS	Levetiracetam  Tablets  250 mg
LYCA18439NEMIS	Lyrica  Capsules  75 mg
MIOR40606NEMIS	Midazolam  Oromucosal Solution  (5 mg/ml) 2.5 mg/0.5 ml Oral Syringe
NOTA23828EMIS	Nootropil  Tablets  800 mg
PHCA19758EMIS	Phenytoin Sodium  Capsules  300 mg
PHSU1331NEMIS	Phenytoin  Suspension  30 mg/5 ml
PRCA18432NEMIS	Pregabalin  Capsules  100 mg
PRTA47630NEMIS	Primidone  Tablets  50 mg
RECA100514NEMIS	Rewisca  Capsules  50 mg
RECA100518NEMIS	Rewisca  Capsules  200 mg
RECA100519NEMIS	Rewisca  Capsules  225 mg
SOSU26541EMIS	Sodium Valproate  Sugar-free oral solution  200 mg/5 ml
SOTA2629	Sodium Valproate  Crushable tablets  100 mg
TOCA18896NEMIS	Topiramate  Capsules  25 mg
VISA21949EMIS	Vigabatrin  Sachets  Sugar Free 500 mg
ZOCA20271NEMIS	Zonisamide  Capsules  25 mg
ZOCA20277NEMIS	Zonegran  Capsules  50 mg
DETA6400NEMIS	Depakote  E/c tablets  250 mg
