readcode	description
a517.00	*CANTIL+PHENOBARBITONE tablets
bc6..00	PHENYTOIN SODIUM [ANTIARRHYTHMIC]
bc61.00	EPANUTIN READY MIXED PARENTERAL 250mg/5mL injection
bc62.00	PHENYTOIN 250mg/5mL injection
d21..00	DIAZEPAM [ANXIOLYTIC]
d211.00	*DIAZEPAM 2mg capsules
d212.00	*DIAZEPAM 5mg capsules
d213.00	DIAZEPAM 2mg tablets
d214.00	DIAZEPAM 5mg tablets
d215.00	DIAZEPAM 10mg tablets
d216.00	DIAZEPAM 2mg/5mL elixir
d21A.00	DIAZEPAM 5mg/5mL oral solution
d21J.00	DIAZEPAM 10mg/5mL suspension
d21z.00	*DIAZEPAM 10mg suppositories
d26..00	CLOBAZAM
d261.00	*CLOBAZAM 10mg capsules
d263.00	CLOBAZAM 10mg tablets
d266.00	CLOBAZAM 5mg/5mL oral suspension
d268.00	CLOBAZAM 10mg/5mL oral suspension
dn1..00	ACETAZOLAMIDE [EPILEPSY]
dn11.00	DIAMOX [EP] 500mg m/r capsules
dn12.00	DIAMOX [EP] 250mg tablets
dn13.00	DIAMOX [EP] 500mg injection
dn1x.00	ACETAZOLAMIDE [EP] 500mg m/r capsules
dn1y.00	ACETAZOLAMIDE [EP] 250mg tablets
dn1z.00	ACETAZOLAMIDE [EP] 500mg injection
dn3..00	CARBAMAZEPINE
dn31.00	CARBAMAZEPINE 100mg tablets
dn32.00	CARBAMAZEPINE 200mg tablets
dn33.00	CARBAMAZEPINE 400mg tablets
dn34.00	TEGRETOL 100mg tablets
dn35.00	TEGRETOL 200mg tablets
dn36.00	TEGRETOL 400mg tablets
dn37.00	TEGRETOL 100mg/5mL sugar free liquid
dn38.00	TEGRETOL RETARD 200mg m/r tabs
dn39.00	TEGRETOL RETARD 400mg m/r tabs
dn3A.00	*EPIMAZ 100mg tablets
dn3B.00	*EPIMAZ 200mg tablets
dn3C.00	*EPIMAZ 400mg tablets
dn3D.00	TEGRETOL 125mg suppositories
dn3E.00	TEGRETOL 250mg suppositories
dn3F.00	TIMONIL RETARD 200mg m/r tablets
dn3G.00	TIMONIL RETARD 400mg m/r tablets
dn3H.00	*TERIL CR 200mg m/r tablets
dn3H.11	TERIL RETARD 200mg m/r tablets
dn3I.00	*TERIL CR 400mg m/r tablets
dn3I.11	TERIL RETARD 400mg m/r tablets
dn3J.00	CARBAGEN SR 200mg m/r tablets
dn3K.00	CARBAGEN SR 400mg m/r tablets
dn3a.00	CARBAMAZEPINE 200mg m/r tabs
dn3b.00	CARBAMAZEPINE 400mg m/r tabs
dn3c.00	TEGRETOL 100mg chewable tablets
dn3d.00	TEGRETOL 200mg chewable tablets
dn3e.00	*ARBIL MR 200mg m/r tablets
dn3f.00	*ARBIL MR 400mg m/r tablets
dn3v.00	CARBAMAZEPINE 125mg suppositories
dn3w.00	CARBAMAZEPINE 250mg suppositories
dn3x.00	CARBAMAZEPINE 200mg chewable tablets
dn3y.00	CARBAMAZEPINE 100mg chewable tablets
dn3z.00	CARBAMAZEPINE 100mg/5mL sugar free liquid
dn4..00	CLONAZEPAM [EPILEPSY CONTROL]
dn41.00	*RIVOTRIL 500mcg tablets
dn42.00	*RIVOTRIL 2mg tablets
dn4w.00	CLONAZEPAM 0.5mg/5mL sugar free oral solution
dn4x.00	CLONAZEPAM 2mg/5mL sugar free oral solution
dn4y.00	CLONAZEPAM 500microgram tablets
dn4z.00	CLONAZEPAM 2mg tablets
dn5..00	ETHOSUXIMIDE
dn51.00	*ETHOSUXIMIDE 250mg capsules
dn52.00	*ETHOSUXIMIDE 250mg/5mL elixir
dn53.00	*EMESIDE 250mg capsules
dn54.00	EMESIDE 250mg/5mL syrup
dn55.00	*ZARONTIN 250mg capsules
dn56.00	ZARONTIN 250mg/5mL syrup
dn5x.00	ETHOSUXIMIDE 250mg capsules
dn5y.00	*ETHOSUXIMIDE 250mg/5mL elixir
dn5z.00	ETHOSUXIMIDE 250mg/5mL syrup
dn7..00	PHENOBARBITAL
dn7..11	PHENOBARBITONE
dn71.00	PHENOBARBITAL 15mg tablets
dn71.11	PHENOBARBITONE 15mg tablets
dn72.00	PHENOBARBITAL 30mg tablets
dn72.11	PHENOBARBITONE 30mg tablets
dn73.00	PHENOBARBITAL 60mg tablets
dn73.11	PHENOBARBITONE 60mg tablets
dn74.00	PHENOBARBITAL 100mg tablets
dn74.11	PHENOBARBITONE 100mg tablets
dn75.00	PHENOBARBITONE SODIUM 30mg tablets
dn76.00	PHENOBARBITONE SODIUM 60mg tablets
dn77.00	PHENOBARBITONE 15mg/10mL elixir
dn78.00	PHENOBARBITAL 200mg/1mL injection
dn78.11	PHENOBARBITONE 200mg/1mL injection
dn79.00	*GARDENAL 200mg/1mL injection
dn7a.00	*LUMINAL 15mg tablets
dn7b.00	*LUMINAL 30mg tablets
dn7c.00	*LUMINAL 60mg tablets
dn7d.00	PHENOBARBITAL 15mg/5mL elixir
dn7d.11	PHENOBARBITONE 15mg/5mL elixir
dn8..00	PHENYTOIN
dn81.00	EPANUTIN 30mg/5mL suspension
dn82.00	EPANUTIN 50mg Infatabs
dn83.00	PHENYTOIN 50mg chewable tablets
dn8y.00	PHENYTOIN 30mg/5mL suspension
dn8z.00	PHENYTOIN 90mg/5mL sugar free suspension
dn9..00	PHENYTOIN SODIUM
dn91.00	PHENYTOIN 50mg tablets
dn92.00	PHENYTOIN 100mg tablets
dn93.00	*EPANUTIN 25mg capsules
dn94.00	*EPANUTIN 50mg capsules
dn95.00	*EPANUTIN 100mg capsules
dn96.00	*EPANUTIN 300mg capsules
dn97.00	*PENTRAN 50mg tablets
dn98.00	*PENTRAN 100mg tablets
dn9w.00	PHENYTOIN SODIUM 300mg capsules
dn9x.00	PHENYTOIN SODIUM 25mg caps
dn9y.00	PHENYTOIN SODIUM 50mg capsules
dn9z.00	PHENYTOIN SODIUM 100mg capsules
dna..00	PRIMIDONE
dna1.00	*MYSOLINE 250mg tablets
dna2.00	MYSOLINE 250mg/5mL oral suspension
dna3.00	*MYSOLINE 50mg tablets
dnax.00	PRIMIDONE 50mg tablets
dnay.00	PRIMIDONE 250mg tablets
dnaz.00	PRIMIDONE 250mg/5mL oral suspension
dnb..00	SODIUM VALPROATE
dnb1.00	EPILIM 100mg crushable tablets
dnb2.00	EPILIM 200mg e/c tablets
dnb3.00	EPILIM 500mg e/c tablets
dnb4.00	EPILIM 200mg/5mL sugar free liquid
dnb5.00	EPILIM 200mg/5mL syrup
dnb6.00	EPILIM IV 400mg/4mL injection
dnb7.00	SODIUM VALPROATE 200mg e/c tablets
dnb8.00	SODIUM VALPROATE 500mg e/c tablets
dnb9.00	ORLEPT STARTER PACK 200mg e/c tablets x10
dnbA.00	ORLEPT 200mg/5mL sugar free liquid
dnbB.00	EPIVAL CR 300mg m/r tablets
dnbC.00	EPIVAL CR 500mg m/r tablets
dnbD.00	EPISENTA 300mg/3mL solution for injection
dnbE.00	SODIUM VALPROATE 300mg/3mL solution for injection
dnbF.00	EPISENTA 150mg m/r capsules
dnbG.00	EPISENTA 300mg m/r capsules
dnbH.00	EPISENTA 500mg/sachet m/r granules
dnbI.00	EPISENTA 1g/sachet m/r granules
dnbJ.00	SODIUM VALPROATE 150mg m/r capsules
dnbK.00	SODIUM VALPROATE 300mg m/r capsules
dnbL.00	SODIUM VALPROATE 500mg/sachet m/r granules
dnbM.00	SODIUM VALPROATE 1g/sachet m/r granules
dnbN.00	SODIUM VALPROATE 1g/10mL solution for injection
dnbO.00	EPISENTA 1g/10mL solution for injection
dnbP.00	EPILIM CHRONOSPHERE 50mg/sachet m/r granules
dnbQ.00	EPILIM CHRONOSPHERE 100mg/sachet m/r granules
