readcode	Description
daD..00	AGOMELATINE
daD2.00	AGOMELATINE 25mg tablets
daD1.00	VALDOXAN 25mg tablets
da2..00	TRYPTOPHAN
da2z.00	*TRYPTOPHAN 1g/6g powder
da2y.00	*TRYPTOPHAN 500mg tablets
da24.00	*PACITRON 500mg tablets
da23.00	*OPTIMAX WV 500mg tablets
da22.00	*OPTIMAX 1g/6g powder
da21.00	*OPTIMAX 500mg tablets
daA..00	REBOXETINE
daA1.00	REBOXETINE 4mg tablets
daA2.00	EDRONAX 4mg tablets
da3..00	FLUVOXAMINE MALEATE
da34.00	FLUVOXAMINE MALEATE 100mg tablets
da32.00	FLUVOXAMINE MALEATE 50mg tablets
da33.00	FAVERIN 100mg tablets
da31.00	FAVERIN 50mg tablets
daC..00	ESCITALOPRAM
daCA.00	ESCITALOPRAM 20mg/mL oral drops
daC7.00	ESCITALOPRAM 10mg/mL oral drops
daC5.00	ESCITALOPRAM 5mg tablets
daC3.00	ESCITALOPRAM 20mg tablets
daC1.00	ESCITALOPRAM 10mg tablets
daC9.00	CIPRALEX 20mg/mL oral drops
daC8.00	*CIPRALEX 10mg/mL oral drops
daC6.00	CIPRALEX 5mg tablets
daC4.00	CIPRALEX 20mg tablets
daC2.00	CIPRALEX 10mg tablets
daB..00	MIRTAZAPINE
daBz.00	MIRTAZAPINE 15mg tablets
daBy.00	MIRTAZAPINE 45mg tablets
daB7.00	MIRTAZAPINE 45mg oro-dispersible tablets
daB5.00	MIRTAZAPINE 15mg oro-dispersible tablets
daB3.00	MIRTAZAPINE 30mg oro-dispersible tablets
daB1.00	MIRTAZAPINE 30mg tablets
daB8.00	ZISPIN SOLTAB 45mg oro-dispersible tablets
daB6.00	ZISPIN SOLTAB 15mg oro-dispersible tablets
daB4.00	ZISPIN SOLTAB 30mg oro-dispersible tablets
daB2.00	*ZISPIN 30mg tablets
da5..00	SERTRALINE HYDROCHLORIDE
da52.00	SERTRALINE 100mg tablets
da51.00	SERTRALINE 50mg tablets
da54.00	LUSTRAL 100mg tablets
da53.00	LUSTRAL 50mg tablets
da9..00	CITALOPRAM
da9z.00	CITALOPRAM 40mg/mL oral drops
da95.00	CITALOPRAM 40mg tablets
da93.00	CITALOPRAM 10mg tablets
da91.00	CITALOPRAM 20mg tablets
da9A.00	*PAXORAN 40mg tablets
da99.00	*PAXORAN 20mg tablets
da98.00	*PAXORAN 10mg tablets
da97.00	CIPRAMIL 40mg/mL oral drops 15mL
da96.00	*CIPRAMIL 40mg tablets
da94.00	*CIPRAMIL 10mg tablets
da92.00	CIPRAMIL 20mg tablets
da7..00	VENLAFAXINE
da7w.00	VENLAFAXINE 225mg m/r capsules
da7q.00	VENLAFAXINE 37.5mg m/r tablets
da7Y.00	VENLAFAXINE 225mg m/r tablets
da7K.00	VENLAFAXINE 150mg m/r tablets
da7I.00	VENLAFAXINE 75mg m/r tablets
da79.00	VENLAFAXINE 150mg m/r capsules
da77.00	VENLAFAXINE 75mg m/r capsules
da75.00	*VENLAFAXINE 50mg tablets
da72.00	VENLAFAXINE 75mg tablets
da71.00	VENLAFAXINE 37.5mg tablets
da7v.00	EFEXOR XL 225mg m/r capsules
da7u.00	VENLADEX XL 150mg m/r tablets
