readcode	Description
13Y7.00	Alzheimer's disease society member
1461.00	H/O: dementia
66h..00	Dementia monitoring
6AB..00	Dementia annual review
8BM0200	Dementia medication review
8BM5000	Shared care prescribing of drugs for dementia
8BM6000	Shared care prescribing of drugs for dementia declined
8BPa.00	Antipsychotic drug therapy for dementia
8CMG200	Review of dementia advance care plan
8CMZ.00	Dementia care plan
8CMZ000	Dementia care plan agreed
8CMZ100	Dementia care plan reviewed
8CMZ200	Dementia care plan declined
8CMZ300	Dementia care plan review declined
8CMe000	Dementia advance care plan
8CSA.00	Dementia advance care plan agreed
8Hla.00	Referral to dementia care advisor
8IAe000	Dementia advance care plan declined
8IAe200	Dementia advance care plan review declined
8T05.00	Referral to dementia service
8T05000	Referral to dementia support organisation
8T05100	Referral to dementia support organisation declined
8T0Y.00	Referral to Alzheimer's Society
9Ou..00	Dementia monitoring administration
9Ou1.00	Dementia monitoring first letter
9Ou2.00	Dementia monitoring second letter
9Ou3.00	Dementia monitoring third letter
9Ou4.00	Dementia monitoring verbal invite
9Ou5.00	Dementia monitoring telephone invite
E00..00	Senile and presenile organic psychotic conditions
E00..11	Senile dementia
E00..12	Senile/presenile dementia
E000.00	Uncomplicated senile dementia
E001.00	Presenile dementia
E001000	Uncomplicated presenile dementia
E001100	Presenile dementia with delirium
E001200	Presenile dementia with paranoia
E001300	Presenile dementia with depression
E001z00	Presenile dementia NOS
E002.00	Senile dementia with depressive or paranoid features
E002000	Senile dementia with paranoia
E002100	Senile dementia with depression
E002z00	Senile dementia with depressive or paranoid features NOS
E003.00	Senile dementia with delirium
E004.00	Arteriosclerotic dementia
E004.11	Multi infarct dementia
E004000	Uncomplicated arteriosclerotic dementia
E004100	Arteriosclerotic dementia with delirium
E004200	Arteriosclerotic dementia with paranoia
E004300	Arteriosclerotic dementia with depression
E004z00	Arteriosclerotic dementia NOS
E012.00	Other alcoholic dementia
E012.11	Alcoholic dementia NOS
E02y100	Drug-induced dementia
E041.00	Dementia in conditions EC
Eu00.00	[X]Dementia in Alzheimer's disease
Eu00000	[X]Dementia in Alzheimer's disease with early onset
Eu00011	[X]Presenile dementia,Alzheimer's type
Eu00012	[X] Primary degenerative dementia of Alzheimer's type, presenile onset
Eu00013	[X]Alzheimer's disease type 2
Eu00100	[X]Dementia in Alzheimer's disease with late onset
Eu00111	[X]Alzheimer's disease type 1
Eu00112	[X]Senile dementia,Alzheimer's type
Eu00113	[X]Primary degenerative dementia of Alzheimer's type, senile onset
Eu00200	[X]Dementia in Alzheimer's dis, atypical or mixed type
Eu00z00	[X]Dementia in Alzheimer's disease, unspecified
Eu00z11	[X]Alzheimer's dementia unspec
Eu01.00	[X]Vascular dementia
Eu01.11	[X]Arteriosclerotic dementia
Eu01000	[X]Vascular dementia of acute onset
Eu01100	[X]Multi-infarct dementia
Eu01111	[X]Predominantly cortical dementia
Eu01200	[X]Subcortical vascular dementia
Eu01300	[X]Mixed cortical and subcortical vascular dementia
Eu01y00	[X]Other vascular dementia
Eu01z00	[X]Vascular dementia, unspecified
Eu02.00	[X]Dementia in other diseases classified elsewhere
Eu02000	[X]Dementia in Pick's disease
Eu02100	[X]Dementia in Creutzfeldt-Jakob disease
Eu02200	[X]Dementia in Huntington's disease
Eu02300	[X]Dementia in Parkinson's disease
Eu02400	[X]Dementia in human immunodef virus [HIV] disease
Eu02500	[X]Lewy body dementia
Eu02y00	[X]Dementia in other specified diseases classif elsewhere
Eu02z00	[X] Unspecified dementia
Eu02z11	[X] Presenile dementia NOS
Eu02z13	[X] Primary degenerative dementia NOS
Eu02z14	[X] Senile dementia NOS
Eu02z16	[X] Senile dementia, depressed or paranoid type
Eu04000	[X]Delirium not superimposed on dementia, so described
Eu04100	[X]Delirium superimposed on dementia
Eu10711	[X]Alcoholic dementia NOS
Eu84311	[X]Dementia infantalis
F110.00	Alzheimer's disease
F110000	Alzheimer's disease with early onset
F110100	Alzheimer's disease with late onset
F111.00	Pick's disease
F116.00	Lewy body disease
Fyu3000	[X]Other Alzheimer's disease
