readcode	Description
1Z12.00	Chronic kidney disease stage 3
1Z13.00	Chronic kidney disease stage 4
1Z14.00	Chronic kidney disease stage 5
1Z15.00	Chronic kidney disease stage 3A
1Z16.00	Chronic kidney disease stage 3B
1Z1B.00	Chronic kidney disease stage 3 with proteinuria
1Z1B.11	CKD stage 3 with proteinuria
1Z1C.00	Chronic kidney disease stage 3 without proteinuria
1Z1C.11	CKD stage 3 without proteinuria
1Z1D.00	Chronic kidney disease stage 3A with proteinuria
1Z1D.11	CKD stage 3A with proteinuria
1Z1E.00	Chronic kidney disease stage 3A without proteinuria
1Z1E.11	CKD stage 3A without proteinuria
1Z1F.00	Chronic kidney disease stage 3B with proteinuria
1Z1F.11	CKD stage 3B with proteinuria
1Z1G.00	Chronic kidney disease stage 3B without proteinuria
1Z1G.11	CKD stage 3B without proteinuria
1Z1H.00	Chronic kidney disease stage 4 with proteinuria
1Z1H.11	CKD stage 4 with proteinuria
1Z1J.00	Chronic kidney disease stage 4 without proteinuria
1Z1J.11	CKD stage 4 without proteinuria
1Z1K.00	Chronic kidney disease stage 5 with proteinuria
1Z1K.11	CKD stage 5 with proteinuria
1Z1L.00	Chronic kidney disease stage 5 without proteinuria
1Z1L.11	CKD stage 5 without proteinuria
1Z1T.00	CKD G3aA1 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1
1Z1V.00	CKD G3aA2 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2
1Z1W.00	CKD G3aA3 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3
1Z1X.00	CKD G3bA1 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1
1Z1Y.00	CKD G3bA2 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2
1Z1Z.00	CKD G3bA3 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3
1Z1a.00	CKD G4A1 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1
1Z1b.00	CKD G4A2 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2
1Z1c.00	CKD G4A3 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3
1Z1d.00	CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1
1Z1e.00	CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2
1Z1f.00	CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3
D215000	Anaemia secondary to chronic renal failure
K05..00	Chronic renal failure
K05..12	End stage renal failure
K05..13	Chronic kidney disease
K050.00	End stage renal failure
K053.00	Chronic kidney disease stage 3
K054.00	Chronic kidney disease stage 4
K055.00	Chronic kidney disease stage 5
K0E..00	Acute-on-chronic renal failure
Kyu2100	[X]Other chronic renal failure
