CTV3ID	Description
63C6.	Maternal drug abuse
9G2..	Drug addiction notification
9G21.	Drug addict notific to CMO
9G22.	Drug addict re-notific due
9G23.	Drug addict re-notif to CMO
9G24.	Drug addict-notify local SMR22
9G2Z.	Drug addiction notif NOS
E24..	Drug dependence
E240.	Opioid type drug dependence
E2400	Unspecified opioid dependence
E2401	Continuous opioid dependence
E2402	Episodic opioid dependence
E2403	Opioid dependence in remission
E240z	Opioid drug dependence NOS
E241.	Valium dependence
E2410	Hypnotic or anxiolytic dependence, unspecified
E2411	Hypnotic or anxiolytic dependence, continuous
E2412	Hypnotic or anxiolytic dependence, episodic
E2413	Hypnotic or anxiolytic dependence in remission
E241z	Hypnotic or anxiolytic dependence NOS
E242.	Cocaine type drug dependence
E2420	Cocaine dependence, unspecified
E2421	Cocaine dependence, continuous
E2422	Cocaine dependence, episodic
E2423	Cocaine dependence in remission
E242z	Cocaine drug dependence NOS
E243.	Hashish dependence
E2430	Cannabis dependence, unspecified
E2431	Cannabis dependence, continuous
E2432	Cannabis dependence, episodic
E2433	Cannabis dependence in remission
E243z	Cannabis drug dependence NOS
E244.	Stimulant dependence
E2440	Amphetamine or psychostimulant dependence, unspecified
E2441	Amphetamine or psychostimulant dependence, continuous
E2442	Amphetamine or psychostimulant dependence, episodic
E2443	Amphetamine or psychostimulant dependence in remission
E244z	Amphetamine or psychostimulant dependence NOS
E245.	Mescaline dependence
E2450	Hallucinogen dependence, unspecified
E2451	Hallucinogen dependence, continuous
E2452	Hallucinogen dependence, episodic
E2453	Hallucinogen dependence in remission
E245z	Hallucinogen dependence NOS
E246.	[X]Drug addiction - solvent
E2460	Glue sniffing dependence, unspecified
E2461	Glue sniffing dependence, continuous
E2462	Glue sniffing dependence, episodic
E2463	Glue sniffing dependence in remission
E246z	Glue sniffing dependence NOS
E247.	Other specified drug dependence
E2470	Other specified drug dependence, unspecified
E2471	Other specified drug dependence, continuous
E2472	Other specified drug dependence, episodic
E2473	Other specified drug dependence in remission
E247z	Other specified drug dependence NOS
E248.	Combined opioid with other drug dependence
E2480	Combined opioid with other drug dependence, unspecified
E2481	Combined opioid with other drug dependence, continuous
E2482	Combined opioid with other drug dependence, episodic
E2483	Combined opioid with other drug dependence in remission
E248z	Combined opioid with other drug dependence NOS
E249.	Combined drug dependence, excluding opioids
E2490	Combined drug dependence, excluding opioid, unspecified
E2491	Combined drug dependence, excluding opioid, continuous
E2492	Combined drug dependence, excluding opioid, episodic
E2493	Combined drug dependence, excluding opioid, in remission
E249z	Combined drug dependence, excluding opioid, NOS
E24A.	Ecstasy type drug dependence
E24z.	Drug dependence NOS
E252.	Nondependent cannabis abuse
E2520	Nondependent cannabis abuse, unspecified
E2521	Nondependent cannabis abuse, continuous
E2522	Nondependent cannabis abuse, episodic
E2523	Nondependent cannabis abuse in remission
E252z	Nondependent cannabis abuse NOS
E253.	LSD reaction
E2530	Nondependent hallucinogen abuse, unspecified
E2531	Nondependent hallucinogen abuse, continuous
E2532	Nondependent hallucinogen abuse, episodic
E2533	Nondependent hallucinogen abuse in remission
E253z	Nondependent hallucinogen abuse NOS
E254.	Nondependent hypnotic or anxiolytic abuse
E2540	Nondependent hypnotic or anxiolytic abuse, unspecified
E2541	Nondependent hypnotic or anxiolytic abuse, continuous
E2542	Nondependent hypnotic or anxiolytic abuse, episodic
E2543	Nondependent hypnotic or anxiolytic abuse in remission
E254z	Nondependent hypnotic or anxiolytic abuse NOS
E255.	Nondependent opioid abuse
E2550	Nondependent opioid abuse, unspecified
E2551	Nondependent opioid abuse, continuous
E2552	Nondependent opioid abuse, episodic
