readcode	Description
12X2.00	Paternal drug misuse
13Ho.00	Witness to adult substance misuse
13We.00	Drug misuser in household
13c..00	Drug user
13c0.00	Injecting drug user
13c1.00	Intravenous drug user
13c2.00	Never injecting drug user
13c3.00	Intramuscular drug user
13c4.00	Intranasal drug user
13c5.00	Substance misuse increased
13c6.00	Substance misuse decreased
13c7.00	Current drug user
13c8.00	Reduced drugs misuse
13c9.00	Subcutaneous drug user
13cA.00	Smokes drugs
13cB.00	Misuses drugs orally
13cC.00	Continuous use of drugs
13cD.00	Episodic use of drugs
13cE.00	Prolonged high dose use of cannabis
13cF.00	Preoccupied with substance misuse
13cH.00	Persistent substance misuse
13cJ.00	Previously injecting drug user
13cK.00	Current non recreational drug user
13cM.00	Substance misuse
13cM000	Novel psychoactive substance misuse
13cM100	Opioid analgesic dependence
13cQ.00	Behavioural tolerance to drug
13cR.00	Physical tolerance to drug
13cS.00	Psychological tolerance to drug
13cT.00	Reverse tolerance to drug
146C.00	Failed heroin detoxification
1T...00	History of substance misuse
1T02.00	Previous history of heroin misuse
1T23.00	Previous history of ecstasy misuse
1TE..00	Uses heroin on top of substitution therapy
1V...00	Drug misuse behaviour
1V0..00	Misuses drugs
1V00.00	Occasional drug user
1V01.00	Long-term drug misuser
1V02.00	Poly-drug misuser
1V03.00	Misuses drugs sublingually
1V04.00	Misuses drugs rectally
1V05.00	Misuses drugs vaginally
1V06.00	Uses drug paraphernalia
1V07.00	Notified addict
1V08.00	Smokes drugs in cigarette form
1V09.00	Smokes drugs through a pipe
1V0A.00	Chases the dragon
1V0B.00	Sniffs drugs
1V0C.00	Drug addict
1V0D.00	Amount of money spent per day on drug habit
1V0E.00	Health problem secondary to drug misuse
1V2..00	Frequency of drug misuse
1V22.00	Age at starting drug misuse
1V23.00	Time since stopped drug misuse
1V24.00	Total time drugs misused
1V25.00	Has never misused drugs
1V26.00	Misused drugs in past
1V3..00	Drug injection behaviour
1V30.00	Injects drugs subcutaneously
1V31.00	Injects drugs intramuscularly
1V32.00	Neck injector
1V33.00	Groin injector
1V35.00	Shares drug equipment
1V36.00	Frontloading
1V37.00	Drug injecting equipment hygiene
1V38.00	Sharing of drug injecting equipment
1V3A.00	Does not share drug injection equipment
1V3B.00	Shares syringes
1V3C.00	Shares needles
1V3D.00	Cleaning of needles
1V3E.00	Cleans own needles
1V3F.00	Cleans needles with bleach
1V3G.00	Does not clean needles
1V3H.00	Obtains clean needles
1V3J.00	Uses needle exchange scheme
1V3K.00	Obtains clean syringes
1V3L.00	Use of needle and syringe exchange scheme
1V3M.00	Does not use needle and syringe exchange scheme
1V3N.00	Uses needle and syringe exchange scheme
1V6..00	Drug-related offending behaviour
1V64.00	Illicit drug use
1V65.00	Heroin misuse
1V66.00	Ecstasy misuse
388k.00	Christo inventory for substance-misuse services score
63C6.00	Maternal drug abuse
63C6.11	Maternal drug misuse
677T.00	Substance misuse structured counselling
67DD.00	Provision of information about needle and syringe exchange scheme
7P22000	Delivery of rehabilitation for drug addiction
8AA..00	Drug abuse monitoring
8B23.00	Drug addiction therapy
8B23.13	Drug dependence therapy
8B23000	Drug addiction maintenance therapy - naltrexone
8B23100	Drug addiction maintenance therapy - lofexidine
8B2N.00	Drug addiction detoxification therapy - methadone
8B2P.00	Drug addiction maintenance therapy - methadone
8B2Q.00	Drug addiction maintenance therapy - buprenorphine
8B2R.00	Drug addiction detoxification therapy - buprenorphine
8BA9.00	Detoxification dependence drug
8BAW.00	Drug dependence self detoxification
8BAX.00	Drug dependence home detoxification
8BAc.00	Substance misuse management stopped - self withdrawal
8BAo.00	Benzodiazepine dependence detoxification
8H7x.00	Referral to drug abuse counsellor
8Hh1.00	Self referral to substance misuse service
8HkF.00	Referral to substance misuse service
8Hq..00	Admission to substance misuse detoxification centre
8I2N.00	Drug dependence home detoxification contraindicated
8T24.00	Referral for brief intervention for substance misuse
8T25.00	Referral for specialist substance misuse intervention
8W1..00	Referral to mental health services deferred until substance misuse resolved
918a.00	Carer of a person with substance misuse
9G2..00	Drug addiction notification
9G2..11	Drug addict notific admin
9G21.00	Drug addict notific to CMO
9G22.00	Drug addict re-notific due
9G23.00	Drug addict re-notif to CMO
9G2Z.00	Drug addiction notif NOS
9HC..00	Substance misuse monitoring
9HC2.00	Substance misuse clinical management plan agreed
9HC3.00	Substance misuse clinical management plan reviewed
9HC4.00	Substance misuse treatment withdrawn
9HC5.00	Substance misuse treatment programme completed
9HC6.00	Substance misuse treatment declined
9HC7.00	Substance misuse treatment not available
9HC8.00	Declined to give substance misuse history
9HC9.00	Substance misuse treatment programme delivered by other healthcare provider
9HCA.00	Substance misuse monitoring 6 month review
9HCB.00	Substance misuse monitoring annual review
9HCC.00	On substance misuse programme
9N1yJ00	Seen in drug misuse clinic
9N4i.00	DNA - Did not attend substance misuse clinic
9NX2.00	In-house substance misuse treatment
9NdN.00	Declined consent for notification of drug misuse
9No5.00	Seen in substance misuse clinic
9k5..00	Drug misuse - enhanced services administration
