Xa5gp	Pentostatin allergy
Xa5q0	Nystatin allergy
Xa5zt	Simvastatin allergy
Xa5zu	Fluvastatin allergy
Xa5zv	Pravastatin allergy
XaJ5z	H/O: angiotensin II receptor antagonist allergy
XaJ5z	H/O: angiotensin II receptor antagonist allergy
XaJ5y	H/O: angiotensin converting enzyme inhibitor allergy
Xa60w	Angiotensin-converting-enzyme inhibitor allergy
XaJ8Y	[V]Personal history of angiotensin-converting-enzyme inhibitor allergy
XaJ3e	H/O: clopidogrel allergy
XaJ8V	[V]Personal history of clopidogrel allergy
