^ESCT1177939	Psychosomatic disorder
^ESCT1191490	[X]Depressive personality disorder
^ESCT1191874	[X]Neurotic disorder, unspecified
^ESCT1192089	[X]Phobia NOS
^ESCT1192488	Neurasthenia
^ESCT1270383	[X]Organic anxiety disorder
^ESCT1379655	Obsessional thoughts of causing self harm
^ESCT1379656	Obsessional thoughts of causing self-harm
^ESCT1406131	Dysmorphophobia
^ESCTAB646223	Abnormal fear
^ESCTAC359265	Acute stress disorder
^ESCTAC359267	Acute crisis reaction
^ESCTAC359270	Acute reaction to stress
^ESCTAC493770	Acknowledging anxiety
^ESCTAD326581	Adjustment disorder with anxious mood
^ESCTAD326583	Adjustment disorder with anxiety
^ESCTAL494898	Alleviating anxiety
^ESCTAM498154	AMT - Anxiety management training
^ESCTAN252038	Anancastic personality disorder
^ESCTAN328774	Anxiety
^ESCTAN328777	Anxiety reaction
^ESCTAN378511	Anxious cognitions
^ESCTAN395038	Anxiety about blushing
^ESCTAN476486	Anankastic neurosis
^ESCTAN494440	Anxiety about treatment
^ESCTAN494441	Anxiety about forced dependence
^ESCTAN494442	Anxiety about loss of control
^ESCTAN494450	Anxiety about making mistakes
^ESCTAN494451	Anxiety about getting it wrong
^ESCTAN494452	Anxiety about altered body image
^ESCTAN494900	Anxiety reduction
^ESCTAN502407	Anxiety depression
^ESCTAN502410	Anxiety hysteria
^ESCTAN524899	Anxiety and fear
^ESCTAN524906	Anxiety about body function or health
^ESCTAN524907	Anxiety about health
^ESCTAN524926	Anxiety about behaviour or performance
^ESCTAN524927	Anxiety about social functioning
^ESCTAN524928	Anxiety about behavior or performance
^ESCTAN560519	Anxiety about losing control of bowels
^ESCTAN560520	Anxiety about wetting self
^ESCTAN560521	Anxiety about vomiting in public
^ESCTAN560522	Anxiety about having a fit
^ESCTAN560523	Anxiety about choking
^ESCTAN560524	Anxiety about swallowing
^ESCTAN560525	Anxiety about collapsing
^ESCTAN560526	Anxiety about shaking
^ESCTAN560527	Anxiety about sweating
^ESCTAN560528	Anxiety about dying
^ESCTAN560529	Anxiety about going crazy
^ESCTAN560530	Anxiety about going insane
^ESCTAN560531	Anxiety about going mad
^ESCTAN560532	Anxiety about losing emotional control
