^ESCT1204867	ADNP-related multiple congenital anomalies, intellectual disability, autism spectrum disorder
^ESCT1204868	Helsmoortel-van der Aa syndrome
^ESCT1204869	Activity dependent neuroprotector homeobox related multiple congenital anomalies, intellectual disability, autism spectrum disorder
^ESCTAC726261	Active but odd autism
^ESCTAD846567	ADI-R - Autism Diagnostic Interview-Revised
^ESCTAT502442	Atypical autistic syndrome
^ESCTAU320238	Autistic disorder of childhood onset
^ESCTAU320240	Autism, childhood onset
^ESCTAU676808	Autism
^ESCTAU676809	Autism disorder
^ESCTAU756709	Autism clinic
^ESCTAU782951	Autism and facial port-wine stain syndrome
^ESCTAU846352	Autism spectrum disorder diagnostic assessment
^ESCTHI756579	High-functioning autism
^ESCTIN676811	Infantile psychosis
^ESCTPA843869	PACT - Pre-school Autism Communication Therapy
^ESCTPE307847	Pervasive developmental disorder
^ESCTPE307849	Pervasive developmental disorder (PDD)
^ESCTPR843868	Pre-school Autism Communication Therapy
^ESCTRE846354	Referral to autism assessment service
EGTON219	Suspected autism
^ESCT1235866	X-linked intellectual disability-psychosis-macroorchidism syndrome
^ESCT1349549	Developmental delay with autism spectrum disorder and gait instability
^ESCT1350280	Autism epilepsy syndrome due to branched chain ketoacid dehydrogenase kinase deficiency
^ESCT1350370	Autism spectrum disorder due to AUTS2 deficiency
^ESCT1350371	Autism spectrum disorder due to AUTS2 activator of transcription and developmental regulator deficiency
^ESCT1350372	AUTS2 syndrome
^ESCT1362668	Macrocephaly, intellectual disability, autism syndrome
^ESCT1396332	Pervasive developmental disorder with marked impairment of functional language with loss of previously acquired skills
^ESCT1396333	Autism spectrum disorder with marked impairment of functional language with loss of previously acquired skills
^ESCT1396334	Pervasive developmental disorder with marked impairment of functional language without loss of previously acquired skills
^ESCT1396335	Autism spectrum disorder with marked impairment of functional language without loss of previously acquired skills
^ESCT1396336	Pervasive developmental disorder with disorder of intellectual development without loss of previously acquired skills
^ESCT1396337	Autism spectrum disorder with disorder of intellectual development and with mild or no impairment of functional language without loss of previously acquired skills
^ESCT1396338	Pervasive developmental disorder with impairment of functional language
^ESCT1396339	Autism spectrum disorder with impaired functional language
^ESCT1396340	Pervasive developmental disorder with disorder of intellectual development and pervasive impairment of functional language without loss of previously acquired skills
^ESCT1396341	Autism spectrum disorder with disorder of intellectual development and absence of functional language without loss of previously acquired skills
^ESCT1396342	Pervasive developmental disorder with disorder of intellectual development with loss of previously acquired skills
^ESCT1396343	Autism spectrum disorder with disorder of intellectual development and with mild or no impairment of functional language with loss of previously acquired skills
^ESCT1396344	Pervasive developmental disorder with disorder of intellectual development and marked impairment of functional language with loss of previously acquired skills
^ESCT1396345	Autism spectrum disorder with disorder of intellectual development and with impaired functional language with loss of previously acquired skills
