1S42.00	Manic mood
E11..11	Bipolar psychoses
E11..13	Manic psychoses
E110.00	Manic disorder, single episode
E110.11	Hypomanic psychoses
E110000	Single manic episode, unspecified
E110100	Single manic episode, mild
E110200	Single manic episode, moderate
E110300	Single manic episode, severe without mention of psychosis
E110400	Single manic episode, severe, with psychosis
E110500	Single manic episode in partial or unspecified remission
E110600	Single manic episode in full remission
E110z00	Manic disorder, single episode NOS
E111.00	Recurrent manic episodes
E111000	Recurrent manic episodes, unspecified
E111100	Recurrent manic episodes, mild
E111200	Recurrent manic episodes, moderate
E111300	Recurrent manic episodes, severe without mention psychosis
E111400	Recurrent manic episodes, severe, with psychosis
E111500	Recurrent manic episodes, partial or unspecified remission
E111600	Recurrent manic episodes, in full remission
E111z00	Recurrent manic episode NOS
E114.00	Bipolar affective disorder, currently manic
E114.11	Manic-depressive - now manic
E114000	Bipolar affective disorder, currently manic, unspecified
E114100	Bipolar affective disorder, currently manic, mild
E114200	Bipolar affective disorder, currently manic, moderate
E114300	Bipolar affect disord, currently manic, severe, no psychosis
E114400	Bipolar affect disord, currently manic,severe with psychosis
E114500	Bipolar affect disord,currently manic, part/unspec remission
E114600	Bipolar affective disorder, currently manic, full remission
E114z00	Bipolar affective disorder, currently manic, NOS
E115.00	Bipolar affective disorder, currently depressed
E115.11	Manic-depressive - now depressed
E115000	Bipolar affective disorder, currently depressed, unspecified
E115100	Bipolar affective disorder, currently depressed, mild
E115200	Bipolar affective disorder, currently depressed, moderate
E115300	Bipolar affect disord, now depressed, severe, no psychosis
E115400	Bipolar affect disord, now depressed, severe with psychosis
E115500	Bipolar affect disord, now depressed, part/unspec remission
E115600	Bipolar affective disorder, now depressed, in full remission
E115z00	Bipolar affective disorder, currently depressed, NOS
E116.00	Mixed bipolar affective disorder
E116000	Mixed bipolar affective disorder, unspecified
E116100	Mixed bipolar affective disorder, mild
E116200	Mixed bipolar affective disorder, moderate
E116300	Mixed bipolar affective disorder, severe, without psychosis
E116400	Mixed bipolar affective disorder, severe, with psychosis
E116500	Mixed bipolar affective disorder, partial/unspec remission
E116600	Mixed bipolar affective disorder, in full remission
E116z00	Mixed bipolar affective disorder, NOS
E117.00	Unspecified bipolar affective disorder
E117000	Unspecified bipolar affective disorder, unspecified
E117100	Unspecified bipolar affective disorder, mild
E117200	Unspecified bipolar affective disorder, moderate
E117300	Unspecified bipolar affective disorder, severe, no psychosis
E117400	Unspecified bipolar affective disorder,severe with psychosis
E117500	Unspecified bipolar affect disord, partial/unspec remission
E117600	Unspecified bipolar affective disorder, in full remission
E117z00	Unspecified bipolar affective disorder, NOS
E11y.00	Other and unspecified manic-depressive psychoses
E11y000	Unspecified manic-depressive psychoses
E11y100	Atypical manic disorder
E11y300	Other mixed manic-depressive psychoses
E11yz00	Other and unspecified manic-depressive psychoses NOS
Eu30.00	[X]Manic episode
Eu30.11	[X]Bipolar disorder, single manic episode
Eu30000	[X]Hypomania
Eu30100	[X]Mania without psychotic symptoms
Eu30200	[X]Mania with psychotic symptoms
Eu30211	[X]Mania with mood-congruent psychotic symptoms
Eu30212	[X]Mania with mood-incongruent psychotic symptoms
Eu30y00	[X]Other manic episodes
Eu30z00	[X]Manic episode, unspecified
Eu30z11	[X]Mania NOS
Eu31.00	[X]Bipolar affective disorder
Eu31.11	[X]Manic-depressive illness
Eu31.12	[X]Manic-depressive psychosis
Eu31.13	[X]Manic-depressive reaction
Eu31000	[X]Bipolar affective disorder, current episode hypomanic
Eu31100	[X]Bipolar affect disorder cur epi manic wout psychotic symp
Eu31200	[X]Bipolar affect disorder cur epi manic with psychotic symp
Eu31300	[X]Bipolar affect disorder cur epi mild or moderate depressn
Eu31400	[X]Bipol aff disord, curr epis sev depress, no psychot symp
Eu31500	[X]Bipolar affect dis cur epi severe depres with psyc symp
Eu31600	[X]Bipolar affective disorder, current episode mixed
Eu31700	[X]Bipolar affective disorder, currently in remission
Eu31800	[X]Bipolar affective disorder type I
Eu31900	[X]Bipolar affective disorder type II
Eu31911	[X]Bipolar II disorder
Eu31y00	[X]Other bipolar affective disorders
Eu31y11	[X]Bipolar II disorder
Eu31y12	[X]Recurrent manic episodes
Eu31z00	[X]Bipolar affective disorder, unspecified
Eu33213	[X]Manic-depress psychosis,depressd,no psychotic symptoms
Eu33312	[X]Manic-depress psychosis,depressed type+psychotic symptoms
ZRby100	Profile of mood states, bipolar
