B210.00	Malignant neoplasm of glottis
B21..00	Malignant neoplasm of larynx
B34..11	Ca female breast
B49..00	Malignant neoplasm of urinary bladder
B46..00	Malignant neoplasm of prostate
B32..00	Malignant melanoma of skin
B5z..00	Malignant neoplasm of other and unspecified site NOS
B10..00	Malignant neoplasm of oesophagus
B13..00	Malignant neoplasm of colon
B600.00	Reticulosarcoma
B4A0.00	Malignant neoplasm of kidney parenchyma
B141.00	Malignant neoplasm of rectum
B580.00	Secondary malignant neoplasm of kidney
B440.11	Cancer of ovary
B61..00	Hodgkin's disease
B22z.11	Lung cancer
B40..00	"Malignant neoplasm of uterus, part unspecified"
B41..00	Malignant neoplasm of cervix uteri
B133.00	Malignant neoplasm of sigmoid colon
B430200	Malignant neoplasm of endometrium of corpus uteri
B47z.11	Seminoma of testis
B430.00	"Malignant neoplasm of corpus uteri, excluding isthmus"
B41..11	Cervical carcinoma (uterus)
B1...11	Carcinoma of digestive organs and peritoneum
B48..00	Malignant neoplasm of penis and other male genital organs
B627.00	Non - Hodgkin's lymphoma
B134.00	Malignant neoplasm of caecum
B22z.00	Malignant neoplasm of bronchus or lung NOS
B34..00	Malignant neoplasm of female breast
B680.00	Acute leukaemia NOS
B570.00	Secondary malignant neoplasm of lung
B541.00	Malignant neoplasm of parathyroid gland
B64..11	Lymphatic leukaemia
B68z.00	Leukaemia NOS
B640.00	Acute lymphoid leukaemia
B020.00	Malignant neoplasm of parotid gland
B577.11	Liver metastases
B650.00	Acute myeloid leukaemia
B454.00	Malignant neoplasm of vulva unspecified
B45..00	Malig neop of other and unspecified female genital organs
B10z.11	Oesophageal cancer
B625.11	"Histiocytosis X (acute, progressive)"
B630.00	Multiple myeloma
B30..11	Chondroma
B624.11	Leukaemic reticuloendotheliosis
B620.00	Nodular lymphoma (Brill - Symmers disease)
B583000	Secondary malignant neoplasm of brain
B583200	Cerebral metastasis
B53..00	Malignant neoplasm of thyroid gland
B58..00	Secondary malignant neoplasm of other specified sites
B141.12	Rectal carcinoma
B6y0.00	Myeloproliferative disorder
B590.11	Carcinomatosis
B57..11	Metastases of respiratory and/or digestive systems
B565.00	Secondary and unspec malig neop intrapelvic lymph nodes
B12..00	Malignant neoplasm of small intestine and duodenum
B131.00	Malignant neoplasm of transverse colon
B43..00	Malignant neoplasm of body of uterus
B65..00	Myeloid leukaemia
B141.11	Carcinoma of rectum
B226.00	Mesothelioma
B585.00	Secondary malignant neoplasm of bone and bone marrow
B470200	Seminoma of undescended testis
B440.00	Malignant neoplasm of ovary
B56..11	Lymph node metastases
ByuDF11	[X]Non-Hodgkin's lymphoma NOS
B4A0000	Hypernephroma
B161200	Malignant neoplasm of common bile duct
B576200	Malignant ascites
B17..00	Malignant neoplasm of pancreas
B11..00	Malignant neoplasm of stomach
B542000	Malignant neoplasm of pituitary gland
B641.00	Chronic lymphoid leukaemia
ByuDF00	"[X]Non-Hodgkin's lymphoma, unspecified type"
B5...11	Carcinoma of other and unspecified sites
B170.00	Malignant neoplasm of head of pancreas
B15..00	Malignant neoplasm of liver and intrahepatic bile ducts
B55..00	Malignant neoplasm of other and ill-defined sites
B130.00	Malignant neoplasm of hepatic flexure of colon
B13z.11	Colonic cancer
B21z.00	Malignant neoplasm of larynx NOS
B34z.00	Malignant neoplasm of female breast NOS
B471100	Teratoma of descended testis
B142.11	Anal carcinoma
B582600	Secondary malignant neoplasm of skin of breast
B232.00	Mesothelioma of pleura
