B....11	Cancers
B0...00	Malignant neoplasm of lip, oral cavity and pharynx
B0...11	Carcinoma of lip, oral cavity and pharynx
B00..00	Malignant neoplasm of lip
B00..11	Carcinoma of lip
B000.00	Malignant neoplasm of upper lip, vermilion border
B000000	Malignant neoplasm of upper lip, external
B000100	Malignant neoplasm of upper lip, lipstick area
B000z00	Malignant neoplasm of upper lip, vermilion border NOS
B001.00	Malignant neoplasm of lower lip, vermilion border
B001000	Malignant neoplasm of lower lip, external
B001100	Malignant neoplasm of lower lip, lipstick area
B001z00	Malignant neoplasm of lower lip, vermilion border NOS
B002.00	Malignant neoplasm of upper lip, inner aspect
B002000	Malignant neoplasm of upper lip, buccal aspect
B002100	Malignant neoplasm of upper lip, frenulum
B002200	Malignant neoplasm of upper lip, mucosa
B002300	Malignant neoplasm of upper lip, oral aspect
B002z00	Malignant neoplasm of upper lip, inner aspect NOS
B003.00	Malignant neoplasm of lower lip, inner aspect
B003000	Malignant neoplasm of lower lip, buccal aspect
B003100	Malignant neoplasm of lower lip, frenulum
B003200	Malignant neoplasm of lower lip, mucosa
B003300	Malignant neoplasm of lower lip, oral aspect
B003z00	Malignant neoplasm of lower lip, inner aspect NOS
B004.00	Malignant neoplasm of lip unspecified, inner aspect
B004000	Malignant neoplasm of lip unspecified, buccal aspect
B004100	Malignant neoplasm of lip unspecified, frenulum
B004200	Malignant neoplasm of lip unspecified, mucosa
B004300	Malignant neoplasm of lip, oral aspect
B004z00	Malignant neoplasm of lip, inner aspect NOS
B005.00	Malignant neoplasm of commissure of lip
B006.00	Malignant neoplasm of overlapping lesion of lip
B007.00	Malignant neoplasm of lip, unspecified
B00y.00	Malignant neoplasm of other sites of lip
B00z.00	Malignant neoplasm of vermilion border of lip unspecified
B00z000	Malignant neoplasm of lip, unspecified, external
B00z100	Malignant neoplasm of lip, unspecified, lipstick area
B00zz00	Malignant neoplasm of lip, vermilion border NOS
B01..00	Malignant neoplasm of tongue
B010.00	Malignant neoplasm of base of tongue
B010.11	Malignant neoplasm of posterior third of tongue
B010000	Malignant neoplasm of base of tongue dorsal surface
B010z00	Malignant neoplasm of fixed part of tongue NOS
B011.00	Malignant neoplasm of dorsal surface of tongue
B011000	Malignant neoplasm of anterior 2/3 of tongue dorsal surface
B011100	Malignant neoplasm of midline of tongue
B011z00	Malignant neoplasm of dorsum of tongue NOS
B012.00	Malignant neoplasm of tongue, tip and lateral border
B013.00	Malignant neoplasm of ventral surface of tongue
B013000	Malignant neoplasm of anterior 2/3 of tongue ventral surface
B013100	Malignant neoplasm of frenulum linguae
B013z00	Malignant neoplasm of ventral tongue surface NOS
B014.00	Malignant neoplasm of anterior 2/3 of tongue unspecified
B015.00	Malignant neoplasm of tongue, junctional zone
B016.00	Malignant neoplasm of lingual tonsil
B017.00	Malignant overlapping lesion of tongue
B01y.00	Malignant neoplasm of other sites of tongue
B01z.00	Malignant neoplasm of tongue NOS
B02..00	Malignant neoplasm of major salivary glands
B020.00	Malignant neoplasm of parotid gland
B021.00	Malignant neoplasm of submandibular gland
B022.00	Malignant neoplasm of sublingual gland
B023.00	Malignant neoplasm, overlapping lesion of major salivary glands
B02y.00	Malignant neoplasm of other major salivary glands
B02z.00	Malignant neoplasm of major salivary gland NOS
B03..00	Malignant neoplasm of gum
B030.00	Malignant neoplasm of upper gum
B031.00	Malignant neoplasm of lower gum
B03y.00	Malignant neoplasm of other sites of gum
B03z.00	Malignant neoplasm of gum NOS
B04..00	Malignant neoplasm of floor of mouth
B040.00	Malignant neoplasm of anterior portion of floor of mouth
B041.00	Malignant neoplasm of lateral portion of floor of mouth
B042.00	Malignant neoplasm, overlapping lesion of floor of mouth
B04y.00	Malignant neoplasm of other sites of floor of mouth
B04z.00	Malignant neoplasm of floor of mouth NOS
B05..00	Malignant neoplasm of other and unspecified parts of mouth
B050.00	Malignant neoplasm of cheek mucosa
B050.11	Malignant neoplasm of buccal mucosa
B051.00	Malignant neoplasm of vestibule of mouth
B051000	Malignant neoplasm of upper buccal sulcus
B051100	Malignant neoplasm of lower buccal sulcus
B051200	Malignant neoplasm of upper labial sulcus
B051300	Malignant neoplasm of lower labial sulcus
B051z00	Malignant neoplasm of vestibule of mouth NOS
B052.00	Malignant neoplasm of hard palate
B053.00	Malignant neoplasm of soft palate
B054.00	Malignant neoplasm of uvula
B055.00	Malignant neoplasm of palate unspecified
B055000	Malignant neoplasm of junction of hard and soft palate
B055100	Malignant neoplasm of roof of mouth
B055z00	Malignant neoplasm of palate NOS
B056.00	Malignant neoplasm of retromolar area
B057.00	Overlapping lesion of other and unspecified parts of mouth
B05y.00	Malignant neoplasm of other specified mouth parts
B05z.00	Malignant neoplasm of mouth NOS
B05z000	Kaposi's sarcoma of palate
B06..00	Malignant neoplasm of oropharynx
B060.00	Malignant neoplasm of tonsil
B060000	Malignant neoplasm of faucial tonsil
B060100	Malignant neoplasm of palatine tonsil
B060200	Malignant neoplasm of overlapping lesion of tonsil
B060z00	Malignant neoplasm tonsil NOS
B061.00	Malignant neoplasm of tonsillar fossa
B062.00	Malignant neoplasm of tonsillar pillar
B062000	Malignant neoplasm of faucial pillar
B062100	Malignant neoplasm of glossopalatine fold
B062200	Malignant neoplasm of palatoglossal arch
B062300	Malignant neoplasm of palatopharyngeal arch
B062z00	Malignant neoplasm of tonsillar fossa NOS
B063.00	Malignant neoplasm of vallecula
B064.00	Malignant neoplasm of anterior epiglottis
B064000	Malignant neoplasm of epiglottis, free border
B064100	Malignant neoplasm of glossoepiglottic fold
B064z00	Malignant neoplasm of anterior epiglottis NOS
B065.00	Malignant neoplasm of junctional region of epiglottis
B066.00	Malignant neoplasm of lateral wall of oropharynx
B067.00	Malignant neoplasm of posterior wall of oropharynx
B06y.00	Malignant neoplasm of oropharynx, other specified sites
B06y000	Malignant neoplasm of branchial cleft
B06yz00	Malignant neoplasm of other specified site of oropharynx NOS
B06z.00	Malignant neoplasm of oropharynx NOS
B07..00	Malignant neoplasm of nasopharynx
B070.00	Malignant neoplasm of roof of nasopharynx
B071.00	Malignant neoplasm of posterior wall of nasopharynx
B071000	Malignant neoplasm of adenoid
B071100	Malignant neoplasm of pharyngeal tonsil
B071z00	Malignant neoplasm of posterior wall of nasopharynx NOS
B072.00	Malignant neoplasm of lateral wall of nasopharynx
B072000	Malignant neoplasm of pharyngeal recess
B072100	Malignant neoplasm of opening of auditory tube
B072z00	Malignant neoplasm of lateral wall of nasopharynx NOS
B073.00	Malignant neoplasm of anterior wall of nasopharynx
B073000	Malignant neoplasm of floor of nasopharynx
B073100	Malignant neoplasm of nasopharyngeal soft palate surface
B073200	Malignant neoplasm of posterior margin of nasal septum and choanae
B073z00	Malignant neoplasm of anterior wall of nasopharynx NOS
B074.00	Malignant neoplasm, overlapping lesion of nasopharynx
B07y.00	Malignant neoplasm of other specified site of nasopharynx
B07z.00	Malignant neoplasm of nasopharynx NOS
B08..00	Malignant neoplasm of hypopharynx
B080.00	Malignant neoplasm of postcricoid region
B081.00	Malignant neoplasm of pyriform sinus
B082.00	Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect
B083.00	Malignant neoplasm of posterior pharynx
B084.00	Malignant neoplasm, overlapping lesion of hypopharynx
B08y.00	Malignant neoplasm of other specified hypopharyngeal site
B08z.00	Malignant neoplasm of hypopharynx NOS
B0z..00	Malignant neoplasm of other and ill-defined sites within the lip, oral cavity and pharynx
B0z0.00	Malignant neoplasm of pharynx unspecified
B0z1.00	Malignant neoplasm of Waldeyer's ring
B0z2.00	Malignant neoplasm of laryngopharynx
B0zy.00	Malignant neoplasm of other sites of lip, oral cavity and pharynx
B0zz.00	Malignant neoplasm of lip, oral cavity and pharynx NOS
B10..00	Malignant neoplasm of oesophagus
B100.00	Malignant neoplasm of cervical oesophagus
B101.00	Malignant neoplasm of thoracic oesophagus
B102.00	Malignant neoplasm of abdominal oesophagus
B103.00	Malignant neoplasm of upper third of oesophagus
B104.00	Malignant neoplasm of middle third of oesophagus
B105.00	Malignant neoplasm of lower third of oesophagus
B106.00	Malignant neoplasm, overlapping lesion of oesophagus
B107.00	Siewert type I adenocarcinoma
B10y.00	Malignant neoplasm of other specified part of oesophagus
B10z.00	Malignant neoplasm of oesophagus NOS
B10z.11	Oesophageal cancer
B11..00	Malignant neoplasm of stomach
B110.00	Malignant neoplasm of cardia of stomach
B110000	Malignant neoplasm of cardiac orifice of stomach
B110100	Malignant neoplasm of cardio-oesophageal junction of stomach
B110111	Malignant neoplasm of gastro-oesophageal junction
B110z00	Malignant neoplasm of cardia of stomach NOS
B111.00	Malignant neoplasm of pylorus of stomach
B111000	Malignant neoplasm of prepylorus of stomach
B111100	Malignant neoplasm of pyloric canal of stomach
B111z00	Malignant neoplasm of pylorus of stomach NOS
B112.00	Malignant neoplasm of pyloric antrum of stomach
B113.00	Malignant neoplasm of fundus of stomach
B114.00	Malignant neoplasm of body of stomach
B115.00	Malignant neoplasm of lesser curve of stomach unspecified
B116.00	Malignant neoplasm of greater curve of stomach unspecified
B117.00	Malignant neoplasm, overlapping lesion of stomach
B118.00	Siewert type II adenocarcinoma
B119.00	Siewert type III adenocarcinoma
B11y.00	Malignant neoplasm of other specified site of stomach
B11y000	Malignant neoplasm of anterior wall of stomach NEC
B11y100	Malignant neoplasm of posterior wall of stomach NEC
B11yz00	Malignant neoplasm of other specified site of stomach NOS
B11z.00	Malignant neoplasm of stomach NOS
B12..00	Malignant neoplasm of small intestine and duodenum
B120.00	Malignant neoplasm of duodenum
B121.00	Malignant neoplasm of jejunum
B122.00	Malignant neoplasm of ileum
B123.00	Malignant neoplasm of Meckel's diverticulum
B124.00	Malignant neoplasm, overlapping lesion of small intestine
B12y.00	Malignant neoplasm of other specified site of small intestine
B12z.00	Malignant neoplasm of small intestine NOS
B13..00	Malignant neoplasm of colon
B130.00	Malignant neoplasm of hepatic flexure of colon
B131.00	Malignant neoplasm of transverse colon
B132.00	Malignant neoplasm of descending colon
B133.00	Malignant neoplasm of sigmoid colon
B134.00	Malignant neoplasm of caecum
B134.11	Carcinoma of caecum
B135.00	Malignant neoplasm of appendix
B136.00	Malignant neoplasm of ascending colon
B137.00	Malignant neoplasm of splenic flexure of colon
B138.00	Malignant neoplasm, overlapping lesion of colon
B139.00	Hereditary nonpolyposis colon cancer
B13y.00	Malignant neoplasm of other specified sites of colon
B13z.00	Malignant neoplasm of colon NOS
B13z.11	Colonic cancer
B14..00	Malignant neoplasm of rectum, rectosigmoid junction and anus
B140.00	Malignant neoplasm of rectosigmoid junction
B141.00	Malignant neoplasm of rectum
B141.11	Carcinoma of rectum
B141.12	Rectal carcinoma
B142.00	Malignant neoplasm of anal canal
B142.11	Anal carcinoma
B142000	Malignant neoplasm of cloacogenic zone
B143.00	Malignant neoplasm of anus unspecified
B14y.00	Malignant neoplasm of other sites of rectum, rectosigmoid junction and anus
B14z.00	Malignant neoplasm of rectum, rectosigmoid junction and anus NOS
B15..00	Malignant neoplasm of liver and intrahepatic bile ducts
B150.00	Primary malignant neoplasm of liver
B150000	Primary carcinoma of liver
B150100	Hepatoblastoma of liver
B150200	Primary angiosarcoma of liver
B150300	Hepatocellular carcinoma
B150z00	Primary malignant neoplasm of liver NOS
B151.00	Malignant neoplasm of intrahepatic bile ducts
B151000	Malignant neoplasm of interlobular bile ducts
B151100	Malignant neoplasm of interlobular biliary canals
B151200	Malignant neoplasm of intrahepatic biliary passages
B151300	Malignant neoplasm of intrahepatic canaliculi
B151400	Malignant neoplasm of intrahepatic gall duct
B151z00	Malignant neoplasm of intrahepatic bile ducts NOS
B152.00	Malignant neoplasm of liver unspecified
B153.00	Secondary malignant neoplasm of liver
B15z.00	Malignant neoplasm of liver and intrahepatic bile ducts NOS
B16..00	Malignant neoplasm of gallbladder and extrahepatic bile ducts
B160.00	Malignant neoplasm of gallbladder
B160.11	Carcinoma gallbladder
B161.00	Malignant neoplasm of extrahepatic bile ducts
B161000	Malignant neoplasm of cystic duct
B161100	Malignant neoplasm of hepatic duct
B161200	Malignant neoplasm of common bile duct
B161211	Carcinoma common bile duct
B161300	Malignant neoplasm of sphincter of Oddi
B161z00	Malignant neoplasm of extrahepatic bile ducts NOS
B162.00	Malignant neoplasm of ampulla of Vater
B163.00	Malignant neoplasm, overlapping lesion of biliary tract
B16y.00	Malignant neoplasm of other gallbladder and extrahepatic bile ducts
B16z.00	Malignant neoplasm of gallbladder and extrahepatic bile ducts NOS
B17..00	Malignant neoplasm of pancreas
B170.00	Malignant neoplasm of head of pancreas
B171.00	Malignant neoplasm of body of pancreas
B172.00	Malignant neoplasm of tail of pancreas
B173.00	Malignant neoplasm of pancreatic duct
B174.00	Malignant neoplasm of Islets of Langerhans
B175.00	Malignant neoplasm, overlapping lesion of pancreas
B176.00	Somatostatinoma of pancreas
B17y.00	Malignant neoplasm of other specified sites of pancreas
B17y000	Malignant neoplasm of ectopic pancreatic tissue
B17yz00	Malignant neoplasm of specified site of pancreas NOS
B17z.00	Malignant neoplasm of pancreas NOS
B18..00	Malignant neoplasm of retroperitoneum and peritoneum
B180.00	Malignant neoplasm of retroperitoneum
B180000	Malignant neoplasm of periadrenal tissue
B180100	Malignant neoplasm of perinephric tissue
B180200	Malignant neoplasm of retrocaecal tissue
B180z00	Malignant neoplasm of retroperitoneum NOS
B181.00	Mesothelioma of peritoneum
B182.00	Overlapping malignant lesion of retroperitoneum and peritoneum
B18y.00	Malignant neoplasm of specified parts of peritoneum
B18y000	Malignant neoplasm of mesocolon
B18y100	Malignant neoplasm of mesocaecum
B18y200	Malignant neoplasm of mesorectum
B18y300	Malignant neoplasm of omentum
B18y400	Malignant neoplasm of parietal peritoneum
B18y500	Malignant neoplasm of pelvic peritoneum
B18y600	Malignant neoplasm of the pouch of Douglas
B18y700	Malignant neoplasm of mesentery
B18yz00	Malignant neoplasm of specified parts of peritoneum NOS
B18z.00	Malignant neoplasm of retroperitoneum and peritoneum NOS
B1z..00	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
B1z0.00	Malignant neoplasm of intestinal tract, part unspecified
B1z0.11	Cancer of bowel
B1z1.00	Malignant neoplasm of spleen NEC
B1z1000	Angiosarcoma of spleen
B1z1100	Fibrosarcoma of spleen
B1z1z00	Malignant neoplasm of spleen NOS
B1z2.00	Malignant neoplasm, overlapping lesion of digestive system
B1zy.00	Malignant neoplasm of other specified site of digestive tract and peritoneum
B1zz.00	Malignant neoplasm of digestive tract and peritoneum NOS
B2...00	Malignant neoplasm of respiratory tract and intrathoracic organs
B2...11	Carcinoma of respiratory tract and intrathoracic organs
B20..00	Malignant neoplasm of nasal cavities, middle ear and accessory sinuses
B200.00	Malignant neoplasm of nasal cavities
B200000	Malignant neoplasm of cartilage of nose
B200100	Malignant neoplasm of nasal conchae
B200200	Malignant neoplasm of septum of nose
B200300	Malignant neoplasm of vestibule of nose
B200z00	Malignant neoplasm of nasal cavities NOS
B201.00	Malignant neoplasm of auditory tube, middle ear and mastoid air cells
B201000	Malignant neoplasm of auditory (Eustachian) tube
B201100	Malignant neoplasm of tympanic cavity
B201200	Malignant neoplasm of tympanic antrum
B201300	Malignant neoplasm of mastoid air cells
B201z00	Malignant neoplasm of auditory tube, middle ear and mastoid air cells NOS
B202.00	Malignant neoplasm of maxillary sinus
B203.00	Malignant neoplasm of ethmoid sinus
B204.00	Malignant neoplasm of frontal sinus
