A2704	Listerial endocarditis
A32y1	Diphtheritic myocarditis
A364.	Meningococcal carditis
A3641	Meningococcal pericarditis
A364z	Meningococcal carditis NOS
A742.	Coxsackie carditis
A7421	Coxsackie pericarditis
A7423	Coxsackie myocarditis
A98y2	Gonococcal pericarditis
G0...	Acute rheumatic fever
G01..	Rheumatic fever with heart involvement
G010.	Acute rheumatic pericarditis
G011.	Acute rheumatic endocarditis
G012.	Acute rheumatic myocarditis
G01y.	Other acute rheumatic heart disease
G01y0	Acute rheumatic pancarditis
G01z.	Acute rheumatic heart disease NOS
G02..	Rheumatic chorea
G020.	Rheumatic chorea with heart involvement
G021.	Rheumatic chorea without mention of heart involvement
G02z.	Rheumatic chorea NOS
G0y..	Other specified acute rheumatic fever
G0z..	Acute rheumatic fever NOS
G100.	Adherent rheumatic pericardium
G14..	Other chronic rheumatic endocardial disease
G1y0.	Rheumatic myocarditis
G1yz.	Other and unspecified rheumatic heart disease
G1yzz	Other rheumatic heart disease NOS
G5000	Acute pericarditis - coxsackie
G5001	Acute meningococcal pericarditis
G50z2	Acute pneumococcal pericarditis
G50z4	Acute streptococcal pericarditis
G5100	Acute bacterial endocarditis
G5101	Subacute bacterial endocarditis
G5102	Chronic bacterial endocarditis
G510z	Acute and subacute bacterial endocarditis NOS
G5207	Acute myocarditis - meningococcal
G5y7.	Sarcoid myocarditis
G5y8.	Rheumatoid myocarditis
G5yA.	Rheumatoid carditis
Gyu11	[X]Other rheumatic aortic valve diseases
H571.	Rheumatic pneumonia
M15y6	Erythema marginatum in acute rheumatic fever
N0001	Libman-Sacks disease

A17y0	Tuberculosis of endocardium
A17y1	Tuberculosis of myocardium
A3640	Meningococcal carditis unspecified
A7420	Other specified coxsackie carditis
A7422	Coxsackie endocarditis
A742z	Unspecified coxsackie carditis
A7A..	Viral carditis
A9320	Syphilitic endocarditis of unspecified valve
A9321	Syphilitic endocarditis of mitral valve
A9323	Syphilitic endocarditis of tricuspid valve
A9324	Syphilitic endocarditis of pulmonary valve
A932z	Syphilitic endocarditis of heart valve NOS
A93y1	Syphilitic myocarditis
AB2y0	Candidal endocarditis
AB404	Histoplasma capsulatum with endocarditis
AB414	Histoplasma duboisii with endocarditis
AB4z4	Histoplasmosis with endocarditis
AD03.	Toxoplasma myocarditis
G01yz	Other acute rheumatic heart disease NOS
G1...	Chronic rheumatic heart disease
G102.	Chronic rheumatic myopericarditis
G12..	Rheumatic aortic valve disease
G12z.	Rheumatic aortic valve disease NOS
