16A..	Stiff neck symptom
16A2.	Stiff neck
16AZ.	Stiff neck symptom NOS
16C..	Backache symptom
16C2.	Backache
16C3.	Backache with radiation
16C4.	Back pain worse on sneezing
16C5.	C/O - low back pain
16C6.	Back pain without radiation NOS
16C7.	C/O - upper back ache
16C8.	Exacerbation of backache
16C9.	Chronic low back pain
16CA.	Mechanical low back pain
16CZ.	Backache symptom NOS
182B.	Rib pain
1967.	Abdominal migraine - symptom
1969.	Abdominal pain
19690	Abdominal wall pain
197D.	Right upper quadrant pain
1A59.	C/O pelvic pain
1A5A.	C/O perineal pain
1B1G.	Headache
1B1G0	Sinus headache
1BA2.	Generalised headache
1BA3.	Unilateral headache
1BA4.	Bilateral headache
1BA6.	Occipital headache
1BA7.	Parietal headache
1BA9.	Sinus headache
1BB1.	Aching headache
1BB2.	Throbbing headache
1BB3.	Shooting headache
1BB4.	Morning headache
1BZ..	Nervous system symptoms NOS
1BZZ.	Nervous system symptom NOS
1D130	C/O - pain in toes
1D131	C/O - pain in hallux
1DC1.	Burning pain
1DC8.	Generalised pain [symptom]
1DCC.	Aching muscles
1DCD.	Splitting pain
1DCE.	Heavy pain
1DCG.	Cramping pain
1M...	Pain
1M0..	Pain in upper limb
1M00.	Pain in elbow
1M01.	Pain in wrist
1M1..	Pain in lower limb
1M10.	Knee pain
1M11.	Foot pain
1M12.	Anterior knee pain
1M13.	Ankle pain
1M3..	Pain in face
1M4..	Central post-stroke pain
1M50.	Constant pain
1M51.	Intermittent pain
1M52.	Chronic pain
1M8..	Diabetic peripheral neuropathic pain
66n..	Chronic pain review
7J41.	Decompression of fracture of spine
7J410	Complex decompression of fracture of spine
7J412	Posterior decompression of fracture of spine
7J413	Vertebroplasty of fracture of spine
7J414	Posterior decompression of fracture of spine NEC
7J41y	Other specified decompression of fracture of spine
7J41z	Decompression of fracture of spine NOS
7J42.	Other reduction of fracture of spine
7J420	Open reduction of fracture of spine and excision of facet of spine
7J421	Open reduction of fracture of spine NEC
7J422	Manipulative reduction of fracture of spine
7J423	Spinal extension traction for fracture of spine
