XaZdn	Diffuse large B-cell lymphoma
BBgP.	[M]Malignant lymphoma, mixed small and large cell, diffuse
BBgR.	[M]Malignant lymphoma, large cell, diffuse NOS
BBgT.	[M]Malignant lymphoma, large cell, non-cleaved, diffuse
Xa0TE	Diffuse high grade B-cell lymphoma
Xa0TI	Diffuse malignant lymphoma - large non-cleaved cell
XaFqN	Diffuse high grade B-cell lymphoma morphology
A7896	HIV disease resulting in Burkitt's lymphoma
B602.	Burkitt's type malignant lymphoma - undifferentiated
B6020	Burkitt's lymphoma of unspecified site
B6021	Burkitt's lymphoma of lymph nodes of head, face and neck
B6022	Burkitt's lymphoma of intrathoracic lymph nodes
B6023	Burkitt's lymphoma of intra-abdominal lymph nodes
B6024	Burkitt's lymphoma of lymph nodes of axilla and upper limb
B6025	Burkitt's lymphoma of lymph nodes of inguinal region and lower limb
B6026	Burkitt's lymphoma of intrapelvic lymph nodes
B6027	Burkitt's lymphoma of spleen
B6028	Burkitt's lymphoma of lymph nodes of multiple sites
B602z	Burkitt's lymphoma NOS
B627.	Nonfollicular lymphoma
B6271	Follicular non-Hodgkin's mixed small cleaved and large cell lymphoma
B6273	Non-Burkitt's malignant lymphoma - undifferentiated cell
B6274	Malignant lymphoma, lymphocytic - poorly differentiated
B6275	Reticulolymphosarcoma, diffuse
B6276	Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
B6277	Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
B6278	Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
B627B	Other types of follicular non-Hodgkin's lymphoma
B627C	Follicular non-Hodgkin's lymphoma
BBg10	[M]Malignant lymphoma, diffuse NOS
BBg3.	[M]Malignant lymphoma, undifferentiated cell type NOS
BBg5.	[M]Malignant lymphoma, convoluted cell type NOS
BBg6.	[M]Lymphosarcoma NOS
BBg8.	[M]Malignant lymphoma, immunoblastic type
BBg9.	[M]Reticulolymphosarcoma, diffuse
BBgA.	[M]Malignant lymphoma, centroblastic-centrocytic, diffuse
BBgB.	[M]Malignant lymphoma, follicular centre cell NOS
BBgC.	[M]Malignant lymphoma, lymphocytic, well differentiated NOS
BBgD.	[M]Malignant lymphoma, lymphocytic, intermediate differentiation NOS
BBgE.	[M]Malignant lymphoma, centrocytic
BBgF.	[M]Malignant lymphoma, follicular centre cell, cleaved NOS
BBgG.	[M]Malignant lymphoma, lymphocytic, poorly differentiated NOS
BBgH.	[M]Prolymphocytic lymphosarcoma
BBgJ.	[M]Malignant lymphoma, centroblastic type NOS
BBgK.	[M]Malignant lymphoma, follicular centre cell, non-cleaved NOS
BBgM.	[M]Malignant lymphoma, small cleaved cell, diffuse
BBgS.	[M]Malignant lymphoma, large cell, cleaved, diffuse
BBgV.	[M]Malignant lymphoma, small cell, non-cleaved, diffuse
BBk0.	[M]Nodular lymphosarcoma NOS
BBk2.	[M]Malignant lymphoma, centroblastic-centrocytic, follicular
BBk3.	[M]Malignant lymphoma, lymphocytic, well differentiated, nodular
BBk4.	[M]Malignant lymphoma, lymphocytic, intermediate differentiation, nodular
BBk5.	[M]Malignant lymphoma, follicular centre cell, cleaved, follicular
BBk6.	[M]Malignant lymphoma, lymphocytic, poorly differentiated, nodular
BBk8.	[M]Malignant lymphoma, follicular centre cell, non-cleaved, follicular
BBmH.	[M] Large cell lymphoma
BBq..	[M]Burkitt's tumours
BBq0.	[M]Burkitt's tumour
BBqz.	[M]Burkitt's tumour NOS
BBr26	Burkitt's cell leukaemia
ByuD0	[X]Other Hodgkin's disease
ByuD1	[X]Other types of follicular non-Hodgkin's lymphoma
ByuD2	[X]Other types of diffuse non-Hodgkin's lymphoma
ByuD3	[X]Other specified types of non-Hodgkin's lymphoma
ByuDC	[X]Diffuse non-Hodgkin's lymphoma, unspecified
ByuDE	[X]Unspecified B-cell non-Hodgkin's lymphoma
X77q5	Lymphoma morphology
XE1wd	[M]Malignant lymphoma, mixed lymphocytic-histiocytic NOS
XE1we	[M]Lymphogranuloma, malignant
XE1wf	[M]Malignant lymphoma, nodular NOS
XE2bV	Malignant lymphoma - immunoblastic
XE2t9	[X]Non-Hodgkin's lymphoma, unspecified type
Xa0SD	Mature B-cell leukaemia Burkitt-type
Xa0T8	Mucosa-associated lymphoma
Xa0TD	Follicular non-Hodgkin's small cleaved cell lymphoma
Xa0TG	Malignant lymphoma - large cell cleaved and non-cleaved
Xa0TP	Malignant lymphoma - lymphoblastic
Xa0TX	Malignant lymphoma - non-cleaved, follicular
Xa99n	Malignant lymphoma, centroblastic type
XaBLw	Follicular non-Hodgkin's lymphoma
XaYgm	Primary mediastinal (thymic) large B-cell lymphoma
XaYii	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue
