B627E00	Diffuse large B-cell lymphoma
BBgP.00	[M]Malignant lymphoma, mixed small and large cell, diffuse
BBgR.00	[M]Malignant lymphoma, large cell, diffuse NOS
BBgT.00	[M]Malignant lymphoma, large cell, noncleaved, diffuse
A789600	HIV disease resulting in Burkitt's lymphoma
A789611	HIV disease resulting in Burkitt lymphoma
B602.00	Burkitt's lymphoma
B602000	Burkitt's lymphoma of unspecified site
B602100	Burkitt's lymphoma of lymph nodes of head, face and neck
B602200	Burkitt's lymphoma of intrathoracic lymph nodes
B602300	Burkitt's lymphoma of intra-abdominal lymph nodes
B602400	Burkitt's lymphoma of lymph nodes of axilla and upper limb
B602500	Burkitt's lymphoma of lymph nodes of inguinal region and lower limb
B602600	Burkitt's lymphoma of intrapelvic lymph nodes
B602700	Burkitt's lymphoma of spleen
B602800	Burkitt's lymphoma of lymph nodes of multiple sites
B602z00	Burkitt's lymphoma NOS
B627G00	Mediastinal (thymic) large B-cell lymphoma
B640000	B-cell acute lymphoblastic leukaemia
B640011	Mature B-cell leukaemia Burkitt-type
BBq..00	[M]Burkitt's tumours
BBq0.00	[M]Burkitt's tumour
BBqz.00	[M]Burkitt's tumour NOS
BBr2600	[M]Burkitt's cell leukaemia
B627.	Non - Hodgkin's lymphoma                                                                                                                                                                              
B6270	Follicular non-Hodgkin's small cleaved cell lymphoma                                                                                                                                                  
B6271	Follicular non-Hodgkin's mixed small cleaved and large cell lymphoma                                                                                                                                  
B6272	Follicular non-Hodgkin's large cell lymphoma                                                                                                                                                          
B6273	Diffuse non-Hodgkin's small cell (diffuse) lymphoma                                                                                                                                                   
B6274	Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma                                                                                                                                           
B6275	Diffuse non-Hodgkin's mixed small and large cell (diffuse) lymphoma                                                                                                                                   
B6276	Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma                                                                                                                                                
B6277	Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma                                                                                                                                                
B6278	Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)                                                                                                                                             
B6279	Mucosa-associated lymphoma                                                                                                                                                                            
B627A	Diffuse non-Hodgkin's large cell lymphoma                                                                                                                                                             
B627B	Other types of follicular non-Hodgkin's lymphoma                                                                                                                                                      
B627C	Follicular non-Hodgkin's lymphoma                                                                                                                                                                     
B627D	Diffuse non-Hodgkin's centroblastic lymphoma                                                                                                                                                          
B627E	Diffuse large B-cell lymphoma                                                                                                                                                                         
B627F	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue                                                                                                                         
B627G	Mediastinal (thymic) large B-cell lymphoma                                                                                                                                                            
B627W	Unspecified B-cell non-Hodgkin's lymphoma                                                                                                                                                             
B627X	Diffuse non-Hodgkin's lymphoma, unspecified                                                                                                                                                           
ByuDE00	[X]Unspecified B-cell non-Hodgkin's lymphoma
ByuD2	[X]Other types of diffuse non-Hodgkin's lymphoma
B628.	Follicular lymphoma
B628.00	Follicular lymphoma
B6287	Other types of follicular lymphoma
B628700	Other types of follicular lymphoma
B62F.00	Nonfollicular lymphoma
B62F.11	Non-follicular lymphoma
B62F2	Lymphoblastic (diffuse) lymphoma
B62F200	Lymphoblastic (diffuse) lymphoma
B62Fy	Other non-follicular lymphoma
B62Fy00	Other non-follicular lymphoma
BBg10	[M]Malignant lymphoma, diffuse NOS
BBg1000	[M]Malignant lymphoma, diffuse NOS
BBg3.	[M]Malignant lymphoma, undifferentiated cell type NOS
BBg3.00	[M]Malignant lymphoma, undifferentiated cell type NOS
BBg5.	[M]Malignant lymphoma, convoluted cell type NOS
BBg5.00	[M]Malignant lymphoma, convoluted cell type NOS
BBg6.	[M]Lymphosarcoma NOS
BBg6.00	[M]Lymphosarcoma NOS
BBg8.	[M]Malignant lymphoma, immunoblastic type
BBg8.00	[M]Malignant lymphoma, immunoblastic type
BBg9.	[M]Malignant lymphoma, mixed lymphocytic-histiocytic NOS
BBg9.00	[M]Malignant lymphoma, mixed lymphocytic-histiocytic NOS
BBg9.11	[M]Reticulolymphosarcoma NOS
BBg9.12	[M]Reticulolymphosarcoma, diffuse
BBgA.	[M]Malignant lymphoma, centroblastic-centrocytic, diffuse
BBgA.00	[M]Malignant lymphoma, centroblastic-centrocytic, diffuse
BBgA.11	[M]Germinoblastoma, diffuse
BBgB.	[M]Malignant lymphoma, follicular centre cell NOS
BBgB.00	[M]Malignant lymphoma, follicular centre cell NOS
BBgC.	[M]Malignant lymphoma, lymphocytic, well differentiated NOS
BBgC.00	[M]Malignant lymphoma, lymphocytic, well differentiated NOS
BBgC.11	[M]Lymphocytic lymphoma NOS
BBgC.12	[M]Lymphocytic lymphosarcoma NOS
BBgD.	[M]Malignant lymphoma, lymphocytic, intermediate differentiation NOS
BBgD.00	[M]Malignant lymphoma, lymphocytic, intermediate differentiation NOS
BBgE.	[M]Malignant lymphoma, centrocytic
BBgE.00	[M]Malignant lymphoma, centrocytic
BBgF.	[M]Malignant lymphoma, follicular centre cell, cleaved NOS
BBgF.00	[M]Malignant lymphoma, follicular centre cell, cleaved NOS
BBgG.	[M]Malignant lymphoma, lymphocytic, poorly differentiated NOS
BBgG.00	[M]Malignant lymphoma, lymphocytic, poorly differentiated NOS
BBgG.11	[M]Lymphoblastic lymphosarcoma NOS
BBgG.12	[M]Lymphoblastic lymphoma NOS
BBgG.13	[M]Lymphoblastoma NOS
BBgH.	[M]Prolymphocytic lymphosarcoma
BBgH.00	[M]Prolymphocytic lymphosarcoma
BBgJ.	[M]Malignant lymphoma, centroblastic type NOS
BBgJ.00	[M]Malignant lymphoma, centroblastic type NOS
BBgJ.11	[M]Germinoblastic sarcoma NOS
BBgK.	[M]Malignant lymphoma, follicular centre cell, non-cleaved NOS
BBgK.00	[M]Malignant lymphoma, follicular centre cell, non-cleaved NOS
BBgM.	[M]Malignant lymphoma, small cleaved cell, diffuse
BBgM.00	[M]Malignant lymphoma, small cleaved cell, diffuse
BBgS.	[M]Malignant lymphoma, large cell, cleaved, diffuse
