B61..00	Hodgkin's disease
B61..11	Hodgkin lymphoma
B61C.00	Other classical Hodgkin lymphoma
B61B.00	Lymphocyte-rich classical Hodgkin lymphoma
B61A.00	Lymphocyte depleted classical Hodgkin lymphoma
B619.00	Mixed cellularity classical Hodgkin lymphoma
B618.00	Nodular sclerosis classical Hodgkin lymphoma
B617.00	Nodular lymphocyte predominant Hodgkin lymphoma
B61z.00	Hodgkin's disease NOS
B61z.11	Hodgkin lymphoma NOS
B61zz00	Hodgkin's disease NOS
B61z800	Hodgkin's disease NOS of lymph nodes of multiple sites
B61z700	Hodgkin's disease NOS of spleen
B61z600	Hodgkin's disease NOS of intrapelvic lymph nodes
B61z500	Hodgkin's disease NOS of lymph nodes of inguinal region and lower limb
B61z400	Hodgkin's disease NOS of lymph nodes of axilla and upper limb
B61z300	Hodgkin's disease NOS of intra-abdominal lymph nodes
B61z200	Hodgkin's disease NOS of intrathoracic lymph nodes
B61z100	Hodgkin's disease NOS of lymph nodes of head, face and neck
B61z000	Hodgkin's disease NOS, unspecified site
B616.00	Hodgkin's disease, lymphocytic depletion
B616z00	Hodgkin's disease, lymphocytic depletion NOS
B616800	Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites
B616700	Hodgkin's disease, lymphocytic depletion of spleen
B616600	Hodgkin's disease, lymphocytic depletion of intrapelvic lymph nodes
B616500	Hodgkin's disease, lymphocytic depletion of lymph nodes of inguinal region and lower limb
B616400	Hodgkin's disease, lymphocytic depletion of lymph nodes of axilla and upper limb
B616300	Hodgkin's disease, lymphocytic depletion of intra-abdominal lymph nodes
B616200	Hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes
B616100	Hodgkin's disease, lymphocytic depletion of lymph nodes of head, face and neck
B616000	Hodgkin's lymphocytic depletion of unspecified site
B615.00	Hodgkin's disease, mixed cellularity
B615z00	Hodgkin's disease, mixed cellularity NOS
B615800	Hodgkin's disease, mixed cellularity of lymph nodes of multiple sites
B615700	Hodgkin's disease, mixed cellularity of spleen
B615600	Hodgkin's disease, mixed cellularity of intrapelvic lymph nodes
B615500	Hodgkin's disease, mixed cellularity of lymph nodes of inguinal region and lower limb
B615400	Hodgkin's disease, mixed cellularity of lymph nodes of axilla and upper limb
B615300	Hodgkin's disease, mixed cellularity of intra-abdominal lymph nodes
B615200	Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes
B615100	Hodgkin's disease, mixed cellularity of lymph nodes of head, face and neck
B615000	Hodgkin's disease, mixed cellularity of unspecified site
B614.00	Hodgkin's disease, nodular sclerosis
B614z00	Hodgkin's disease, nodular sclerosis NOS
B614800	Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites
B614700	Hodgkin's disease, nodular sclerosis of spleen
B614600	Hodgkin's disease, nodular sclerosis of intrapelvic lymph nodes
B614500	Hodgkin's disease, nodular sclerosis of lymph nodes of inguinal region and lower limb
B614400	Hodgkin's disease, nodular sclerosis of lymph nodes of axilla and upper limb
B614300	Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes
B614200	Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes
B614100	Hodgkin's disease, nodular sclerosis of lymph nodes of head, face and neck
B614000	Hodgkin's disease, nodular sclerosis of unspecified site
B613.00	Hodgkin's disease, lymphocytic-histiocytic predominance
B613.11	Hodgkin lymphoma, lymphocyte-rich
B613z00	Hodgkin's, lymphocytic-histiocytic predominance NOS
B613800	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of multiple sites
B613700	Hodgkin's, lymphocytic-histiocytic predominance of spleen
B613600	Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes
B613500	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of inguinal region and lower limb
B613400	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of axilla and upper limb
B613300	Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes
B613200	Hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes
B613100	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face and neck
B613000	Hodgkin's disease, lymphocytic-histiocytic predominance of unspecified site
B612.00	Hodgkin's sarcoma
B612z00	Hodgkin's sarcoma NOS
B612800	Hodgkin's sarcoma of lymph nodes of multiple sites
B612700	Hodgkin's sarcoma of spleen
B612600	Hodgkin's sarcoma of intrapelvic lymph nodes
B612500	Hodgkin's sarcoma of lymph nodes of inguinal region and lower limb
B612400	Hodgkin's sarcoma of lymph nodes of axilla and upper limb
B612300	Hodgkin's sarcoma of intra-abdominal lymph nodes
B612200	Hodgkin's sarcoma of intrathoracic lymph nodes
B612100	Hodgkin's sarcoma of lymph nodes of head, face and neck
B612000	Hodgkin's sarcoma of unspecified site
B611.00	Hodgkin's granuloma
B611z00	Hodgkin's granuloma NOS
B611800	Hodgkin's granuloma of lymph nodes of multiple sites
B611700	Hodgkin's granuloma of spleen
B611600	Hodgkin's granuloma of intrapelvic lymph nodes
B611500	Hodgkin's granuloma of lymph nodes of inguinal region and lower limb
B611400	Hodgkin's granuloma of lymph nodes of axilla and upper limb
B611300	Hodgkin's granuloma of intra-abdominal lymph nodes
B611200	Hodgkin's granuloma of intrathoracic lymph nodes
B611100	Hodgkin's granuloma of lymph nodes of head, face and neck
B611000	Hodgkin's granuloma of unspecified site
B610.00	Hodgkin's paragranuloma
B610z00	Hodgkin's paragranuloma NOS
B610800	Hodgkin's paragranuloma of lymph nodes of multiple sites
B610700	Hodgkin's paragranuloma of spleen
B610600	Hodgkin's paragranuloma of intrapelvic lymph nodes
B610500	Hodgkin's paragranuloma of lymph nodes of inguinal region and lower limb
B610400	Hodgkin's paragranuloma of lymph nodes of axilla and upper limb
B610300	Hodgkin's paragranuloma of intra-abdominal lymph nodes
B610200	Hodgkin's paragranuloma of intrathoracic lymph nodes
B610100	Hodgkin's paragranuloma of lymph nodes of head, face, and neck
B610000	Hodgkin's paragranuloma of unspecified site
BBj..00	[M]Hodgkin's disease
BBjz.00	[M]Hodgkin's disease NOS
BBj7.00	[M]Hodgkin's disease, nodular sclerosis, cellular phase
BBj6.00	[M]Hodgkin's disease, nodular sclerosis NOS
BBj6200	[M]Hodgkin,s disease, nodular sclerosis, lymphocytic depletion
BBj6100	[M]Hodgkin,s disease, nodular sclerosis, mixed cellularity
BBj6000	[M]Hodgkin,s disease, nodular sclerosis, lymphocytic predominance
BBj5.00	[M]Hodgkin's disease, lymphocytic depletion, reticular type
BBj4.00	[M]Hodgkin's disease, lymphocytic depletion, diffuse fibrosis
BBj3.00	[M]Hodgkin's disease, lymphocytic depletion NOS
BBj2.00	[M]Hodgkin's disease, mixed cellularity
BBj1.00	[M]Hodgkin's disease, lymphocytic predominance
BBj1100	[M]Hodgkin,s disease, lymphocytic predominance, nodular
BBj1000	[M]Hodgkin,s disease, lymphocytic predominance, diffuse
BBjA.00	[M]Hodgkin's sarcoma
BBj9.00	[M]Hodgkin's granuloma
BBj8.00	[M]Hodgkin's paragranuloma
BBj0.00	[M]Hodgkin's disease NOS
ByuD0	[X]Other Hodgkin's disease
ByuD000	[X]Other Hodgkin's disease
