1653.	Fever with sweating
1B1G1	Viral headache
43C3.	HIV positive
43D3.	Legionella antibody positive
4J32.	Sample: virus identified
65Q..	Infectious disease carrier
65Q1.	Cholera carrier
65Q2.	Typhoid carrier
65QA.	AIDS carrier
65QZ.	Infectious disease carrier NOS
65V4.	Notification of malaria
65V9.	Notification of tuberculosis
65VD.	Notification of acute polio
65VE.	Notification of AIDS
8BAD1	TB chemotherapy
A....	Infective disorder
A0760	Enteritis due to adenovirus
A0761	Enteritis due to enterovirus
A0762	Enteritis due to rotavirus
A076z	Enteritis due to specified virus NOS
A07y0	Viral gastroenteritis
A1...	Tuberculosis
A10..	Primary tuberculous infection
A100.	Primary tuberculous complex
A10y.	Other primary progressive tuberculosis
A10z.	Primary tuberculous infection NOS
A113.	Tuberculosis of bronchus
A121.	Tuberculosis of intrathoracic lymph nodes
A1210	Tuberculosis of hilar lymph nodes
A1211	Tuberculosis of mediastinal lymph nodes
A1212	Tuberculosis of tracheobronchial lymph nodes
A121z	Tuberculosis of intrathoracic lymph nodes NOS
A122.	Isolated tracheal or bronchial tuberculosis
A1221	Isolated bronchial tuberculosis
A122z	Isolated tracheal or bronchial tuberculosis NOS
A124.	Respiratory tuberculosis, bacteriologically and histologically confirmed
A1244	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
A1245	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
A1247	Primary respiratory tuberculosis, confirmed bacteriologically and histologically
A125.	Respiratory tuberculosis, not confirmed bacteriologically or histologically
A1252	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A12y0	Tuberculosis of mediastinum
A12y2	Tuberculosis of nasal septum
A14y2	Tuberculosis of small intestine
A14y3	Tuberculosis of mesenteric lymph nodes
A14y5	Tuberculosis of retroperitoneal lymph nodes
A16..	Urogenital tuberculosis
A16z.	Genitourinary tuberculosis NOS
A17..	Tuberculosis of other organs
A1700	Lupus vulgaris
A1703	Tuberculosis - lupus NOS
A1706	Lichen scrofulosorum
A1707	Tuberculosis papulonecrotica
A1708	Tuberculosis verrucosa cutis
A170z	Tuberculosis of skin and subcutaneous tissue NOS
A171.	Tuberculous erythema nodosum
A1710	Erythema induratum
A171z	Erythema nodosum with tuberculosis NOS
A1720	Tuberculous cervical lymphadenitis
A1721	Scrofulous tuberculous abscess
A1722	Tuberculous adenitis (& peripheral nodes)
A172z	Tuberculosis of peripheral lymph nodes NOS
A173.	Ocular tuberculosis
A1730	Tuberculous chorioretinitis
A1731	Tuberculous episcleritis
A1732	Tuberculous interstitial keratitis
A1733	Tuberculous chronic iridocyclitis
A1734	Tuberculous keratoconjunctivitis
A173z	Tuberculosis of eye NOS
A174.	Tuberculosis of ear
A175.	Tuberculosis of thyroid gland
A176.	Tuberculous Addison's disease
A177.	Tuberculosis of spleen
A17y.	Tuberculosis of other specified organs
A17y2	Tuberculosis of pericardium
A17y4	Tuberculosis of liver
A17yz	Tuberculosis of other specified organs NOS
A17z.	Tuberculosis of other organs NOS
A18..	Miliary tuberculosis
A180.	Acute miliary tuberculosis
A1800	Acute miliary tuberculosis of a single specified site
A1801	Acute miliary tuberculosis of multiple sites
A18y.	Other specified miliary tuberculosis
A18z.	Miliary tuberculosis NOS
A1y..	Other specified tuberculosis
A1z..	Tuberculosis NOS
A2...	Zoonotic bacterial disease
A20..	Plague
A200.	Bubonic plague
A201.	Cutaneous plague
A202.	Septicaemic plague
A20y.	Other specified plague types
A20y0	Abortive plague
A20y1	Ambulatory plague
A20y2	Plague - pestis minor
A20yz	Other specified plague NOS
A20z.	Plague unspecified
A22..	Anthrax
A220.	Cutaneous anthrax
A22y.	Other specified anthrax manifestations
A22z.	Anthrax NOS
A25..	Melioidosis
A250.	Acute and fulminating melioidosis
A251.	Subacute and chronic melioidosis
A261.	Streptobacillary rat-bite fever
A27..	Other zoonotic bacterial disease
A273.	Extraintestinal yersiniosis
A27y.	Other specified zoonotic bacterial disease
A27z.	Other zoonotic bacterial disease NOS
A2y..	Other specified zoonotic bacterial diseases
A2z..	Zoonotic bacterial disease NOS
A3...	Other bacterial diseases
A30..	Leprosy
A300.	Full lepromatous leprosy
A301.	Full tuberculoid leprosy
A302.	Indeterminate leprosy
A30y.	Other leprosy
A30z.	Leprosy NOS
A31..	Other mycobacterial diseases
A31y.	Other specified mycobacterial disease
A31z.	Mycobacterial disease NOS
A320.	Faucial diphtheria
A36..	Meningococcal infection
A362.	Meningococcal septicaemia
A36y.	Other specified meningococcal infection
A36yz	Other specified meningococcal infection NOS
A36z.	Meningococcal infection NOS
A37..	Tetanus
A370.	Obstetrical tetanus
A38..	Septicaemia
A380.	Streptococcal septicaemia
A3800	Gp A streptococcal septicaemia
A3801	Gp B streptococcal septicaemia
A381.	Staphylococcal septicaemia
A3810	Septicaemia due to Staphylococcus aureus
A3811	Septicaemia due to coagulase-negative staphylococcus
A382.	Pneumococcal septicaemia
A383.	Septicaemia due to anaerobes
A384.	Septicaemia due to other Gram-negative organisms
A3840	Gram-negative septicaemia NOS
A3841	Haemophilus influenzae septicaemia
A3842	Escherichia coli septicaemia
A3843	Pseudomonas septicaemia
A3844	Serratia septicaemia
A384z	Other Gram-negative septicaemia NOS
A38y.	Other specified septicaemias
A38z.	(Septicaemia NOS) or (sepsis)
A39..	Actinomycotic infection
A392.	Abdominal actinomycosis
A393.	Cervicofacial actinomycosis
A394.	Madura foot - actinomycotic
A395.	Actinomycotic septicaemia
A39y.	Other specified actinomycosis
A39y0	Pulmonary nocardiosis
A39y1	Cutaneous nocardiosis
A39z.	Actinomycosis unspecified site
A39z0	Maduromycosis NOS
A39z1	Nocardiosis NOS
A39zz	Actinomycosis unspecified site NOS
A3A3.	Necrobacillosis
A3Ay.	Other specified bacterial disease
A3Ay1	Toxic shock syndrome
A3Ayz	Other specified bacterial disease NOS
A3B..	Bacterial infections - causative organisms
A3B0.	Streptococcal infection
A3B1.	Staphylococcal infection
A3B4.	Escherichia coli infection
A3B5.	Haemophilus influenzae infection
A3B6.	Proteus infection
A3B60	Proteus mirabilis infection
A3B61	Morganella morganii infection
A3B6z	Proteus infection NOS
A3B7.	Pseudomonas infection
A3Bx.	Bacterial causes of diseases classified elsewhere
A3By.	Other specified bacterial infection
A3By2	Mima polymorpha infection
A3By3	Mycoplasma infection
A3By5	Serratia infection
A3By6	Coccal infection NEC
A3Byz	Other specified bacterial infection NOS
A3Bz.	Bacterial infection NOS
A3y..	Other specified bacterial diseases
A3z..	Other bacterial disease NOS
A4y..	Other enterovirus diseases of central nervous system
A4y1.	Enteroviral exanthematous fever
A5...	Viral disease characterised by exanthem
A510.	Cowpox
A511.	Paravaccinia
A51z.	Paravaccinia NOS
A52..	Varicella infection (& [chickenpox])
A52x.	Varicella with other specified complications
A52y.	Varicella with unspecified complications NOS
A52z.	Varicella with no complication NOS
A5311	(Geniculate herpes zoster) or (Ramsey Hunt syndrome)
A531z	Herpes zoster with other central nervous system complication NOS
A532.	Herpes zoster with ophthalmic complication
A5320	Herpes zoster with dermatitis of eyelid
A5323	Ophthalmic herpes zoster infection
A532z	Herpes zoster with other ophthalmic complication
A53x.	Herpes zoster with other specified complication
A53x1	Disseminated zoster
A53xz	Herpes zoster with other specified complication NOS
A53y.	Herpes zoster with unspecified complication
A53z.	Herpes zoster NOS
A540.	Eczema herpeticum
A541.	Genital herpes
A5410	Genital herpes unspecified (& [simplex group])
A5411	Herpetic vulvovaginitis
A5412	Herpetic ulceration of vulva
A5413	Herpetic infection of penis
A5414	Herpesviral infection of perianal skin and rectum
A5415	Anogenital herpesviral infection
A541z	Genital herpes simplex NOS
A544.	Ophthalmic herpes simplex
A5440	Unspecified ophthalmic herpes (& [simplex group])
A544z	Ophthalmic herpes simplex NOS
A545.	Herpes simplex septicaemia
A546.	Herpes simplex whitlow
A54x.	Herpes simplex with other specified complication
