A33X	Tetanus neonatorum
A34X	Obstetrical tetanus
A35X	Other tetanus
A051	Botulism
A052	Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A55X	Chlamydial lymphogranuloma (venereum)
A64X	Unspecified sexually transmitted disease
A65X	Nonvenereal syphilis
A071	Giardiasis [lambliasis]
A080	Rotaviral enteritis
A082	Adenoviral enteritis
A083	Other viral enteritis
A084	Viral intestinal infection, unspecified
A89X	Unspecified viral infection of central nervous system
A94X	Unspecified arthropod-borne viral fever
A99X	Unspecified viral haemorrhagic fever
A154	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
A155	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
A157	Primary respiratory tuberculosis, confirmed bacteriologically and histologically
A158	Other respiratory tuberculosis, confirmed bacteriologically and histologically
A159	Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically
A163	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation
A164	Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation
A167	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A168	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
A169	Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
A178	Other tuberculosis of nervous system
A180	Tuberculosis of bones and joints
A181	Tuberculosis of genitourinary system
A182	Tuberculous peripheral lymphadenopathy
A183	Tuberculosis of intestines, peritoneum and mesenteric glands
A184	Tuberculosis of skin and subcutaneous tissue
A185	Tuberculosis of eye
A186	Tuberculosis of ear
A187	Tuberculosis of adrenal glands
A188	Tuberculosis of other specified organs
A190	Acute miliary tuberculosis of a single specified site
A191	Acute miliary tuberculosis of multiple sites
A192	Acute miliary tuberculosis, unspecified
A198	Other miliary tuberculosis
A199	Miliary tuberculosis, unspecified
A200	Bubonic plague
A201	Cellulocutaneous plague
A207	Septicaemic plague
A208	Other forms of plague
A209	Plague, unspecified
A220	Cutaneous anthrax
A221	Pulmonary anthrax
A228	Other forms of anthrax
A229	Anthrax, unspecified
A241	Acute and fulminating melioidosis
A242	Subacute and chronic melioidosis
A243	Other melioidosis
A244	Melioidosis, unspecified
A251	Streptobacillosis
A260	Cutaneous erysipeloid
A278	Other forms of leptospirosis
A279	Leptospirosis, unspecified
A280	Pasteurellosis
A282	Extraintestinal yersiniosis
A288	Other specified zoonotic bacterial diseases, not elsewhere classified
A289	Zoonotic bacterial disease, unspecified
A300	Indeterminate leprosy
A301	Tuberculoid leprosy
A305	Lepromatous leprosy
A308	Other forms of leprosy
A309	Leprosy, unspecified
A311	Cutaneous mycobacterial infection
A318	Other mycobacterial infections
A319	Mycobacterial infection, unspecified
A360	Pharyngeal diphtheria
A394	Meningococcaemia, unspecified
A398	Other meningococcal infections
A399	Meningococcal infection, unspecified
A400	Sepsis due to streptococcus, group A
A401	Sepsis due to streptococcus, group B
A403	Sepsis due to Streptococcus pneumoniae
A408	Other streptococcal sepsis
A409	Streptococcal sepsis, unspecified
A410	Sepsis due to Staphylococcus aureus
A411	Sepsis due to other specified staphylococcus
A412	Sepsis due to unspecified staphylococcus
A413	Sepsis due to Haemophilus influenzae
A414	Sepsis due to anaerobes
A415	Sepsis due to other Gram-negative organisms
A418	Other specified sepsis
A419	Sepsis, unspecified
A421	Abdominal actinomycosis
A422	Cervicofacial actinomycosis
A427	Actinomycotic sepsis
A428	Other forms of actinomycosis
A429	Actinomycosis, unspecified
A430	Pulmonary nocardiosis
A431	Cutaneous nocardiosis
A438	Other forms of nocardiosis
A439	Nocardiosis, unspecified
A440	Systemic bartonellosis
A441	Cutaneous and mucocutaneous bartonellosis
A448	Other forms of bartonellosis
A449	Bartonellosis, unspecified
A482	Nonpneumonic Legionnaires disease [Pontiac fever]
A483	Toxic shock syndrome
A488	Other specified bacterial diseases
A490	Staphylococcal infection, unspecified site
A491	Streptococcal and enterococcal infection, unspecified site
A492	Haemophilus influenzae infection, unspecified site
A493	Mycoplasma infection, unspecified site
A498	Other bacterial infections of unspecified site
A499	Bacterial infection, unspecified
A503	Late congenital syphilitic oculopathy
A505	Other late congenital syphilis, symptomatic
A506	Late congenital syphilis, latent
A510	Primary genital syphilis
A511	Primary anal syphilis
A512	Primary syphilis of other sites
A513	Secondary syphilis of skin and mucous membranes
A514	Other secondary syphilis
A515	Early syphilis, latent
A519	Early syphilis, unspecified
A520	Cardiovascular syphilis
A521	Symptomatic neurosyphilis
A527	Other symptomatic late syphilis
A528	Late syphilis, latent
A529	Late syphilis, unspecified
A530	Latent syphilis, unspecified as early or late
A539	Syphilis, unspecified
A540	Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A541	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A544	Gonococcal infection of musculoskeletal system
A548	Other gonococcal infections
A549	Gonococcal infection, unspecified
A560	Chlamydial infection of lower genitourinary tract
A600	Herpesviral infection of genitalia and urogenital tract
A601	Herpesviral infection of perianal skin and rectum
A609	Anogenital herpesviral infection, unspecified
A630	Anogenital (venereal) warts
A638	Other specified predominantly sexually transmitted diseases
A662	Other early skin lesions of yaws
A663	Hyperkeratosis of yaws
A664	Gummata and ulcers of yaws
A665	Gangosa
A666	Bone and joint lesions of yaws
A667	Other manifestations of yaws
A668	Latent yaws
A669	Yaws, unspecified
A681	Tick-borne relapsing fever
A689	Relapsing fever, unspecified
A692	Lyme disease
A698	Other specified spirochaetal infections
A699	Spirochaetal infection, unspecified
A710	Initial stage of trachoma
A711	Active stage of trachoma
A719	Trachoma, unspecified
A740	Chlamydial conjunctivitis
A750	Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A751	Recrudescent typhus [Brill disease]
A752	Typhus fever due to Rickettsia typhi
A753	Typhus fever due to Rickettsia tsutsugamushi
A759	Typhus fever, unspecified
A771	Spotted fever due to Rickettsia conorii
A772	Spotted fever due to Rickettsia sibirica
A773	Spotted fever due to Rickettsia australis
A779	Spotted fever, unspecified
A791	Rickettsialpox due to Rickettsia akari
A798	Other specified rickettsioses
A835	California encephalitis
