#AUTOGENERATED	DONT EDIT
A180	Tuberculosis of bones and joints
A544	Gonococcal infection of musculoskeletal system
A666	Bone and joint lesions of yaws
B453	Osseous cryptococcosis
B672	Echinococcus granulosus infection of bone
K103	Alveolitis of jaws
M000	Staphylococcal arthritis and polyarthritis
M001	Pneumococcal arthritis and polyarthritis
M002	Other streptococcal arthritis and polyarthritis
M008	Arthritis and polyarthritis due to other specified bacterial agents
M009	Pyogenic arthritis, unspecified
M013	Arthritis in other bacterial diseases classified elsewhere
M018	Arthritis in other infectious and parasitic diseases classified elsewhere
M462	Osteomyelitis of vertebra
M860	Acute haematogenous osteomyelitis
M861	Other acute osteomyelitis
M862	Subacute osteomyelitis
M865	Other chronic haematogenous osteomyelitis
M866	Other chronic osteomyelitis
M868	Other osteomyelitis
M869	Osteomyelitis, unspecified
T845	Infection and inflammatory reaction due to internal joint prosthesis
A395	Meningococcal heart disease
A520	Cardiovascular syphilis
B332	Viral carditis
B376	Candidal endocarditis
D868	Sarcoidosis of other and combined sites
I010	Acute rheumatic pericarditis
I011	Acute rheumatic endocarditis
I012	Acute rheumatic myocarditis
I38X	Endocarditis, valve unspecified
I090	Rheumatic myocarditis
I092	Chronic rheumatic pericarditis
I300	Acute nonspecific idiopathic pericarditis
I301	Infective pericarditis
I330	Acute and subacute infective endocarditis
I339	Acute endocarditis, unspecified
I398	Endocarditis, valve unspecified, in diseases classified elsewhere
I400	Infective myocarditis
I401	Isolated myocarditis
I408	Other acute myocarditis
I409	Acute myocarditis, unspecified
I410	Myocarditis in bacterial diseases classified elsewhere
I411	Myocarditis in viral diseases classified elsewhere
I412	Myocarditis in other infectious and parasitic diseases classified elsewhere
I418	Myocarditis in other diseases classified elsewhere
I514	Myocarditis, unspecified
A46X	Erysipelas
A260	Cutaneous erysipeloid
A269	Erysipeloid, unspecified
H601	Cellulitis of external ear
K122	Cellulitis and abscess of mouth
L00X	Staphylococcal scalded skin syndrome
L030	Cellulitis of finger and toe
L031	Cellulitis of other parts of limb
L032	Cellulitis of face
L033	Cellulitis of trunk
L038	Cellulitis of other sites
L039	Cellulitis, unspecified
L080	Pyoderma
L983	Eosinophilic cellulitis [Wells]
N730	Acute parametritis and pelvic cellulitis
N732	Unspecified parametritis and pelvic cellulitis
K570	Diverticular disease of small intestine with perforation and abscess
K571	Diverticular disease of small intestine without perforation or abscess
K573	Diverticular disease of large intestine without perforation or abscess
K574	Diverticular disease of both small and large intestine with perforation and abscess
K578	Diverticular disease of intestine, part unspecified, with perforation and abscess
K579	Diverticular disease of intestine, part unspecified, without perforation or abscess
A000	Cholera due to Vibrio cholerae 01, biovar cholerae
A001	Cholera due to Vibrio cholerae 01, biovar eltor
A009	Cholera, unspecified
A010	Typhoid fever
A011	Paratyphoid fever A
A012	Paratyphoid fever B
A013	Paratyphoid fever C
A014	Paratyphoid fever, unspecified
A020	Salmonella enteritis
A021	Salmonella sepsis
A022	Localized salmonella infections
A028	Other specified salmonella infections
