23E2.	O/E - consolidation present
A0222	Salmonella pneumonia
A054.	Amoebic lung abscess
A101.	Tuberculous pleurisy in primary progressive tuberculosis
A11..	Pulmonary tuberculosis
A110.	Infiltrative lung tuberculosis
A111.	Nodular lung tuberculosis
A112.	Tuberculosis of lung with cavitation
A114.	Tuberculous fibrosis of lung
A115.	Tuberculous bronchiectasis
A116.	Tuberculous pneumonia
A117.	Tuberculous pneumothorax
A11y.	Other specified pulmonary tuberculosis
A11z.	Pulmonary tuberculosis NOS
A12..	Other respiratory tuberculosis
A120.	Tuberculosis of pleura
A1201	Tuberculous empyema (& pleural)
A1202	Tuberculous hydrothorax
A120z	Tuberculous pleurisy NOS
A1240	Tuberculosis of lung, confirmed by sputum microscopy with or without culture
A1241	Tuberculosis of lung, confirmed by culture only
A1242	Tuberculosis of lung, confirmed histologically
A1243	Tuberculosis of lung, confirmed by unspecified means
A1246	Tuberculous pleurisy, confirmed bacteriologically and histologically
A1250	Tuberculosis of lung, bacteriologically and histologically negative
A1251	Tuberculosis of lung, bacteriological and histological examination not done
A12y.	Other specified respiratory tuberculosis
A12yz	Other specified respiratory tuberculosis NOS
A203.	Primary pneumonic plague
A205.	Pneumonic plague, unspecified
A391.	Pulmonary actinomycosis
A3B2.	Pneumococcal infection
A3By1	Eaton's agent infection
A3By4	Mycoplasmal pneumonia
A551.	Postmeasles pneumonia
A73x.	Ornithosis with other specified complications
A73y.	Ornithosis with unspecified complications
A73z.	Unspecified Ornithosis
A7893	HIV disease resulting in Pneumocystis carinii pneumonia
AB24.	Candidiasis: [lung] or [pneumonia]
AC21.	Lung echinococcus granulosus
AD04.	Toxoplasma pneumonitis
H06..	Acute bronchitis and bronchiolitis
H0600	Acute fibrinous bronchitis
H0601	Acute membranous bronchitis
H0602	Acute pseudomembranous bronchitis
H0603	Acute purulent bronchitis
H0604	Acute croupous bronchitis
H0605	Acute tracheobronchitis
H0606	Acute pneumococcal bronchitis
H0607	Acute streptococcal bronchitis
H0608	Acute haemophilus influenzae bronchitis
H0609	Acute Neisseria catarrhalis bronchitis
H060B	Acute coxsackievirus bronchitis
H060C	Acute parainfluenza virus bronchitis
H060D	Acute respiratory syncytial virus bronchitis
H060E	Acute bronchitis due to rhinovirus
H060F	Acute echovirus bronchitis
H060v	Subacute bronchitis unspecified
H060w	Acute viral bronchitis unspecified
H060x	Acute bacterial bronchitis unspecified
H060z	Acute bronchitis NOS
H061.	Acute bronchiolitis
H0610	Acute capillary bronchiolitis
H0611	Acute obliterating bronchiolitis
H0612	Acute bronchiolitis with bronchospasm
H0613	Acute exudative bronchiolitis
H0615	Acute bronchiolitis due to respiratory syncytial virus
H0616	Acute bronchiolitis due to other specified organisms
H061z	Acute bronchiolitis NOS
H06z.	Acute bronchitis or bronchiolitis NOS
H07..	Chest cold
H2...	Pneumonia and influenza
