K10y100	Pyelitis unspecified
K10..00	Infections of kidney
K10y000	Pyelonephritis unspecified
K101.00	Acute pyelonephritis
K100600	Calculous pyelonephritis
L166500	Infections of kidney in pregnancy
K102100	Perinephric abscess
K10z.00	Infection of kidney NOS
K100.00	Chronic pyelonephritis
K10y200	Pyonephrosis unspecified
K101200	Acute pyelitis
K102000	Renal abscess
K100200	Chronic pyelitis
K102.00	Renal and perinephric abscess
K100300	Chronic pyonephrosis
K100400	Nonobstructive reflux-associated chronic pyelonephritis
K104.00	Xanthogranulomatous pyelonephritis
K101z00	Acute pyelonephritis NOS
K101300	Acute pyonephrosis
K100z00	Chronic pyelonephritis NOS
K100500	Chronic obstructive pyelonephritis
K102200	Renal carbuncle
A160200	Tuberculous pyelonephritis
A160100	Tuberculous pyelitis
K10y.00	Pyelonephritis and pyonephrosis unspecified
K100100	Chronic pyelonephritis with medullary necrosis
K10yz00	Unspecified pyelonephritis NOS
K101000	Acute pyelonephritis without medullary necrosis
K10y400	Pyelitis in diseases EC
K102z00	Renal and perinephric abscess NOS
K10y300	Pyelonephritis in diseases EC
K190600	Urosepsis
K106.00	Candida pyelonephritis
K101400	Emphysematous pyelonephritis
A160.00	Tuberculosis of kidney
A160000	Tuberculous nephropathy
A160z00	Tuberculosis of kidney NOS
K08y700	Acute infective interstitial nephritis
K0A9.00	Cytomegalovirus-induced glomerulonephritis
K101100	Acute pyelonephritis with medullary necrosis
K101500	Emphysematous pyelitis
K105.00	Chronic infective interstitial nephritis
