
E113.	Recurrent major depressive episode
E1130	Recurrent major depressive episodes, unspecified
E1131	Recurrent major depressive episodes, mild
E1132	Recurrent major depressive episodes, moderate
E1133	Recurrent major depressive episodes, severe, without mention of psychosis
E1134	Recurrent major depressive episodes, severe, with psychosis
E1135	Recurrent major depressive episodes, in partial or unspecified remission
E1136	Recurrent major depressive episodes, in full remission
E1137	Recurrent depression
E113z	Recurr. major depression NOS
E113z	Recurrent major depressive episode NOS
E1153	Bipolar affective disorder, currently depressed, severe, without mention of psychosis
E1154	Bipolar affective disorder, currently depressed, severe, with psychosis
Eu314	"[X]Bipol aff disord, curr epis sev depress, no psychot symp"
Eu322	[X] Severe depressive episode without psychotic symptoms: (& [single episode agitated depression] or [single episode major depression] or [single episode vital depression])
Eu322	[X] Single episode major depression without psychotic symptoms
Eu322	[X]Severe depressive episode without psychotic symptoms
Eu33.	[X]Recurrent episodes of psychogenic depression
Eu330	[X]Recurrent depressive disorder, current episode mild
Eu331	[X]Recurrent depressive disorder, current episode moderate
Eu332	[X]Vital depression, recurrent without psychotic symptoms
Eu333	[X]Recurrent severe episodes of reactive depressive psychosis
Eu334	[X]Recurrent depressive disorder, currently in remission
Eu33y	[X]Other recurrent depressive disorders
Eu33z	[X]Recurrent depressive disorder, unspecified
Eu3y1	[X]Recurrent brief depressive episodes
Xa0wV	Recurrent brief depressive disorder
XaCHo	[X] Manic-depressive psychosis, depressed type without psychotic symptoms
XaCHs	[X] Single episode major depression without psychotic symptoms
XaCIu	Severe depression
XagU1	Recurrent reactive depressive episodes, severe, with psychosis
XE1Y1	Recurrent major depressive episodes
XE1Zc	[X]Recurrent depressive disorder
XE1Zd	[X]Recurrent depressive disorder, current episode severe without psychotic symptoms
XE1Ze	[X]Recurrent depressive disorder, current episode severe with psychotic symptoms
XE1Zf	[X]Recurrent depressive disorder, unspecified
XE1ZY	[X]Severe depressive episode without psychotic symptoms
XE1ZZ	[X]Severe depressive episode with psychotic symptoms
XSGon	[X]Major depression, severe with psychotic symptoms
XSGon	Severe major depression with psychotic features
XagU1	Recurrent reactive depressive episodes, severe, with psychosis
XaX54	Recurrent major depressive episodes, severe, with psychosis, psychosis in remission
XM1GC	Endogenous depression - recurrent
XSEGJ	Major depressive disorder
XSEGJ	Major depression
XSGok	Mild major depression
XSGol	Moderate major depression
XSGom	Severe major depression without psychotic features
Xa0wV	Recurrent brief depressive disorder
