14D1.00	H/O: nephritis
14V2.00	H/O: renal dialysis
14V2.11	H/O: kidney dialysis
1Z10.00	Chronic kidney disease stage 1
1Z11.00	Chronic kidney disease stage 2
1Z12.00	Chronic kidney disease stage 3
1Z13.00	Chronic kidney disease stage 4
1Z14.00	Chronic kidney disease stage 5
1Z15.00	Chronic kidney disease stage 3A
1Z16.00	Chronic kidney disease stage 3B
1Z17.00	Chronic kidney disease stage 1 with proteinuria
1Z17.11	CKD stage 1 with proteinuria
1Z18.00	Chronic kidney disease stage 1 without proteinuria
1Z19.00	Chronic kidney disease stage 2 with proteinuria
1Z19.11	CKD stage 2 with proteinuria
1Z1A.00	Chronic kidney disease stage 2 without proteinuria
1Z1A.11	CKD stage 2 without proteinuria
1Z1B.00	Chronic kidney disease stage 3 with proteinuria
1Z1B.11	CKD stage 3 with proteinuria
1Z1C.00	Chronic kidney disease stage 3 without proteinuria
1Z1C.11	CKD stage 3 without proteinuria
1Z1D.00	Chronic kidney disease stage 3A with proteinuria
1Z1D.11	CKD stage 3A with proteinuria
1Z1E.00	Chronic kidney disease stage 3A without proteinuria
1Z1E.11	CKD stage 3A without proteinuria
1Z1F.00	Chronic kidney disease stage 3B with proteinuria
1Z1F.11	CKD stage 3B with proteinuria
1Z1G.00	Chronic kidney disease stage 3B without proteinuria
1Z1G.11	CKD stage 3B without proteinuria
1Z1H.00	Chronic kidney disease stage 4 with proteinuria
1Z1H.11	CKD stage 4 with proteinuria
1Z1J.00	Chronic kidney disease stage 4 without proteinuria
1Z1J.11	CKD stage 4 without proteinuria
1Z1K.00	Chronic kidney disease stage 5 with proteinuria
1Z1K.11	CKD stage 5 with proteinuria
1Z1L.00	Chronic kidney disease stage 5 without proteinuria
1Z1L.11	CKD stage 5 without proteinuria
7261011	Cyclodialysis
7A60600	Creation of graft fistula for dialysis
7A61900	Ligation of arteriovenous dialysis fistula
7A61A00	Ligation of arteriovenous dialysis graft
7B00212	Cadaveric renal transplant
7B00600	Xenograft renal transplant
7B06300	Exploration of renal transplant
7L1A.00	Compensation for renal failure
