13Y2.00	Schizophrenia association member
146H.00	H/O: psychosis
1B1E.00	Hallucinations
1B1e.00	Hypnopompic hallucination
1BC..00	Morbid jealousy
1BH..00	Delusion
1BH..00	Delusions
1BH..11	Delusion
1BH1.00	Grandiose delusions
1BH2.00	Ideas of reference
1BH3.00	Paranoid ideation
212T.00	"Psychosis, schizophrenia and bipolar affective disorder resolved"
212W.00	Schizophrenia resolved
212X.00	Psychosis resolved
225E.00	O/E - paranoid delusions
225F.00	O/E - delusion of persecution
285..11	"Psychotic condition, insight present"
286..11	Poor insight into psychotic condition
38Q4.00	HCL-32-R1 - hypomania checklist 32 item revised
8G13100	CBTp - cognitive behavioural therapy for psychosis
8HHs.00	Referral to psychosis early intervention service
E00z.00	Senile or presenile psychoses NOS
E03y300	Unspecified puerperal psychosis
E040.00	Non-alcoholic amnestic syndrome
E040.11	Korsakoff's non-alcoholic psychosis
E03y000	Organic delusional syndrome
E1...00	Non-organic psychoses
E100.00	Schizophrenia simplex
E100.00	Simple schizophrenia
E100000	Unspecified schizophrenia
E100100	Subchronic schizophrenia
E100200	Chronic schizophrenic
E100300	Acute exacerbation of subchronic schizophrenia
E100400	Acute exacerbation of chronic schizophrenia
E100500	Schizophrenia in remission
E100z00	Simple schizophrenia NOS
E101.00	Hebephrenic schizophrenia
E101000	Unspecified hebephrenic schizophrenia
E101100	Subchronic hebephrenic schizophrenia
E101200	Chronic hebephrenic schizophrenia
E101300	Acute exacerbation of subchronic hebephrenic schizophrenia
E101400	Acute exacerbation of chronic hebephrenic schizophrenia
E101500	Hebephrenic schizophrenia in remission
E101z00	Hebephrenic schizophrenia NOS
E102.00	Catatonic schizophrenia
E102000	Unspecified catatonic schizophrenia
E102100	Subchronic catatonic schizophrenia
E102200	Chronic catatonic schizophrenia
E102300	Acute exacerbation of subchronic catatonic schizophrenia
E102400	Acute exacerbation of chronic catatonic schizophrenia
E102500	Catatonic schizophrenia in remission
E102z00	Catatonic schizophrenia NOS
E103.00	Paranoid schizophrenia
E103000	Unspecified paranoid schizophrenia
E103100	Subchronic paranoid schizophrenia
E103200	Chronic paranoid schizophrenia
E103300	Acute exacerbation of subchronic paranoid schizophrenia
E103400	Acute exacerbation of chronic paranoid schizophrenia
E103500	Paranoid schizophrenia in remission
E103z00	Paranoid schizophrenia NOS
E104.00	Oneirophrenia
E104.11	Oneirophrenia
E105.00	Latent schizophrenia
E105000	Unspecified latent schizophrenia
E105100	Subchronic latent schizophrenia
E105200	Chronic latent schizophrenia
E105300	Acute exacerbation of subchronic latent schizophrenia
E105400	Acute exacerbation of chronic latent schizophrenia
E105500	Latent schizophrenia in remission
E105z00	Latent schizophrenia NOS
E106.00	Residual schizophrenia
E106.11	Restzustand - schizophrenia
E106.00	Restzustand - schizophrenia
E107.00	Cyclic schizophrenia
E107.00	Schizo-affective schizophrenia
E107.11	Cyclic schizophrenia
E107000	Unspecified schizo-affective schizophrenia
E107100	Subchronic schizo-affective schizophrenia
E107200	Chronic schizo-affective schizophrenia
E107300	Acute exacerbation of subchronic schizo-affective schizophrenia
E107400	Acute exacerbation of chronic schizo-affective schizophrenia
E107500	Schizo-affective schizophrenia in remission
E107z00	Schizo-affective schizophrenia NOS
E10y.00	Cenesthopathic schizophrenia
E10y.00	Other schizophrenia
E10y.11	Cenesthopathic schizophrenia
E10y000	Atypical schizophrenia
E10y100	Coenesthopathic schizophrenia
E10yz00	Other schizophrenia NOS
E10z.00	Schizophrenia NOS
E11..00	Affective psychoses
E11..11	Bipolar psychoses
E11..12	Depressive psychoses
E11..13	Manic psychoses
E11y.00	Other and unspecified manic-depressive psychoses
E11y000	Unspecified manic-depressive psychoses
E11y100	Atypical manic disorder
E11y300	Other mixed manic-depressive psychoses
E11yz00	Other and unspecified manic-depressive psychoses NOS
E11z.00	Other and unspecified affective psychoses
E11z000	Unspecified affective psychoses NOS
E11zz00	Other affective psychosis NOS
E12..00	Paranoid states
E121.00	Chronic paranoid psychosis
E121.11	Sander's disease
E120.00	Simple paranoid state
E122.00	Paraphrenia
E123.00	Folie a deux
E123.00	Shared paranoid disorder
E12y.00	Other paranoid states
E12y000	Paranoia querulans
E12yz00	Other paranoid states NOS
E12z.00	Paranoid psychosis NOS
E13..00	Other nonorganic psychoses
E13..11	Reactive psychoses
E13..00	Reactive psychoses
E130.00	Reactive depressive psychosis
E131.00	Acute hysterical psychosis
E132.00	Reactive confusion
E133.00	Bouffee delirante
E134.00	Psychogenic paranoid psychosis
E13y.00	Other reactive psychoses
E13yz00	Other reactive psychoses NOS
E13y000	Psychogenic stupor
E13y100	Brief reactive psychosis
E13z.00	Nonorganic psychosis NOS
E13z.00	Psychotic episode NOS
E14..00	Psychoses with origin in childhood
E141.00	Disintegrative psychosis
E141.11	Heller's syndrome
E141000	Active disintegrative psychoses
E141100	Residual disintegrative psychoses
E141z00	Disintegrative psychosis NOS
E14y.00	Other childhood psychoses
E14y000	Atypical childhood psychoses
E14y100	Borderline psychosis of childhood
E14yz00	Other childhood psychoses NOS
E14z.00	Child psychosis NOS
E14z.11	Childhood schizophrenia NOS
E1y..00	Other specified non-organic psychoses
E1z..00	Non-organic psychosis NOS
E201.00	Hysteria
E201000	Hysteria unspecified
E201z00	Hysteria NOS
E210.00	Paranoid personality disorder
E211.00	Affective personality disorder
E211000	Unspecified affective personality disorder
E211300	Cyclothymic personality disorder
E211z00	Affective personality disorder NOS
E212.00	Schizoid personality disorder
E212000	Unspecified schizoid personality disorder
E212200	Schizotypal personality
E212z00	Schizoid personality disorder NOS
E212200	Schizotypal personality
Eu05200	[X]Organic delusional [schizophrenia-like] disorder
Eu05200	[X]Paranoid organic state
Eu05200	[X]Schizophrenia-like psychosis in epilepsy
Eu02z12	[X] Presenile psychosis NOS
Eu02z15	[X] Senile psychosis NOS
Eu03.11	"[X]Korsakov's psychosis, nonalcoholic"
Eu04.13	[X]Acute / subacute infective psychosis
Eu05200	[X]Organic delusional [schizophrenia-like] disorder
Eu05211	[X]Paranoid organic state
Eu05212	[X]Schizophrenia-like psychosis in epilepsy
Eu05300	[X]Organic mood [affective] disorders
Eu05y11	[X]Epileptic psychosis NOS
Eu0z.12	[X]Symptomatic psychosis NOS
Eu2..00	"[X]Schizophrenia, schizotypal and delusional disorders"
Eu20.00	[X]Schizophrenia
Eu20000	[X]Paranoid schizophrenia
Eu20011	[X]Paraphrenic schizophrenia
Eu20100	[X]Hebephrenic schizophrenia
Eu20111	[X]Disorganised schizophrenia
Eu20200	[X]Catatonic schizophrenia
Eu20211	[X]Catatonic stupor
Eu20212	[X]Schizophrenic catalepsy
Eu20213	[X]Schizophrenic catatonia
Eu20214	[X]Schizophrenic flexibilatis cerea
Eu20300	[X]Undifferentiated schizophrenia
Eu20311	[X]Atypical schizophrenia
Eu20400	[X]Post-schizophrenic depression
Eu20500	[X]Residual schizophrenia
Eu20511	[X]Chronic undifferentiated schizophrenia
Eu20512	[X]Restzustand schizophrenic
Eu20600	[X]Simple schizophrenia
Eu20y00	[X]Other schizophrenia
Eu20y11	[X]Cenesthopathic schizophrenia
Eu20y12	[X]Schizophreniform disord NOS
Eu20y13	[X]Schizophrenifrm psychos NOS
Eu20z00	"[X]Schizophrenia, unspecified"
Eu21.00	[X]Schizotypal disorder
Eu21.11	[X]Latent schizophrenic reaction
Eu21.12	[X]Borderline schizophrenia
Eu21.13	[X]Latent schizophrenia
Eu21.14	[X]Prepsychotic schizophrenia
Eu21.15	[X]Prodromal schizophrenia
Eu21.16	[X]Pseudoneurotic schizophrenia
Eu21.17	[X]Pseudopsychopathic schizophrenia
Eu21.18	[X]Schizotypal personality disorder
Eu22.00	[X]Persistent delusional disorders
Eu22000	[X]Delusional disorder
Eu22011	[X]Paranoid psychosis
Eu22012	[X]Paranoid state
Eu22013	[X]Paraphrenia - late
Eu22100	[X]Delusional misidentification syndrome
Eu22111	[X]Capgras syndrome
Eu22200	[X]Cotard syndrome
Eu22300	[X]Paranoid state in remission
Eu22y00	[X]Other persistent delusional disorders
Eu22y11	[X]Delusional dysmorphophobia
Eu22y12	[X]Involutional paranoid state
Eu22y13	[X]Paranoia querulans
Eu22z00	"[X]Persistent delusional disorder, unspecified"
Eu23000	[X]Acute polymorphic psychotic disorder without symptoms of schizophrenia
Eu23011	[X]Bouffee delirante
Eu23012	[X]Cycloid psychosis
Eu23100	[X]Acute polymorphic psychotic disorder with symptoms of schizophrenia
Eu23111	[X]Bouffee delirante with symptoms of schizophrenia
Eu23112	[X]Cycloid psychosis with symptoms of schizophrenia
Eu23200	[X]Acute schizophrenia-like psychotic disorder
Eu23211	[X]Brief schizophreniform disorder
Eu23212	[X]Brief schizophrenifrm psych
Eu23213	[X]Oneirophrenia
Eu23214	[X]Schizophrenic reaction
Eu23300	[X]Other acute predominantly delusional psychotic disorders
Eu23312	[X]Psychogenic paranoid psychosis
Eu23z11	[X]Brief reactive psychosis NOS
Eu23z12	[X]Reactive psychosis
Eu24.00	[X]Induced delusional disorder
Eu24.11	[X]Folie a deux
Eu25.00	[X]Schizoaffective disorders
Eu25000	"[X]Schizoaffective disorder, manic type"
Eu25011	"[X]Schizoaffective psychosis, manic type"
Eu25012	"[X]Schizophreniform psychosis, manic type"
Eu25100	"[X]Schizoaffective disorder, depressive type"
Eu25111	"[X]Schizoaffective psychosis, depressive type"
Eu25112	"[X]Schizophreniform psychosis, depressive type"
Eu25200	"[X]Schizoaffective disorder, mixed type"
Eu25211	[X]Cyclic schizophrenia
Eu25212	[X]Mixed schizophrenic and affective psychosis
Eu25y00	[X]Other schizoaffective disorders
Eu25z00	"[X]Schizoaffective disorder, unspecified"
Eu25z11	[X]Schizoaffective psychosis NOS
Eu2y.00	[X]Other nonorganic psychotic disorders
Eu2y.11	[X]Chronic hallucinatory psychosis
Eu2z.11	[X]Psychosis NOS
Eu30200	[X]Mania with psychotic symptoms
