SnomedCT_ConceptID	FullDescription
162313000	Morbid jealousy
5510009	Organic delusional disorder
5510009	Paranoid organic state
191525009	Non-organic psychoses
191527001	Schizophrenia simplex
191527001	Simple schizophrenia
58214004	Unspecified schizophrenia
16990005	Subchronic schizophrenia
111482003	Acute exacerbation of subchronic schizophrenia
191531007	Acute exacerbation of chronic schizophrenia
4926007	Schizophrenia in remission
191527001	Simple schizophrenia NOS
35252006	Disorganised schizophrenia
35252006	Hebephrenic schizophrenia
35252006	Unspecified hebephrenic schizophrenia
27387000	Subchronic hebephrenic schizophrenia
12939007	Chronic hebephrenic schizophrenia
14291003	Acute exacerbation of subchronic hebephrenic schizophrenia
191539009	Acute exacerbation of chronic hebephrenic schizophrenia
31373002	Hebephrenic schizophrenia in remission
35252006	Hebephrenic schizophrenia NOS
191542003	[X]Schizophrenic flexibilatis cerea
191542003	Catatonic schizophrenia
191542003	Unspecified catatonic schizophrenia
42868002	Subchronic catatonic schizophrenia
68995007	Chronic catatonic schizophrenia
191547009	Acute exacerbation of subchronic catatonic schizophrenia
191548004	Acute exacerbation of chronic catatonic schizophrenia
111483008	Catatonic schizophrenia in remission
191542003	Catatonic schizophrenia NOS
64905009	Paranoid schizophrenia
64905009	Paraphrenic schizophrenia
64905009	Unspecified paranoid schizophrenia
79866005	Subchronic paranoid schizophrenia
31658008	Chronic paranoid schizophrenia
191554003	Acute exacerbation of subchronic paranoid schizophrenia
191555002	Acute exacerbation of chronic paranoid schizophrenia
63181006	Paranoid schizophrenia in remission
64905009	Paranoid schizophrenia NOS
307504004	Oneirophrenia
191559008	Latent schizophrenia
191559008	Unspecified latent schizophrenia
191561004	Subchronic latent schizophrenia
191562006	Chronic latent schizophrenia
191563001	Acute exacerbation of subchronic latent schizophrenia
191564007	Acute exacerbation of chronic latent schizophrenia
191565008	Latent schizophrenia in remission
191559008	Latent schizophrenia NOS
26025008	Residual schizophrenia
26025008	Restzustand
191567000	Cyclic schizophrenia
191567000	Schizoaffective schizophrenia
191567000	Unspecified schizoaffective schizophrenia
191569002	Subchronic schizoaffective schizophrenia
191570001	Chronic schizoaffective schizophrenia
191571002	Acute exacerbation of subchronic schizoaffective schizophrenia
191572009	Acute exacerbation of chronic schizoaffective schizophrenia
191574005	Schizoaffective schizophrenia in remission
