^ESCTCO645161	Costen's complex
^ESCTMA645160	Mandibular dysfunction
^ESCTMY645165	Myofascial pain - dysfunction syndrome of TMJ
^ESCTSN645163	Snapping jaw
^ESCTTE585214	Temporomandibular joint painful on movement
^ESCTTE645157	Temporomandibular joint-pain-dysfunction syndrome
^ESCTTM645158	TMJ syndrome
^ESCTTM645164	TMJPDS - Temporomandibular joint pain dysfunction syndrome
^ESCT1172799	Bilateral temporomandibular joint pain
^ESCT1172800	Pain in bilateral temporomandibular joints
^ESCT1172801	Bilateral TMJ (temporomandibular joint) pain
^ESCT1172802	Pain in both temporomandibular joints
^ESCT1370713	Right temporomandibular joint pain dysfunction syndrome
^ESCT1370714	Left temporomandibular joint pain dysfunction syndrome
^ESCT1370715	Bilateral temporomandibular joint pain dysfunction syndrome
^ESCT1370716	Dysfunction syndrome pain of both temporomandibular joints
