^ESCT1170559	Hyperthyroidism in pregnancy
^ESCT1177960	Tertiary hypothyroidism
^ESCT1182324	Borderline hypothyroidism
^ESCT1187826	Hypothyroidism in pregnancy, antepartum
^ESCT1190373	Goiter
^ESCT1191864	Neonatal goiter
^ESCT1198961	Neonatal goiter
^ESCT1201167	Short stature with delayed bone age due to thyroid hormone metabolism deficiency
^ESCT1202984	Familial glucocorticoid deficiency
^ESCT1270433	Endemic cretinism
^ESCT1276171	Substernal goiter
^ESCT1276212	Malignant tumor of thyroid gland
^ESCT1303120	Substernal goiter
^ESCT1303145	Malignant tumor of thyroid gland
^ESCT1349322	Genetic transient congenital hypothyroidism
^ESCT1350090	Steroid-responsive encephalopathy associated with autoimmune thyroiditis
^ESCT1350091	Hashimoto encephalitis
^ESCT1350092	SREAT - steroid-responsive encephalopathy associated with autoimmune thyroiditis
^ESCT1350364	X-linked central congenital hypothyroidism with late-onset testicular enlargement
^ESCT1350365	IGSF1 (immunoglobulin superfamily member 1) deficiency syndrome
^ESCT1350366	X-linked central congenital hypothyroidism with late-onset macroorchidism
^ESCT1351898	Primary differentiated carcinoma of thyroid gland
^ESCT1351899	DTC - differentiated thyroid cancer
^ESCT1351900	Differentiated thyroid cancer
^ESCT1352911	Neonatal iodine exposure
^ESCT1352912	Transient neonatal hypothyroidism due to neonatal iodine exposure
^ESCT1362794	Congenital hypothyroidism due to maternal intake of antithyroid drug
^ESCT1365514	Familial nonmedullary thyroid carcinoma
^ESCT1365515	FNMTC - familial nonmedullary thyroid carcinoma
^ESCT1365516	Familial non medullary thyroid carcinoma
^ESCT1368622	Hypothyroidism caused by amiodarone
^ESCT1389897	Primary hypothyroidism
^ESCT1405916	Compensated euthyroidism
^ESCT1406190	Thyrotoxicosis without goitre or other cause
^ESCT1407484	Ectopic thyroid tissue
^ESCT1408648	Hypothyroidism, dysmorphism, postaxial polydactyly, intellectual disability syndrome
^ESCT1419794	Euthyroid goitre
^ESCTAC323284	Achalasia-addisonian syndrome
^ESCTAC475791	Acute non-suppurative thyroiditis
^ESCTAC510850	Acute viral thyroiditis
^ESCTAC510883	Acquired thyroid atrophy
^ESCTAC783842	Acquired central hypothyroidism
^ESCTAD320086	Adult myxoedema
^ESCTAD320087	Adult myxedema
^ESCTAD349047	Adenomatous goiter
^ESCTAD349050	Adenomatous thyroid goitre
^ESCTAD349051	Adenomatous thyroid goiter
^ESCTAL323285	Allgrove syndrome
^ESCTAL323287	Alacrimia-achalasia-addisonianism
^ESCTAL755808	Allan-Herndon-Dudley syndrome
^ESCTAL755810	Allan-Herndon syndrome
^ESCTAM350847	Amiodarone-induced thyrotoxicosis
^ESCTAN535480	Anaplastic thyroid carcinoma
^ESCTAP401284	Aplasia of thyroid with myxedema
^ESCTAP401286	Aplasia of thyroid with myxoedema
^ESCTAP510810	Apathetic thyrotoxicosis
^ESCTAT340708	Athyrotic hypothyroidism sequence
^ESCTAT386127	Atrophic thyroiditis
^ESCTAT510881	Atrophy of thyroid - acquired
^ESCTAT621979	Atypical subacute thyroiditis
^ESCTAT783051	Athyroidal hypothyroidism with spiky hair and cleft palate syndrome
^ESCTAU283983	Autosomal dominant variant form of albumin
^ESCTAU284976	Autoimmune lymphocytic chronic thyroiditis
^ESCTAU357628	Autosomal dominant excess of transthyretin
^ESCTAU357629	Autosomal dominant excess of thyroxine-binding prealbumin
^ESCTAU358849	Autoimmune thyroiditis
^ESCTAU510804	Autoimmune thyrotoxicosis
^ESCTAU510808	Autonomous thyroid function
^ESCTAU510809	Autonomous thyroid function - suppressed TSH with normal T4 and T3
^ESCTAU510835	Autoimmune hypothyroidism
^ESCTAU510836	Autoimmune myxedema
^ESCTAU802130	Autonomously functioning thyroid goitre
^ESCTAU802131	Autonomously functioning thyroid goiter
^ESCTBA619645	Basedow disease
^ESCTBA783050	Bamforth Lazarus syndrome
^ESCTBE400368	Benign tumour of thyroid gland
^ESCTBE400369	Benign tumor of thyroid gland
^ESCTBL751988	Blepharophimosis-mental retardation syndrome, Say-Barber-Biesecker-Young-Simpson type
^ESCTBL751990	Blepharophimosis-intellectual deficit syndrome, Say-Barber/Biesecker/Young-Simpson type
^ESCTBO510807	Borderline thyrotoxicosis
^ESCTCA400894	Carcinoma in situ of thyroid gland
^ESCTCA400896	Cancer in situ of thyroid
^ESCTCA404128	Cancer metastatic to thyroid
^ESCTCA700267	Cancer of thyroid, Hurthle cell
^ESCTCA730670	Calcifying cyst of thyroid
^ESCTCA735158	Carcinoma of thyroid
^ESCTCC510873	C-cell hyperplasia of thyroid
^ESCTCE292753	Central hypothyroidism
^ESCTCE342301	Cervical thyroid remnant
^ESCTCH265106	Chronic suppurative thyroiditis
^ESCTCH387255	Chronic thyroiditis, fibrous variant
^ESCTCH396994	Chronic nonsuppurative thyroiditis
^ESCTCH764435	Chronic fibrous thyroiditis
^ESCTCO287563	Congenital thyroid hormone coupling defect
^ESCTCO302268	Congenital anomaly of the thyroid gland
^ESCTCO302269	Congenital malformation of thyroid gland
^ESCTCO331577	Congenital unresponsiveness to thyrotropin
^ESCTCO349175	Colloid goiter
^ESCTCO354875	Congenital myxedema
^ESCTCO354876	Congenital myxoedema
^ESCTCO401283	Congenital absence of thyroid gland
^ESCTCO401285	Congenital thyroid aplasia
^ESCTCO401922	Congenital malposition of the thyroid gland
^ESCTCO401923	Congenital malpositioned thyroid gland
^ESCTCO401924	Congenital thyroid dystopia
^ESCTCO435564	Complex thyroid endocrine disorder
^ESCTCO488567	Congenital hypothyroidism with ectopic thyroid
^ESCTCO490435	Congenital iodine deficiency syndrome
^ESCTCO490436	Congenital goitre
^ESCTCO490437	Congenital goiter
^ESCTCO490439	Congenital hypothyroidism not due to iodine deficiency
^ESCTCO510830	Congenital hypothyroidism without goiter
^ESCTCO510831	Congenital thyroid hypoplasia
^ESCTCO510832	Congenital atrophy of thyroid
^ESCTCO510893	Congenital iodine deficiency syndrome - mixed type
^ESCTCO510895	Congenital iodine deficiency syndrome - neurological type
^ESCTCO545682	Contusion of thyroid gland
^ESCTCO561408	Congenital hypothyroidism with diffuse goiter
^ESCTCO773695	Congenital absence of half of thyroid
^ESCTCO773696	Congenital hemiagenesis of thyroid
^ESCTCO775962	Congenital hypothyroidism due to transplacental passage of maternal thyroid stimulating hormone binding inhibitory antibody
^ESCTCO775963	Congenital hypothyroidism due to transplacental passage of maternal TSH-binding inhibitory antibody
^ESCTCO777617	Congenital hypothyroidism due to absence of thyroid gland
^ESCTCO783840	Congenital central hypothyroidism
^ESCTCO783841	Congenital hypothyroidism due to iodine deficiency
^ESCTCO786930	Congenital central hypothyroidism due to thyrotropin-releasing hormone receptor deficiency
^ESCTCR489634	Cretin dwarf
^ESCTCU795364	Cutler Bass Romshe syndrome
^ESCTDA784375	Daneman Davy Mancer syndrome
^ESCTDE278374	Deiodinase deficiency
^ESCTDE365392	Decrease thyroid hormone production associated with illness
^ESCTDE383142	Defective iodide peroxidase activity
^ESCTDI510796	Diffuse goitre
^ESCTDI510797	Diffuse goiter
^ESCTDI545684	Disruption of thyroid gland
^ESCTDI550005	Diffuse toxic goitre
^ESCTDI550009	Diffuse toxic goiter
^ESCTDI764233	Diffuse sclerosing papillary thyroid carcinoma
^ESCTDI768954	Diffuse hyperplastic goitre
^ESCTDI768955	Diffuse hyperplastic goiter
^ESCTDI811880	Diffuse thyroid goitre without thyrotoxicosis
^ESCTDI811881	Diffuse thyroid goiter without thyrotoxicosis
^ESCTDR510855	Drug-induced thyroiditis
^ESCTDR510856	Drug induced thyroiditis
^ESCTDR510863	Drug interference with thyroid-binding globulin
^ESCTDR811866	Drug-induced hypothyroidism
^ESCTDY264162	Dyshormonogenetic goitre AND iodide leak
^ESCTDY264163	Dyshormonogenetic goiter AND iodide leak
^ESCTDY475794	Dyshormonogenic goiter
^ESCTDY510868	Dysprealbuminaemic euthyroidal hyperthyroxinaemia
^ESCTDY510869	Dysprealbuminemic euthyroidal hyperthyroxinemia
^ESCTEC357268	Echinococcus granulosus thyroid gland infection
^ESCTEN255811	Enlargement of thyroid
^ESCTEN342268	Endemic goitre
^ESCTEN342269	Endemic goiter
^ESCTEN372039	Endemic cretinism - hypothyroid
^ESCTEN510894	Endemic cretinism - mixed type
^ESCTEN510896	Endemic cretinism - neurological type
^ESCTEN723204	Endemic congenital iodine deficiency syndrome of myxoedematous type
^ESCTEN723205	Endemic cretinism - myxedematous type
^ESCTEN723206	Endemic cretinism - myxoedematous type
^ESCTEN723207	Endemic congenital iodine deficiency syndrome of myxedematous type
^ESCTEU510847	Euthyroid with thyroid antibodies
^ESCTEU510870	Euthyroid hypothyroxinaemia
^ESCTEU510871	Euthyroid hypothyroxinemia
^ESCTEU510872	Euthyroid hyperthyroxinamia
^ESCTEU801568	Euthyroid thyroiditis
^ESCTEX619642	Exophthalmic goiter
^ESCTEX619643	Exophthalmic goitre
^ESCTFA257919	Factitious hyperthyroidism
^ESCTFA257920	Factitious hyperthyroidism from ingestion of excessive thyroid material
^ESCTFA510866	Familial dysalbuminemic hyperthyroxinemia
^ESCTFA510874	Familial dyshormonogenetic goitre
^ESCTFA510875	Familial dyshormonogenetic goiter
^ESCTFA757378	Familial gestational hyperthyroidism
^ESCTFA775021	Familial papillary thyroid carcinoma with renal papillary neoplasia syndrome
^ESCTFA775133	Familial non-autoimmune autosomal dominant hyperthyroidism
^ESCTFA775134	Familial hyperthyroidism due to mutation in thyroid stimulating hormone receptor
^ESCTFA775135	Familial non-immune hyperthyroidism
^ESCTFA776887	Familial thyroid dyshormonogenesis
^ESCTFA783844	Familial hyperthyroidism
^ESCTFE490440	Fetal iodine deficiency syndrome
^ESCTFI387253	Fibrous autoimmune thyroiditis
^ESCTFO393185	Focal thyroiditis
^ESCTFO490442	Foetal iodine deficiency syndrome
^ESCTFO535473	Follicular thyroid carcinoma
^ESCTFO535479	Follicular variant of papillary thyroid carcinoma
^ESCTFO734489	Follicular neoplasm of thyroid
^ESCTFO734566	Follicular adenoma of ectopic thyroid tissue
^ESCTFR545683	Fragmentation of thyroid gland
^ESCTFT535474	FTC - Follicular thyroid carcinoma
^ESCTGD278375	GDTH IV
^ESCTGD285945	GDTH I
^ESCTGD287564	GDTH III
^ESCTGD335491	GDTH IIA
^ESCTGD352644	GDTH V
^ESCTGD364407	GDTH IIB
^ESCTGE278373	Genetic defect in thyroid hormonogenesis IV
^ESCTGE285944	Genetic defect in thyroid hormonogenesis I
^ESCTGE287566	Genetic defect in thyroid hormonogenesis III
^ESCTGE335492	Genetic defect in thyroid hormonogenesis II A
^ESCTGE352643	Genetic defect in thyroid hormonogenesis V
^ESCTGE364406	Genetic defect in thyroid hormonogenesis II B
^ESCTGE510812	Gestational thyrotoxicosis
^ESCTGE510889	Generalised thyroid hormone resistance
^ESCTGE510890	Generalized thyroid hormone resistance
^ESCTGE510891	General resistance to thyrotropin
^ESCTGI708254	Giant cell thyroiditis
^ESCTGL323283	Glucocorticoid deficiency with achalasia
^ESCTGO364405	Goiter-deafness syndrome
^ESCTGO364408	Goitre-deafness syndrome
^ESCTGO803335	Goitre due to thyroiditis
^ESCTGO803336	Goiter due to thyroiditis
^ESCTGR250633	Graves' disease with pretibial myxoedema AND with thyrotoxic crisis
^ESCTGR250634	Graves' disease with pretibial myxedema AND with thyrotoxic crisis
^ESCTGR250635	Graves' disease with pretibial myxedema AND with thyrotoxic storm
^ESCTGR250636	Graves' disease with pretibial myxoedema AND with thyrotoxic storm
^ESCTGR274532	Graves' disease with acropachy
^ESCTGR291853	Graves' disease with acropachy AND with thyrotoxic crisis
^ESCTGR291854	Graves' disease with acropachy AND with thyrotoxic storm
^ESCTGR347792	Graves' disease with thyrotoxic crisis
^ESCTGR347793	Graves' disease with thyrotoxic storm
^ESCTGR347879	Graves' disease with pretibial myxedema
^ESCTGR347880	Graves' disease with pretibial myxoedema
^ESCTGR511288	Graves' dermopathy
^ESCTGR619646	Graves disease
^ESCTGR708251	Granulomatous thyroiditis
^ESCTGR804305	Graves' disease in remission
^ESCTGU386129	Gull disease
^ESCTHA254699	Haemorrhage of thyroid
^ESCTHA284975	Hashimoto thyroiditis
^ESCTHA284983	Hashimoto's thyroiditis
^ESCTHA294176	Hashitoxicosis
^ESCTHA387256	Hashimoto thyroiditis, fibrous variant
^ESCTHA510805	Hashitoxicosis - transient
^ESCTHC510813	HCG-induced thyrotoxicosis
^ESCTHE254700	Hemorrhage of thyroid
^ESCTHO774581	Hoffman syndrome
^ESCTHU281132	Hurthle cell metaplasia of thyroid gland
^ESCTHU510814	Human chorionic gonadotrophin (HCG)-induced thyrotoxicosis
^ESCTHU510815	Human chorionic gonadotropin (HCG)-induced thyrotoxicosis
^ESCTHU510816	Human chorionic gonadotrophin-induced thyrotoxicosis
^ESCTHU700266	Hurthle cell carcinoma of thyroid
^ESCTHY250724	Hypersecretion of calcitonin
^ESCTHY250725	Hypersecretion of thyrocalcitonin
^ESCTHY259261	Hyperthyroidism secondary to potassium iodide
^ESCTHY259262	Hyperthyroidism caused by potassium iodide
^ESCTHY273433	Hypothyroidism following external radiotherapy
^ESCTHY278372	Hypothyroidism due to iodotyrosine deiodinase defect
^ESCTHY278378	Hypothyroidism due to deiodase defect
^ESCTHY285941	Hypothyroidism due to iodide concentration defect
^ESCTHY285942	Hypothyroidism due to iodide transport defect
^ESCTHY287567	Hypothyroidism due to coupling defect
^ESCTHY289949	Hyperthyroidism due to struma ovarii
^ESCTHY293335	Hypothyroidism after surgery
^ESCTHY294175	Hyperthyroidism with Hashimoto disease
^ESCTHY298672	Hypothyroidism due to infiltrative disease
^ESCTHY310308	Hypothalamic hypothyroidism
^ESCTHY310309	Hypothyroidism due to TRH deficiency
^ESCTHY313464	Hypothyroidism due to fibrous invasive thyroiditis
^ESCTHY313465	Hypothyroidism due to Riedel's thyroiditis
^ESCTHY315264	Hypothyroidism following radioiodine therapy
^ESCTHY315266	Hypothyroidism, postradioiodine therapy
^ESCTHY315357	Hyperthyroidism due to hydatidiform mole with thyrotoxic crisis
^ESCTHY315358	Hyperthyroidism due to hydatidiform mole with thyrotoxic storm
^ESCTHY315917	Hypothyroid
^ESCTHY318972	Hypothyroidism due to cystinosis
^ESCTHY322157	Hyperthyroidism due to molar thyrotropin
^ESCTHY322158	Hyperthyroidism due to hydatidiform mole
^ESCTHY330657	Hypothyroidism due to food stuff
^ESCTHY330658	Hypothyroidism caused by food stuff
^ESCTHY331576	Hypothyroidism due to thyroid insensitivity to TSH
^ESCTHY335488	Hypothyroidism due to iodide organification defect I
^ESCTHY340709	Hypothyroidism sequence
^ESCTHY341057	Hypothyroidism due to defect in thyroid hormone synthesis
^ESCTHY341058	Hypothyroidism due to defective thyroid hormonogenesis
^ESCTHY348659	Hypothyroidism due to amyloidosis
^ESCTHY349048	Hyperplastic goiter
^ESCTHY349049	Hyperplastic goitre
^ESCTHY350846	Hyperthyroidism secondary to amiodarone
^ESCTHY350848	Hyperthyroidism caused by amiodarone
^ESCTHY352619	Hypothyroidism due to systemic sclerosis
^ESCTHY352620	Hypothyroidism due to scleroderma
^ESCTHY352642	Hypothyroidism due to thyroglobulin biosynthetic defect
^ESCTHY352645	Hypothyroidism due to thyroglobulin synthesis defect
^ESCTHY360134	Hyperthyroidism secondary to radio contrast dye
^ESCTHY360135	Hyperthyroidism caused by radio contrast dye
^ESCTHY364191	Hypothyroidism due to iodide excess
^ESCTHY364192	Hypothyroidism caused by iodide excess
^ESCTHY364403	Hypothyroidism with sensorineural deafness
^ESCTHY377813	Hypothyroidism due to sarcoidosis
^ESCTHY384371	Hypothyrotropic hypothyroidism
