A1...	Tuberculosis
A10..	Primary tuberculous infection
A100.	Primary tuberculous complex
A101.	Tuberculous pleurisy in primary progressive tuberculosis
A10y.	Other primary progressive tuberculosis
A10z.	Primary tuberculous infection NOS
A11..	Pulmonary tuberculosis
A110.	Infiltrative lung tuberculosis
A111.	Nodular lung tuberculosis
A113.	Tuberculosis of bronchus
A115.	Tuberculous bronchiectasis
A116.	Tuberculous pneumonia
A117.	Tuberculous pneumothorax
A11y.	Other specified pulmonary tuberculosis
A11z.	Pulmonary tuberculosis NOS
A12..	Other respiratory tuberculosis
A120.	Tuberculosis of pleura
A1201	Tuberculous empyema (& pleural)
A1202	Tuberculous hydrothorax
A120z	Tuberculous pleurisy NOS
A121.	Tuberculosis of intrathoracic lymph nodes
A1210	Tuberculosis of hilar lymph nodes
A1211	Tuberculosis of mediastinal lymph nodes
A1212	Tuberculosis of tracheobronchial lymph nodes
A121z	Tuberculosis of intrathoracic lymph nodes NOS
A122.	Isolated tracheal or bronchial tuberculosis
A1220	Isolated tracheal tuberculosis
A1221	Isolated bronchial tuberculosis
A122z	Isolated tracheal or bronchial tuberculosis NOS
A123.	Laryngeal tuberculosis
A124.	Respiratory tuberculosis, bacteriologically and histologically confirmed
A1240	Tuberculosis of lung, confirmed by sputum microscopy with or without culture
A1241	Tuberculosis of lung, confirmed by culture only
A1242	Tuberculosis of lung, confirmed histologically
A1243	Tuberculosis of lung, confirmed by unspecified means
A1244	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
A1245	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
A1246	Tuberculous pleurisy, confirmed bacteriologically and histologically
A1247	Primary respiratory tuberculosis, confirmed bacteriologically and histologically
A125.	Respiratory tuberculosis, not confirmed bacteriologically or histologically
A1250	Tuberculosis of lung, bacteriologically and histologically negative
A1251	Tuberculosis of lung, bacteriological and histological examination not done
A1252	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A12y.	Other specified respiratory tuberculosis
A12y0	Tuberculosis of mediastinum
A12y1	Tuberculosis of nasopharynx
A12y2	Tuberculosis of nasal septum
A12y3	Tuberculosis of nasal sinus
A12yz	Other specified respiratory tuberculosis NOS
A13..	Tuberculosis of meninges and central nervous system
A13y.	Other specified tuberculosis of central nervous system
A13z.	Tuberculosis of central nervous system NOS
A14..	Tuberculosis of intestines, peritoneum and mesenteric glands
A14y.	Other gastrointestinal tract tuberculosis
A14y5	Tuberculosis of retroperitoneal lymph nodes
A14yz	Other gastrointestinal tract tuberculosis NOS
A14z.	Tuberculosis of gastrointestinal tract NOS
A15y.	Tuberculosis of other specified joint
A15z.	Tuberculosis of bones or joints NOS
A16..	Urogenital tuberculosis
A163.	Tuberculosis of other urinary organs
A165.	Tuberculosis of other male genital organs
A165z	Tuberculosis of other male genital organs NOS
A166.	Tuberculous oophoritis or salpingitis
A167.	Tuberculosis of other female genital organs
A167z	Tuberculosis of other female genital organs NOS
A16z.	Genitourinary tuberculosis NOS
A17..	Tuberculosis of other organs
A1700	Lupus vulgaris
A1703	Tuberculosis - lupus NOS
A1706	Lichen scrofulosorum
A1707	Tuberculosis papulonecrotica
A1708	Tuberculosis verrucosa cutis
A170z	Tuberculosis of skin and subcutaneous tissue NOS
A171.	Tuberculous erythema nodosum
A171z	Erythema nodosum with tuberculosis NOS
A1720	Tuberculous cervical lymphadenitis
A1721	Scrofulous tuberculous abscess
A172z	Tuberculosis of peripheral lymph nodes NOS
A173.	Ocular tuberculosis
A173z	Tuberculosis of eye NOS
A174.	Tuberculosis of ear
A17y.	Tuberculosis of other specified organs
A17yz	Tuberculosis of other specified organs NOS
A17z.	Tuberculosis of other organs NOS
A18..	Miliary tuberculosis
A180.	Acute miliary tuberculosis
A1800	Acute miliary tuberculosis of a single specified site
A1801	Acute miliary tuberculosis of multiple sites
A18y.	Other specified miliary tuberculosis
A18z.	Miliary tuberculosis NOS
A1y..	Other specified tuberculosis
A1z..	Tuberculosis NOS
Ayu10	[X]Other respiratory tuberculosis, confirmed bacteriologically and histologically
Ayu11	[X]Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically
Ayu12	[X]Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
Ayu13	[X]Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
Ayu14	[X]Other tuberculosis of nervous system
Ayu15	[X]Tuberculosis of nervous system, unspecified
Ayu16	[X]Tuberculosis of other specified organs
Ayu17	[X]Acute miliary tuberculosis, unspecified
Ayu18	[X]Other miliary tuberculosis
Ayu19	[X]Miliary tuberculosis, unspecified
G5320	Concato's disease
H510.	Pleurisy without effusion or active tuberculosis
H510z	Pleurisy without effusion or active tuberculosis NOS
Jyu93	[X]Tuberculous disorders of intestine and mesentery
X70Gw	Primary progressive tuberculosis
X70H0	Tuberculosis of gastrointestinal tract
X70H8	Tuberculosis of male genital organs
X70H9	Tuberculosis of female genital organs
Xa1p4	Urinary tuberculosis
Xa97Y	Tuberculosis of trachea
XE0Qr	Tuberculosis of bones and joints
XE0T4	Tuberculosis of kidney with other genitourinary organ
XE2aj	Tuberculosis of peripheral lymph nodes
XE2uC	Tuberculosis of skin and subcutaneous tissue
XE2wL	Tuberculous pleural empyema
XSCD2	Tuberculosis of central nervous system
A112.	Tuberculosis of lung with cavitation
A114.	Tuberculous fibrosis of lung
A1300	Tuberculosis of cerebral meninges
A1301	Tuberculosis of spinal meninges
A1302	Tuberculous leptomeningitis
A1303	Tuberculous meningoencephalitis
A130z	Tuberculous meningitis NOS
A131.	Tuberculoma of meninges
A132.	Tuberculoma of brain
A140.	Tuberculous peritonitis
A14y0	Tuberculosis of anus
A14y1	Tuberculosis of large intestine
A14y3	Tuberculosis of mesenteric lymph nodes
A14y4	Tuberculosis of rectum
A151.	Tuberculosis of hip joint
A152.	Tuberculosis of knee joint
A154.	Tuberculous mastoiditis
A15x.	Tuberculosis of other specified bones
A160.	Renal tuberculosis
A1600	Tuberculous nephropathy
A1601	Tuberculous pyelitis
A1602	Tuberculous pyelonephritis
A160z	Tuberculosis of kidney NOS
A162.	Tuberculosis of ureter
A164.	Tuberculous epididymitis
A1651	Tuberculosis of seminal vesicle
A1652	Tuberculosis of testis
A1660	Tuberculous oophoritis
A1661	Tuberculous salpingitis
A166z	Tuberculous oophoritis or salpingitis NOS
A1670	Tuberculous cervicitis
A1671	Tuberculous endometritis
A1722	Tuberculous adenitis (& peripheral nodes)
A1730	Tuberculous chorioretinitis
A1731	Tuberculous episcleritis
A1732	Tuberculous interstitial keratitis
A1733	Tuberculous chronic iridocyclitis
A1734	Tuberculous keratoconjunctivitis
A175.	Tuberculosis of thyroid gland
A176.	Tuberculous Addison's disease
A177.	Tuberculosis of spleen
A178.	Tuberculosis of oesophagus
A17y0	Tuberculosis of endocardium
A17y1	Tuberculosis of myocardium
A17y2	Tuberculosis of pericardium
A17y3	Tuberculosis of stomach
A17y4	Tuberculosis of liver
F004.	Tuberculous meningitis
F0333	Tuberculous encephalitis
F4A55	Keratitis due to tuberculosis
G5003	Acute tuberculous pericarditis
G5206	Acute myocarditis - tuberculous
K1548	Tuberculous cystitis
K2143	Tuberculous prostatitis
K43..	Female tuberculous pelvic inflammatory disease
L173.	Maternal tuberculosis during pregnancy, childbirth and the puerperium
L1730	Maternal tuberculosis, unspecified whether during pregnancy or the puerperium
L173z	Maternal tuberculosis during pregnancy, childbirth or the puerperium NOS
N22yD	Tuberculous infection of tendon sheath
N3040	Tuberculosis of cervical spine
N3041	Tuberculosis of thoracic spine
N3042	Tuberculosis of lumbar spine
N305.	Tuberculosis of limb bones
N3050	Tuberculosis of unspecified limb bone
N3051	Tuberculosis of the upper arm bone
N3052	Tuberculosis of the forearm bone
N3054	Tuberculosis of the lower leg bone
N3055	Tuberculosis of other limb bones
N3056	Tuberculosis of multiple limb bones
N305z	Tuberculosis of limb bones NOS
N306.	Tuberculosis of other bones
N3060	Tuberculosis of bone, site unspecified
N3061	Tuberculosis of the bones of the shoulder region
N3062	Tuberculosis of the bones of the hand
N3063	Tuberculosis of the bones of the ankle and foot
N3064	Tuberculosis of the bones of other sites
N3065	Tuberculosis of the bones of multiple sites
N306z	Tuberculosis of bone NOS
Q4024	Congenital tuberculosis
X00lR	Lupus vulgaris of nose
X101K	Tuberculous chylothorax
X103w	Silicotuberculosis
X104j	Tuberculous bronchopleural fistula
X206m	Tuberculous mesenteric adenitis
X20RQ	Oral tuberculosis
X302J	Tuberculous duodenitis
X30AC	Tuberculous ascites
X30N4	Tuberculous stricture of ureter
X30P3	Tuberculous urethritis
X400e	Tuberculous epididymo-orchitis
X40Fa	Tuberculosis of breast
X40Mg	Tuberculosis of adrenal glands
X70Gx	Chronic miliary tuberculosis
X70Gy	Tuberculosis of lymph node
X70H4	Osteitis cystica tuberculosa multiplex
X70HA	Tuberculous chancre
X70HB	Acute tuberculous ulcer
X70HC	Acute miliary cutaneous tuberculosis
X70HD	Cutaneous tuberculous gumma
X70HI	Tuberculous polyserositis
XE0yI	Tuberculosis in pregnancy
XSCGD	Disseminated tuberculosis
Xa1p6	Genital tuberculosis
Xa86R	Tuberculosis of colon
Xa8Dm	Tuberculosis of heart
Xa9Cj	Tuberculosis of spine
XaEVl	Tuberculous uveitis
XaKB5	Antibiotic resistant tuberculosis
XaKB6	Streptomycin resistant tuberculosis
XaKB7	Rifampicin resistant tuberculosis
XaKB8	Pyrazinamide resistant tuberculosis
XaKB9	Isoniazid resistant tuberculosis
XaKBA	Ethionamide resistant tuberculosis
XaKBB	Ethambutol resistant tuberculosis
XaKBC	Ciprofloxacin resistant tuberculosis
Xac8c	Multidrug resistant tuberculosis
Xac8d	Extensively drug resistant tuberculosis
A15..	Tuberculosis of bones and joints
A170.	Tuberculosis of skin and subcutaneous tissue
A1702	Tuberculosis cutis
F0413	Tuberculoma of spinal cord
N018.	Tuberculosis of joint
X70H3	Tuberculosis of bone
