A10..00	Primary tuberculous infection
A100.00	Primary tuberculous complex
A101.00	Tuberculous pleurisy in primary progressive tuberculosis
A10y.00	Other primary progressive tuberculosis
A10z.00	Primary tuberculous infection NOS
A11..00	Pulmonary tuberculosis
A11..00	Lung tuberculosis
A110.00	Infiltrative lung tuberculosis
A111.00	Nodular lung tuberculosis
A113.00	Tuberculosis of bronchus
A115.00	Tuberculous bronchiectasis
A116.00	Tuberculous pneumonia
A117.00	Tuberculous pneumothorax
A11y.00	Other specified pulmonary tuberculosis
A11z.00	Pulmonary tuberculosis NOS
A12..00	Other respiratory tuberculosis
A120.00	Tuberculous pleurisy
A120100	Tuberculous empyema
A120200	Tuberculous hydrothorax
A120z00	Tuberculous pleurisy NOS
A121.00	Tuberculosis of intrathoracic lymph nodes
A121000	Tuberculosis of hilar lymph nodes
A121100	Tuberculosis of mediastinal lymph nodes
A121200	Tuberculosis of tracheobronchial lymph nodes
A121z00	Tuberculosis of intrathoracic lymph nodes NOS
A122.00	Isolated tracheal or bronchial tuberculosis
A122000	Isolated tracheal tuberculosis
A122100	Isolated bronchial tuberculosis
A122z00	Isolated tracheal or bronchial tuberculosis NOS
A123.00	Tuberculous laryngitis
A124.00	Respiratory tuberculosis, bacteriologically and histologically confirmed
A124000	Tuberculosis of lung, confirmed by sputum microscopy with or without culture
A124100	Tuberculosis of lung, confirmed by culture only
A124200	Tuberculosis of lung, confirmed histologically
A124300	Tuberculosis of lung, confirmed by unspecified means
A124400	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
A124500	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
A124600	Tuberculous pleurisy, confirmed bacteriologically and histologically
A124700	Primary respiratory tuberculosis, confirmed bacteriologically and histologically
A125.00	Respiratory tuberculosis, not confirmed bacteriologically or histologically
A125000	Tuberculosis of lung, bacteriologically and histologically negative
A125100	Tuberculosis of lung, bacteriological and histological examination not done
A125200	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A12y.00	Other specified respiratory tuberculosis
A12y000	Tuberculosis of mediastinum
A12y100	Tuberculosis of nasopharynx
A12y200	Tuberculosis of nasal septum
A12y300	Tuberculosis of nasal sinus
A12yz00	Other specified respiratory tuberculosis NOS
A14..00	Tuberculosis of intestines, peritoneum and mesenteric glands
A14y.00	Other gastrointestinal tract tuberculosis
A14y500	Tuberculosis of retroperitoneal lymph nodes
A14yz00	Other gastrointestinal tract tuberculosis NOS
A15..00	Tuberculosis of bones and joints
A15..00	Tuberculous osteomylelytis
A15..00	Tuberculous arthritis
A15..00	Tuberculous synovitis
A15z.00	Tuberculosis of bones or joints NOS
A16..00	Tuberculosis of genitourinary system
A163.00	Tuberculosis of other urinary organs
A165.00	Tuberculosis of other male genital organs
A165z00	Tuberculosis of other male genital organs NOS
A167.00	Tuberculosis of other female genital organs
A167z00	Tuberculosis of other female genital organs NOS
A16z.00	Genitourinary tuberculosis NOS
A17..00	Tuberculosis of other organs
A170200	Tuberculosis - scrofuloderma
A170300	Tuberculosis - lupus NOS
A170600	Tuberculosis lichenoides
A170700	Tuberculosis papulonecrotica
A170800	Tuberculosis verrucosa cutis
A170z00	Tuberculosis of skin and subcutaneous tissue NOS
A171.00	Tuberculosis with erythema nodosum hypersensitivity reaction
A171z00	Erythema nodosum with tuberculosis NOS
A172000	Tuberculous - cervical lymphadenitis
A172000	Scrofula - tuberculous cervical lymph nodes
A172100	Scrofulous tuberculous abscess
A172z00	Tuberculosis of peripheral lymph nodes NOS
A173.00	Tuberculosis of eye
A173z00	Tuberculosis of eye NOS
A174.00	Tuberculosis of ear
A17y.00	Tuberculosis of other specified organs
A17yz00	Tuberculosis of other specified organs NOS
A17z.00	Tuberculosis of other organs NOS
A18..00	Miliary tuberculosis
A180.00	Acute miliary tuberculosis
A180000	Acute miliary tuberculosis of a single specified site
A180100	Acute miliary tuberculosis of multiple sites
A18y.00	Other specified miliary tuberculosis
A18z.00	Miliary tuberculosis NOS
A1y..00	Other specified tuberculosis
A1z..00	Tuberculosis NOS
Ayu1000	[X]Other respiratory tuberculosis, confirmed bacteriologically and histologically
Ayu1100	[X]Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically
Ayu1200	[X]Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
Ayu1300	[X]Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
Ayu1400	[X]Other tuberculosis of nervous system
Ayu1500	[X]Tuberculosis of nervous system, unspecified
