^ESCT1170449	Pyelonephritis in pregnancy
^ESCT1171905	Uncomplicated urinary tract infection
^ESCT1171906	Uncomplicated UTI (urinary tract infection)
^ESCT1181250	Candida cystitis
^ESCT1181251	Cystitis caused by Candida
^ESCT1222055	Hydatid cyst of kidney caused by Echinococcus
^ESCT1245125	Suspected UTI
^ESCT1376745	Acute bacterial TIN (tubulointerstitial nephritis)
^ESCT1376860	Acute viral TIN (tubulointerstitial nephritis)
^ESCT1378170	Acute fungal TIN (tubulointerstitial nephritis)
^ESCT1379201	Urethritis due to reactive arthritis triad
^ESCT1391082	Gonorrhoea of penis
^ESCT1391083	Infection of urinary tract caused by Herpes simplex
^ESCT1391084	Herpes simplex infection of urinary tract
^ESCT1393744	Bladder disorder caused by Schistosoma
^ESCT1393745	Bladder disorder caused by Schistosoma japonicum
^ESCT1393815	Acute pyelonephritis caused by bacterium
^ESCT1393816	Acute bacterial pyelonephritis
^ESCT1406142	Non-venereal urethritis
^ESCT1406143	Nonvenereal urethritis
^ESCT1409594	Pseudomonas urinary tract infection
^ESCT1418287	Urinary tract infection caused by Streptococcus agalactiae
^ESCT1418288	Urinary tract infection caused by group B streptococcus
^ESCTAB729856	Abscess of urethral gland due to Neisseria gonorrhoeae
^ESCTAB729858	Abscess of urethral gland caused by Neisseria gonorrhoeae
^ESCTAC258088	Actinomycotic cystitis
^ESCTAC261840	Acute pyonephrosis with renal medullary necrosis
^ESCTAC276584	Acute tubulointerstitial nephritis associated with systemic infection
^ESCTAC285627	Acute bacterial tubulointerstitial nephritis
^ESCTAC285628	Acute bacterial T.I.N.
^ESCTAC294633	Acute viral tubulointerstitial nephritis
^ESCTAC294634	Acute viral T.I.N.
^ESCTAC309135	Acute PN - pyelonephritis
^ESCTAC309137	Acute kidney infection
^ESCTAC358930	Acute infectious tubulointerstitial nephritis
^ESCTAC388968	Acute pyonephrosis without renal medullary necrosis
^ESCTAC398199	Acute fungal tubulointerstitial nephritis
^ESCTAC398200	Acute fungal T.I.N.
^ESCTAC435550	Acute focal pyelonephritis
^ESCTAC509369	Acquired immune deficiency syndrome-related nephropathy
^ESCTAC509768	Acute culture positive cystitis
^ESCTAC596814	Acute infective cystitis
^ESCTAC713499	Acute upper urinary tract infection
^ESCTAC713501	Acute upper UTI (urinary tract infection)
^ESCTAC713502	Acute urinary tract infection
^ESCTAC713504	Acute UTI (urinary tract infection)
^ESCTAC714472	Acute lower urinary tract infection
^ESCTAI509370	AIDS - Acquired immune deficiency synd-related nephropathy
^ESCTAM263999	Amoebic cystitis
^ESCTAM264003	Amebic cystitis
^ESCTAP309136	APN - Acute pyelonephritis
^ESCTBA601306	Bacterial urinary infection
^ESCTBA601307	Bacterial UTI (urinary tract infection)
^ESCTBA702854	Bacterial cystitis
^ESCTBA710782	Bacterial urethritis
^ESCTBA801684	Bacterial nephritis
^ESCTBI337572	Bilharzial cystitis
^ESCTBI509642	Bilharzia of ureter
^ESCTBI509746	Bilharzial urethritis
^ESCTBI509748	Bilharzial urethral fistula
^ESCTBK771095	BK virus nephropathy
^ESCTBL289719	Bladder gonorrhea - acute
^ESCTBL312487	Bladder infection
^ESCTBL349072	Bladder schistosomiasis
^ESCTBL634857	Bladder catheter infection
^ESCTBL702855	Bladder infection due bacteria
^ESCTCA509643	Candida ureteritis
^ESCTCA509793	Candiduria
^ESCTCH478924	Chronic non-obstructive atrophic pyelonephritis
^ESCTCH509673	Chronic infective cystitis
^ESCTCH708331	Chronic lower urinary tract infection
^ESCTCH708332	Chronic lower UTI (urinary tract infection)
^ESCTCH846186	Chlamydial cystitis
^ESCTCM509631	CMV - Cytomegalovirus-induced glomerulonephritis
^ESCTCO588801	Coliform urinary tract infection
^ESCTCP352946	CPN - Chronic pyelonephritis
^ESCTCY258086	Cystitis with actinomycosis
^ESCTCY264000	Cystitis with amebiasis
^ESCTCY264001	Cystitis with amoebiasis
^ESCTCY264004	Cystitis in amebiasis
^ESCTCY315403	Cystitis due to Pseudomonas
^ESCTCY315405	Cystitis caused by Pseudomonas
^ESCTCY334485	Cystitis pneumatoides
^ESCTCY337571	Cystitis with bilharziasis
