h22..	Bleomycin
h221.	Bleomycin 15units injection (pdr for recon)
h222.	BLEO-KYOWA 15,000iu powder for solution for injection
h23..	Doxorubicin hydrochloride
h231.	Adriamycin 10mg injection
h232.	Adriamycin 50mg injection
h233.	Doxorubicin Rapid Dissolution 10mg injection (pdr for recon)
h234.	Doxorubicin Rapid Dissolution 50mg injection (pdr for recon)
h235.	Doxorubicin hydrochloride 10mg injection (pdr for recon)
h236.	Doxorubicin hydrochloride 50mg injection (pdr for recon)
h237.	Liposomal doxorubicin hydrochloride 20mg/10mL infusion concentrate
h238.	Caelyx 20mg/10mL infusion concentrate
h239.	Doxorubicin Solution 10mg/5mL Cytosafe injection vial
h23A.	Doxorubicin Solution 50mg/25mL Cytosafe injection vial
h23B.	Caelyx 50mg/25mL infusion concentrate
h23C.	Doxorubicin Solution 200mg/100mL Cytosafe injection vial
h23D.	MYOCET 50mg injection (pdr for recon)
h23w.	LIPOSOMAL DOXORUBICIN HYDROCHLORIDE 50mg injection (pdr for recon)
h23x.	Liposomal doxorubicin hydrochloride 50mg/25mL infusion concentrate
h23y.	Doxorubicin HCl 10mg solution for injection
h23z.	Doxorubicin HCl 50mg solution for injection
h42..	Vinblastine sulphate
h421.	Vinblastine 10mg injection
h422.	Velbe 10mg injection (pdr for recon)+diluent
h423.	Vinblastine sulphate 10mg injection (pdr for recon)+diluent
h424.	Vinblastine sulphate 10mg/10mL injection
h54..	DIC - Dacarbazine
h541.	DTIC-Dome 100mg injection (pdr for recon)
h542.	DTIC-Dome 200mg injection (pdr for recon)
h54y.	Dacarbazine 100mg injection (pdr for recon)
h54z.	Dacarbazine 200mg injection (pdr for recon)
x003C	Doxorubicin Solution 10mg/5mL injection
x003D	Doxorubicin Solution 50mg/25mL injection
x00DT	Doxorubicin hydrochloride 50mg/100mL bladder instillation
x00DU	Doxorubicin hydrochloride 50mg/50mL bladder instillation
x00NL	Bleomycin 60mg/30mL infusion
x00NM	Bleomycin 120mg/60mL infusion
x00No	Doxorubicin hydrochloride 150mg/75mL infusion
x00Np	Doxorubicin hydrochloride 300mg/150mL infusion
x00Nq	Doxorubicin hydrochloride 75mg/37.5mL infusion
x00Pu	Vinblastine sulphate 30mg/30mL infusion
x00Pv	Vinblastine sulphate 50mg/50mL infusion
x01Ae	Adriamycin
x01Aj	Vinblastine
x02IA	Doxorubicin hydrochloride 10mg/5mL injection
x02IB	Doxorubicin hydrochloride 50mg/25mL injection
x02uA	Velbe
x03k3	Caelyx
x03sQ	Doxorubicin Rapid Dissolution
x03sR	Doxorubicin Solution
x04AF	DTIC-Dome
x05MX	Bleomycin - chemical
x05MY	Bleomycin sulphate - chemical
x05Ms	Liposomal doxorubicin hydrochloride 50mg/25mL infusion concentrate (pdr for recon)+dil
x05Mt	Myocet 50mg/25mL infusion concentrate (pdr for recon)+dil
x05Mu	Myocet
x05YX	Doxorubicin hydrochloride 200mg/100mL injection
