^ESCT1164467	Donepezil hydrochloride monohydrate
^ESCT1178608	Product containing only memantine hydrochloride 5 mg/1 each oral tablet
^ESCT1178640	Product containing only donepezil hydrochloride 23 mg/1 each oral tablet
^ESCT1178693	Product containing only donepezil hydrochloride 10 mg/1 each oral tablet
^ESCT1178694	Product containing only rivastigmine 1.5 mg/1 each oral capsule
^ESCT1180475	Rivastigmine 3mg capsules (Mylan)
^ESCT1180476	Rivastigmine 3mg capsules (Mylan) 28 capsule 2 x 14 capsules
^ESCT1180477	Rivastigmine 3mg capsules (Mylan) 56 capsule 4 x 14 capsules
^ESCT1180478	Rivastigmine 1.5mg capsules (Mylan) 28 capsule 2 x 14 capsules
^ESCT1180908	Donepezil 5mg orodispersible tablets sugar free (Mylan)
^ESCT1180909	Donepezil 5mg orodispersible tablets sugar free (Mylan) 28 tablet
^ESCT1180910	Donepezil 10mg orodispersible tablets sugar free (Mylan) 28 tablet
^ESCT1181700	Product containing only rivastigmine 6 mg/1 each oral capsule
^ESCT1181701	Product containing only galantamine 4 mg/1 each oral tablet
^ESCT1181702	Product containing only galantamine 8 mg/1 each oral tablet
^ESCT1181998	Product containing only rivastigmine 4.5 mg/1 each oral capsule
^ESCT1184439	Rivastigmine 1.5mg capsules (Mylan)
^ESCT1184982	Memantine 20mg tablets (Mylan) 28 tablet
^ESCT1186986	Donepezil 10mg orodispersible tablets sugar free (Mylan)
^ESCT1187015	Memantine 20mg tablets (Mylan)
^ESCT1188046	Product containing only memantine hydrochloride 10 mg/1 each oral tablet
^ESCT1188124	Product containing only donepezil hydrochloride 5 mg/1 each oral tablet
^ESCT1188125	Product containing only rivastigmine 3 mg/1 each oral capsule
^ESCT1188126	Product containing only galantamine 12 mg/1 each oral tablet
^ESCT1189631	Rivastigmine 1.5mg capsules (Mylan) 56 capsule 4 x 14 capsules
^ESCT1194547	Galzemic 4mg/ml oral solution (Creo Pharma Ltd)
^ESCT1194548	Galzemic 4mg/ml oral solution (Creo Pharma Ltd) 100 ml
^ESCT1195813	Memantine 20mg tablets (Lupin Healthcare (UK) Ltd)
^ESCT1196255	Memantine 20mg tablets (Lupin Healthcare (UK) Ltd) 28 tablet 2 x 14 tablets
^ESCT1196483	Memantine 20mg tablets (Lupin Healthcare (UK) Ltd) 7 tablet
^ESCT1203790	Galantamine 8mg prolonged-release oral capsule
^ESCT1203828	Galantamine 24mg prolonged-release oral capsule
^ESCT1203865	Galantamine 16mg prolonged-release oral capsule
^ESCT1204508	Galantamine 4mg/mL conventional release oral solution
^ESCT1206361	Donepezil in oral dosage form
^ESCT1206362	Product containing donepezil in oral dosage form
^ESCT1207246	Galantamine in oral dosage form
^ESCT1207247	Product containing galantamine in oral dosage form
^ESCT1208611	Rivastigmine in transdermal dosage form
^ESCT1208612	Product containing rivastigmine in transdermal dosage form
^ESCT1216213	Memantine 20mg tablets (A A H Pharmaceuticals Ltd) 7 tablet
^ESCT1220875	Donepezil
^ESCT1220876	Donepezil product
^ESCT1224029	Product containing precisely donepezil hydrochloride 5 milligram/1 each conventional release oral tablet
^ESCT1224030	Product containing precisely donepezil hydrochloride 10 milligram/1 each conventional release oral tablet
^ESCT1224031	Rivastigmine
^ESCT1224032	Rivastigmine product
^ESCT1224033	Rivastigmine (as rivastigmine tartrate) 1.5 mg oral capsule
^ESCT1224034	Product containing precisely rivastigmine (as rivastigmine tartrate) 1.5 milligram/1 each conventional release oral capsule
^ESCT1224035	Product containing precisely rivastigmine (as rivastigmine tartrate) 3 milligram/1 each conventional release oral capsule
^ESCT1224036	Rivastigmine (as rivastigmine tartrate) 3 mg oral capsule
^ESCT1224037	Rivastigmine (as rivastigmine tartrate) 4.5 mg oral capsule
^ESCT1224038	Product containing precisely rivastigmine (as rivastigmine tartrate) 4.5 milligram/1 each conventional release oral capsule
^ESCT1224039	Product containing precisely rivastigmine (as rivastigmine tartrate) 6 milligram/1 each conventional release oral capsule
^ESCT1224040	Rivastigmine (as rivastigmine tartrate) 6 mg oral capsule
^ESCT1224041	Galantamine
^ESCT1224042	Galantamine product
^ESCT1224043	Product containing precisely galantamine (as galantamine hydrobromide) 4 milligram/1 each conventional release oral tablet
^ESCT1224044	Galantamine (as galantamine hydrobromide) 4 mg oral tablet
^ESCT1224045	Galantamine (as galantamine hydrobromide) 8 mg oral tablet
^ESCT1224046	Product containing precisely galantamine (as galantamine hydrobromide) 8 milligram/1 each conventional release oral tablet
^ESCT1224047	Galantamine (as galantamine hydrobromide) 12 mg oral tablet
^ESCT1224048	Product containing precisely galantamine (as galantamine hydrobromide) 12 milligram/1 each conventional release oral tablet
^ESCT1230300	Memantine
^ESCT1230301	Memantine product
^ESCT1230415	Product containing precisely memantine hydrochloride 10 milligram/1 each conventional release oral tablet
^ESCT1230552	Rivastigmine (as rivastigmine tartrate) 2 mg/mL oral solution
^ESCT1230553	Product containing precisely rivastigmine (as rivastigmine tartrate) 2 milligram/1 milliliter conventional release oral solution
^ESCT1230649	Product containing precisely memantine hydrochloride 5 milligram/1 each conventional release oral tablet
^ESCT1235432	Product containing precisely donepezil hydrochloride 23 milligram/1 each conventional release oral tablet
^ESCT1236801	Donepezil + memantine
^ESCT1236802	Product containing donepezil and memantine
^ESCT1236803	Donepezil and memantine product
^ESCT1255710	Memantine 20mg tablets (Bristol Laboratories Ltd)
^ESCT1255711	Memantine 20mg tablets (Bristol Laboratories Ltd) 28 tablet 2 x 14 tablets
^ESCT1259161	Reminyl 4mg/ml oral solution (Originalis B.V.)
^ESCT1259162	Reminyl 4mg/ml oral solution (Originalis B.V.) 100 ml
^ESCT1259499	Memantine 20mg tablets (Torrent Pharma (UK) Ltd)
^ESCT1259501	Memantine 20mg tablets (Torrent Pharma (UK) Ltd) 28 tablet
^ESCT1259884	Rivastigmine 1.5mg capsules (Torrent Pharma (UK) Ltd)
^ESCT1259885	Rivastigmine 1.5mg capsules (Torrent Pharma (UK) Ltd) 28 capsule
^ESCT1259886	Rivastigmine 3mg capsules (Torrent Pharma (UK) Ltd)
^ESCT1259887	Rivastigmine 3mg capsules (Torrent Pharma (UK) Ltd) 28 capsule
^ESCT1259904	Memantine 20mg tablets (Torrent Pharma (UK) Ltd) 7 tablet
^ESCT1263987	Donepezil 5mg orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd)
^ESCT1263988	Donepezil 5mg orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCT1263990	Donepezil 10mg orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd)
^ESCT1263991	Donepezil 10mg orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCT1265811	Memantine 20mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCT1265822	Memantine 20mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCT1267034	Reminyl 4mg/ml oral solution (CST Pharma Ltd)
^ESCT1267036	Reminyl 4mg/ml oral solution (CST Pharma Ltd) 100 ml
^ESCT1267824	Galantamine 20mg/5ml oral solution sugar free (Mawdsley-Brooks & Company Ltd)
^ESCT1267825	Galantamine 20mg/5ml oral solution sugar free (Mawdsley-Brooks & Company Ltd) 100 ml
^ESCT1271271	Galantamine 20mg/5ml oral solution sugar free (Thame Laboratories Ltd)
^ESCT1271272	Galantamine 20mg/5ml oral solution sugar free (Thame Laboratories Ltd) 100 ml
^ESCT1274938	Galantamine 20mg/5ml oral solution sugar free (CST Pharma Ltd)
^ESCT1274939	Galantamine 20mg/5ml oral solution sugar free (CST Pharma Ltd) 100 ml
^ESCT1279357	Memantine 20mg tablets (Dawa Ltd)
^ESCT1279358	Memantine 20mg tablets (Dawa Ltd) 28 tablet
^ESCT1375983	Galantamine 20mg/5ml oral solution sugar free (Medihealth (Northern) Ltd)
^ESCT1375984	Galantamine 20mg/5ml oral solution sugar free (Medihealth (Northern) Ltd) 100 ml
^ESCT1383732	Rivastigmine-containing product in oral dose form
^ESCT1384194	Memantine hydrochloride 7 mg prolonged-release oral capsule
^ESCT1384195	Memantine hydrochloride 14 mg prolonged-release oral capsule
^ESCT1384217	Memantine hydrochloride 21 mg prolonged-release oral capsule
^ESCT1384218	Memantine hydrochloride 28 mg prolonged-release oral capsule
^ESCT1385232	Donepezil- and memantine-containing product
^ESCT1385233	Donepezil- and memantine-containing product in oral dose form
^ESCT1385915	Galantamine (as galantamine hydrobromide) 4 mg/mL oral solution
^ESCT1386239	Donepezil-containing product in oral dose form
^ESCT1386664	Galantamine-containing product in oral dose form
^ESCT1387097	Rivastigmine-containing product in transdermal dose form
^ESCT1402202	Memantine 20mg tablets (Medihealth (Northern) Ltd)
^ESCT1402203	Memantine 20mg tablets (Medihealth (Northern) Ltd) 28 tablet
^ESCT1402226	Memantine 20mg tablets (Medihealth (Northern) Ltd) 7 tablet
^ESCT1403914	Rivastigmine 1.5mg capsules (Medihealth (Northern) Ltd)
^ESCT1403915	Rivastigmine 1.5mg capsules (Medihealth (Northern) Ltd) 28 capsule
^ESCT1403918	Rivastigmine 3mg capsules (Medihealth (Northern) Ltd)
^ESCT1403919	Rivastigmine 3mg capsules (Medihealth (Northern) Ltd) 28 capsule
^ESCT1404538	Rivastigmine 1.5mg capsules (Bristol Laboratories Ltd)
^ESCT1404539	Rivastigmine 1.5mg capsules (Bristol Laboratories Ltd) 28 capsule 2 x 14 capsules
^ESCT1404540	Rivastigmine 3mg capsules (Bristol Laboratories Ltd)
^ESCT1404541	Rivastigmine 3mg capsules (Bristol Laboratories Ltd) 28 capsule 2 x 14 capsules
^ESCT1404825	Galantamine 20mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
^ESCT1404826	Galantamine 20mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) 100 ml
^ESCT1422655	Memantine 20mg tablets (Zentiva Pharma UK Ltd)
^ESCT1422656	Memantine 20mg tablets (Zentiva Pharma UK Ltd) 28 tablet 2 x 14 tablets
^ESCT1426608	Reminyl 4mg/ml oral solution (Takeda UK Ltd)
^ESCT1426609	Reminyl 4mg/ml oral solution (Takeda UK Ltd) 100 ml
^ESCT1427948	Galzemic 4mg/ml oral solution (Zentiva Pharma UK Ltd)
