cj11.	Tobramycin 300mg/5mL nebuliser solution
cj12.	TOBI 300mg/5mL nebuliser solution
cj13.	BRAMITOB 300mg/4mL nebuliser solution
cj14.	TOBRAMYCIN 300mg/4mL nebuliser solution
cj15.	TOBI PODHALER 28mg inhalation powder capsules with device
cj16.	TOBRAMYCIN 28mg inhalation powder capsules with device
e112.	Crystapen 1megaunit injection (pdr for recon)
e112.	Crystapen 600mg injection (pdr for recon)
e116.	Crystapen 1200mg injection (pdr for recon)
e11t.	Benzylpenicillin 1200mg injection (pdr for recon)
e11w.	Benzylpenicillin 600mg injection (pdr for recon)
e153.	Penicillin V 250mg tablet
e153.	Phenoxymethylpenicillin 250mg tablet
e155.	Phenoxymethylpenicillin 125mg/5mL oral solution
e157.	Phenoxymethylpenicillin 250mg/5mL oral solution
e15v.	Tenkicin 250mg tablet
e221.	Flucloxacillin 250mg capsule
e222.	Flucloxacillin 500mg capsule
e223.	Floxapen 250mg capsule
e224.	Floxapen 500mg capsule
e225.	Floxapen 125mg/5mL syrup
e226.	Floxapen Forte 250mg/5mL syrup
e227.	Floxapen 250mg injection (pdr for recon)
e228.	Floxapen 500mg injection (pdr for recon)
e229.	Floxapen 1g injection (pdr for recon)
e22a.	Ladropen 250mg capsule
e22b.	Ladropen 500mg capsule
e22C.	FLUCLOXACILLIN 125mg/5mL s/f oral solution
e22D.	FLUCLOXACILLIN 250mg/5mL s/f oral solution
e22j.	Flucloxacillin 125mg/5mL oral solution
e22k.	Flucloxacillin 250mg/5mL oral solution
e22l.	Fluclomix 250 capsule
e22m.	Fluclomix 500 capsule
e22q.	Flucloxacillin 250mg injection (pdr for recon)
e22r.	Flucloxacillin 500mg injection (pdr for recon)
e22s.	Flucloxacillin 1g injection (pdr for recon)
e242.	Temocillin 1g injection (pdr for recon)
e245.	Negaban 1g injection (pdr for recon)
e311.	Amoxicillin 250mg capsule
e311.	Amoxycillin 250mg capsule
e312.	Amoxicillin 500mg capsule
e312.	Amoxycillin 500mg capsule
e315.	Amoxil 250mg capsule
e316.	Amoxil 500mg capsule
e319.	Amoxil SF 125mg/5mL s/f suspension
e31a.	Amoxil SF 250mg/5mL s/f suspension
e31b.	Amoxil 125mg/1.25mL paediatric suspension
e31d.	Amoxil 3g/sachet s/f powder
e31e.	Amoxil 250mg injection (pdr for recon)
e31f.	Amoxil 500mg injection (pdr for recon)
e31g.	Amoxil 1g injection (pdr for recon)
e31h.	Augmentin 375mg tablet
e31i.	Augmentin 375mg s/f dispersible tablet
e31k.	Augmentin 125mg/31mg/5mL s/f suspension
e31l.	Augmentin 600mg injection (pdr for recon)
e31m.	Augmentin 1.2g injection (pdr for recon)
e31p.	Almodan 125mg/5mL syrup
e31P.	Augmentin 250mg/62mg/5mL s/f suspension
e31Q.	Co-amoxiclav 125mg/31mg/5mL s/f suspension
e31T.	Augmentin 625mg tablet
e31t.	Co-amoxiclav 250mg/125mg tablet
e31u.	Co-amoxiclav 250mg/125mg s/f dispersible tablet
e31U.	Co-amoxiclav 500mg/125mg tablet
e31X.	Co-amoxiclav 400mg/57mg/5mL s/f suspension
e31x.	Co-amoxiclav 500mg/100mg injection (pdr for recon)
e31Y.	Augmentin Duo 400mg/57mg/5mL s/f suspension
e31y.	Co-amoxiclav 1g/200mg injection (pdr for recon)
e31z.	Co-amoxiclav 250mg/62mg/5mL s/f suspension
e321.	Ampicillin 250mg capsule
e322.	Ampicillin 500mg capsule
e323.	Ampicillin 125mg/5mL oral suspension
e324.	Ampicillin 250mg/5mL oral suspension
e32F.	Ampicillin 500mg injection (pdr for recon)
e32h.	Penbritin 250mg capsule
e32i.	Penbritin 500mg capsule
e32k.	Penbritin 125mg/5mL syrup
e32l.	Penbritin 250mg/5mL syrup
e32o.	Penbritin 500mg injection (pdr for recon)
e335.	Magnapen capsule
e336.	Magnapen syrup
e337.	Magnapen 500mg injection (pdr for recon)
e339.	Co-fluampicil 250mg/250mg capsule
e33a.	Co-fluampicil 125mg/125mg/5mL elixir
e33b.	Co-fluampicil 250mg/250mg injection (pdr for recon)
e375.	Tazocin 2g/250mg injection (pdr for recon)
e377.	Tazocin 4g/500mg injection (pdr for recon)
e3A1.	Respillin 250mg capsule
e3A2.	Respillin 500mg capsule
e3A7.	Amiclav 250mg/125mg tablet
e3A8.	Ranclav 375mg tablet
e3A9.	Ranclav 625mg tablet
e3AA.	Ranclav 125mg/31mg s/f suspension
e3AB.	Ranclav 250mg/62mg s/f suspension
e3z1.	Amoram 250mg capsule
e3z2.	Amoram 500mg capsule
e3z5.	Amix 250 capsule
e3z6.	Amix 500 capsule
e3z7.	Galenamox 250mg capsule
e3z8.	Galenamox 500mg capsule
e3z9.	Galenamox 125mg/5mL suspension
e3za.	Galenamox 250mg/5mL suspension
e3zk.	Amoxicillin 125mg/5mL s/f oral suspension
e3zk.	Amoxycillin 125mg/5mL s/f oral suspension
e3zm.	Amoxicillin 125mg/5mL oral suspension
e3zm.	Amoxycillin 125mg/5mL oral suspension
e3zn.	Amoxicillin 250mg/5mL oral suspension
e3zn.	Amoxycillin 250mg/5mL oral suspension
e3zo.	Amoxicillin 125mg/1.25mL paediatric suspension
e3zo.	Amoxycillin 125mg/1.25mL paediatric suspension
e3zq.	Amoxicillin 3g/sachet s/f powder
e3zq.	Amoxycillin 3g/sachet s/f powder
e3zr.	Amoxicillin 250mg injection (pdr for recon)
e3zr.	Amoxycillin 250mg injection (pdr for recon)
e3zs.	Amoxicillin 500mg injection (pdr for recon)
e3zs.	Amoxycillin 500mg injection (pdr for recon)
e3zt.	Amoxicillin 1g injection (pdr for recon)
e3zt.	Amoxycillin 1g injection (pdr for recon)
e3zu.	Amoxicillin 250mg/5mL s/f oral suspension
e3zu.	Amoxycillin 250mg/5mL s/f oral suspension
e447.	Timentin 3.2g injection (pdr for recon)
e521.	Selexid 200mg tablet
e52w.	Pivmecillinam hydrochloride 200mg tablet
e612.	Distaclor 125mg/5mL suspension
e613.	Distaclor 250mg/5mL suspension
e614.	Cefaclor 250mg capsule
e615.	Cefaclor 125mg/5mL suspension
e616.	Cefaclor 250mg/5mL suspension
e617.	Distaclor 500mg capsule
e618.	Cefaclor 500mg capsule
e619.	Distaclor MR 375mg m/r tablet
e61a.	Cefaclor 375mg m/r tablet
e61A.	Keftid 250mg capsule
e61B.	Keftid 500mg capsule
e61C.	Cefaclor 125mg/5mL s/f suspension
e61D.	Cefaclor 250mg/5mL s/f suspension
e61E.	Keftid 125mg/5mL s/f suspension
e61F.	Keftid 250mg/5mL s/f suspension
e61G.	Bacticlor MR 375mg m/r tablet
e621.	Baxan 500mg capsule
e622.	Baxan 125mg/5mL suspension
e623.	Baxan 250mg/5mL suspension
e624.	Baxan 500mg/5mL suspension
e625.	Cefadroxil 125mg/5mL suspension
e626.	Cefadroxil 250mg/5mL suspension
e627.	Cefadroxil 500mg capsule
e62z.	Cefadroxil 500mg/5mL suspension
e631.	Claforan 500mg injection (pdr for recon)
e632.	Claforan 1g injection (pdr for recon)
e633.	Claforan 2g injection (pdr for recon)
e63x.	Cefotaxime 500mg injection (pdr for recon)
e63y.	Cefotaxime 1g injection (pdr for recon)
e63z.	Cefotaxime 2g injection (pdr for recon)
e641.	Mefoxin 1g injection (pdr for recon)
e642.	Mefoxin 2g injection (pdr for recon)
e64y.	Cefoxitin 1g injection (pdr for recon)
e64z.	Cefoxitin 2g injection (pdr for recon)
e661.	Fortum 250mg injection (pdr for recon)
e662.	Fortum 500mg injection (pdr for recon)
e663.	Fortum 1g injection (pdr for recon)
e664.	Fortum 2g injection (pdr for recon)
e667.	Fortum 3g injection (pdr for recon)
e669.	Kefadim 1g injection (pdr for recon)
e66A.	Kefadim 2g injection (pdr for recon)
e66t.	Ceftazidime 3g injection
e66w.	Ceftazidime 500mg injection (pdr for recon)
e66x.	Ceftazidime 1g injection (pdr for recon)
e66y.	Ceftazidime 2g injection (pdr for recon)
e681.	Zinacef 250mg injection (pdr for recon)
e682.	Zinacef 750mg injection (pdr for recon)
e683.	Zinacef 1.5g injection (pdr for recon)
e684.	Zinnat 125mg tablet
e685.	Zinnat 250mg tablet
e686.	Cefuroxime 125mg tablet
e687.	Cefuroxime 250mg tablet
e689.	Zinnat 125mg/5mL suspension
e68a.	Cefuroxime 125mg/5mL suspension
e68b.	Zinnat 125mg/sachet granules
e68c.	Cefuroxime 125mg/sachet granules
e68x.	Cefuroxime 250mg injection (pdr for recon)
e68y.	Cefuroxime 750mg injection (pdr for recon)
e68z.	Cefuroxime 1.5g injection (pdr for recon)
e691.	Cefalexin 250mg capsule
e691.	Cephalexin 250mg capsule
e692.	Cefalexin 500mg capsule
e692.	Cephalexin 500mg capsule
e693.	Cefalexin 250mg tablet
e693.	Cephalexin 250mg tablet
e694.	Cefalexin 500mg tablet
e694.	Cephalexin 500mg tablet
e695.	Cefalexin 125mg/5mL oral suspension
e695.	Cephalexin 125mg/5mL oral suspension
e696.	Cefalexin 250mg/5mL oral suspension
e696.	Cephalexin 250mg/5mL oral suspension
e697.	Cefalexin 500mg/5mL syrup
e697.	Cephalexin 500mg/5mL syrup
e698.	Ceporex 250mg capsule
e699.	Ceporex 500mg capsule
e69a.	Ceporex 250mg tablet
e69b.	Ceporex 500mg tablet
e69f.	Ceporex 125mg/5mL syrup
e69g.	Ceporex 250mg/5mL syrup
e69h.	Ceporex 500mg/5mL syrup
e69i.	Keflex 250mg capsule
e69j.	Keflex 500mg capsule
e69k.	Keflex 250mg tablet
e69l.	Keflex 500mg tablet
e69m.	Keflex 125mg/5mL suspension
e69n.	Keflex 250mg/5mL suspension
e6b2.	Kefadol 1g injection (pdr for recon)
e6c1.	Kefzol 500mg injection (pdr for recon)
e6c2.	Kefzol 1g injection (pdr for recon)
e6d1.	Velosef 250mg capsule
e6d2.	Velosef 500mg capsule
e6d3.	Velosef 250mg/5mL syrup
e6d4.	Velosef 500mg injection (pdr for recon)
e6d5.	Velosef 1g injection (pdr for recon)
e6d6.	Nicef 250mg capsule
e6d7.	Nicef 500mg capsule
e6dv.	Cefradine 250mg capsule
e6dv.	Cephradine 250mg capsule
e6dw.	Cefradine 500mg capsule
e6dw.	Cephradine 500mg capsule
e6dx.	Cefradine 250mg/5mL syrup
e6dx.	Cephradine 250mg/5mL syrup
e6dy.	Cefradine 500mg injection (pdr for recon)
e6dy.	Cephradine 500mg injection (pdr for recon)
e6dz.	Cefradine 1g injection (pdr for recon)
e6dz.	Cephradine 1g injection (pdr for recon)
e6f1.	Azactam 500mg injection (pdr for recon)
e6f2.	Azactam 1g injection (pdr for recon)
e6f3.	Azactam 2g injection (pdr for recon)
e6f5.	Aztreonam 500mg injection (pdr for recon)
e6f6.	Aztreonam 1g injection (pdr for recon)
e6f7.	Aztreonam 2g injection (pdr for recon)
e6f9.	AZTREONAM 75mg powder and solvent for nebuliser solution
e6fA.	CAYSTON 75mg powder and solvent for nebuliser solution
e6g2.	Imipenem+cilastatin 500mg/500mg intravenous infusion (pdr for recon)
e6g8.	Primaxin IV 500mg Monovial
e6h1.	Cefixime 200mg tablet
e6h2.	Cefixime 100mg/5mL paediatric oral suspension
e6h3.	Suprax 200mg tablet
e6k0.	Cefpodoxime 100mg tablet
e6k1.	Orelox 100mg tablets x10
e6k2.	Cefpodoxime 40mg/5mL paediatric suspension
e6k3.	Orelox 40mg/5mL paediatric suspension
e6m1.	Rocephin 250mg injection (pdr for recon)
e6m2.	Rocephin 1g injection (pdr for recon)
e6m3.	Rocephin 2g injection (pdr for recon)
e6m4.	Ceftriaxone 250mg injection (pdr for recon)
e6m5.	Ceftriaxone 1g injection (pdr for recon)
e6m6.	Ceftriaxone 2g injection (pdr for recon)
e6o1.	Cefpirome 1g injection (pdr for recon)
e6o2.	Cefpirome 2g injection (pdr for recon)
e6o3.	Cefrom 1g injection (pdr for recon)
e6o4.	Cefrom 2g injection (pdr for recon)
e6p1.	Cefprozil 250mg tablet
e6p2.	Cefprozil 500mg tablet
e6p3.	Cefprozil 250mg/5mL oral suspension
e6p4.	Cefzil 250mg tablet
e6p5.	Cefzil 500mg tablet
e6p6.	Cefzil 250mg/5mL oral suspension
e711.	Tetracycline 250mg capsule
e712.	Tetracycline 250mg tablet
e714.	Achromycin 250mg capsule
e71c.	Deteclo tablet
e741.	Ledermycin 150mg capsule
e74y.	Demeclocycline hydrochloride 150mg capsule
e752.	Doxylar 100mg capsule
e754.	Vibramycin 50mg capsule
e755.	Vibramycin 100mg capsule
e757.	Vibramycin-D 100mg dispersible tablet
e758.	Doxycycline 100mg capsule
e759.	Demix 100 capsule
e75B.	Demix 50 capsule
e75D.	Vibramycin Acne Pack 50mg capsule
e75E.	Doxylar 50mg capsule
e75H.	EFRACEA 40mg m/r capsules
e75s.	DOXYCYCLINE 40mg m/r capsules
e75x.	Doxycycline 50mg capsule
e75z.	Doxycycline 100mg dispersible tablet
e762.	Tetralysal 300 capsule
e76z.	Lymecycline 408mg capsule
e771.	Minocin 50mg tablet
e772.	Minocin 100mg tablet
e773.	Minocycline 100mg m/r capsule
e774.	Minocin MR 100mg m/r capsule
e775.	Blemix 50 tablet
e776.	Aknemin 50mg capsule
e777.	Aknemin 100mg capsule
e77C.	Blemix 100 tablet
e77D.	Sebomin MR 100mg m/r capsule
e77F.	Sebren MR 100mg m/r capsule
e77w.	Minocycline 50mg capsule
e77x.	Minocycline 100mg capsule
e77y.	Minocycline 50mg tablet
e77z.	Minocycline 100mg tablet
e782.	Oxytetracycline dihydrate 250mg tablet
e789.	Oxymycin 250mg tablet
