cj11.00	TOBRAMYCIN 300mg/5mL nebuliser solution
cj12.00	TOBI 300mg/5mL nebuliser solution
cj13.00	BRAMITOB 300mg/4mL nebuliser solution
cj14.00	TOBRAMYCIN 300mg/4mL nebuliser solution
cj15.00	TOBI PODHALER 28mg inhalation powder capsules with device
cj16.00	TOBRAMYCIN 28mg inhalation powder capsules with device
e112.00	*CRYSTAPEN 600mg injection
e116.00	CRYSTAPEN 1200mg injection (pdr for recon)
e11t.00	BENZYLPENICILLIN 1200mg injection (pdr for recon)
e11w.00	BENZYLPENICILLIN 600mg injection
e153.00	PHENOXYMETHYLPENICILLIN 250mg tablets
e155.00	PHENOXYMETHYLPENICILLIN 125mg/5mL syrup
e157.00	PHENOXYMETHYLPENICILLIN 250mg/5mL syrup
e15v.00	*TENKICIN 250mg tablets
e221.00	FLUCLOXACILLIN 250mg capsules
e222.00	FLUCLOXACILLIN 500mg capsules
e223.00	FLOXAPEN 250mg capsules
e224.00	FLOXAPEN 500mg capsules
e225.00	FLOXAPEN 125mg/5mL syrup
e226.00	FLOXAPEN FORTE 250mg/5mL syrup
e227.00	*FLOXAPEN 250mg injection
e228.00	*FLOXAPEN 500mg injection
e229.00	*FLOXAPEN 1g injection
e22a.00	*LADROPEN 250mg capsules
e22b.00	*LADROPEN 500mg capsules
e22C.00	FLUCLOXACILLIN 125mg/5mL s/f oral solution
e22D.00	FLUCLOXACILLIN 250mg/5mL s/f oral solution
e22j.00	FLUCLOXACILLIN 125mg/5mL syrup
e22k.00	FLUCLOXACILLIN 250mg/5mL syrup
e22l.00	*FLUCLOMIX 250mg capsules
e22m.00	FLUCLOMIX 500mg capsules
e22q.00	FLUCLOXACILLIN 250mg injection
e22r.00	FLUCLOXACILLIN 500mg injection
e22s.00	FLUCLOXACILLIN 1g injection
e242.00	TEMOCILLIN 1g injection (pdr for recon)
e245.00	NEGABAN 1g injection (pdr for recon)
e311.00	AMOXICILLIN 250mg capsules
e312.00	AMOXICILLIN 500mg capsules
e315.00	AMOXIL 250mg capsules
e316.00	AMOXIL 500mg capsules
e319.00	*AMOXIL SF 125mg/5mL syrup
e31a.00	*AMOXIL SF 250mg/5mL syrup
e31b.00	AMOXIL 125mg/1.25mL paediatric suspension
e31d.00	*AMOXIL SF 3g sachets
e31e.00	*AMOXIL 250mg injection
e31f.00	AMOXIL 500mg injection
e31g.00	AMOXIL 1g injection
e31h.00	AUGMENTIN 375mg tablets
