d4u..	Zotepine
d4u3.	Zotepine 100mg tablet
d4u6.	Zoleptil 100mg tablet
d4u2.	Zotepine 50mg tablet
d4u5.	Zoleptil 50mg tablet
d4u1.	Zotepine 25mg tablet
d4u4.	Zoleptil 25mg tablet
d4q..	Sertindole
d4q4.	Sertindole 20mg tablet
d4q8.	Serdolect 20mg tablet
d4q3.	Sertindole 16mg tablet
d4q7.	Serdolect 16mg tablet
d4q2.	Sertindole 12mg tablet
d4q6.	Serdolect 12mg tablet
d4q1.	Sertindole 4mg tablet
d4q5.	Serdolect 4mg tablet
d4p..	Risperidone
x05gC	Parenteral risperidone
d4py.	Risperidone 25mg powder+solvent for suspension for injection
d4pE.	Risperdal Consta 25mg powder+solvent for suspension for injection
d4px.	Risperidone 37.5mg powder+solvent for suspension for injection
d4pF.	Risperdal Consta 37.5mg powder+solvent for suspension for injection
d4pw.	Risperidone 50mg powder+solvent for suspension for injection
d4pG.	Risperdal Consta 50mg powder+solvent for suspension for injection
x05gB	Oral risperidone
d4pz.	Risperidone 0.5mg tablet
d4pD.	Risperdal 0.5mg tablet
d4pR.	RISPERIDONE 4mg oro-dispersible tablets
d4pP.	RISPERDAL QUICKLET 4mg oro-dispersible tablets
d4pQ.	RISPERIDONE 3mg oro-dispersible tablets
d4pO.	RISPERDAL QUICKLET 3mg oro-dispersible tablets
d4pM.	Risperidone 0.5mg oro-dispersible tablet
d4pN.	Risperdal Quicklet 0.5mg oro-dispersible tablet
d4pJ.	Risperidone 2mg oro-dispersible tablet
d4pL.	Risperdal Quicklet 2mg oro-dispersible tablet
d4pH.	Risperidone 1mg oro-dispersible tablet
d4pK.	Risperdal Quicklet 1mg oro-dispersible tablet
d4pB.	Risperidone 6mg tablet
d4pC.	Risperdal 6mg tablet
d4p9.	Risperidone 1mg/mL liquid
d4pA.	Risperdal 1mg/mL liquid
d4p4.	Risperidone 4mg tablet
d4p8.	Risperdal 4mg tablet
d4p3.	Risperidone 3mg tablet
d4p7.	Risperdal 3mg tablet
d4p2.	Risperidone 2mg tablet
d4p6.	Risperdal 2mg tablet
d4p1.	Risperidone 1mg tablet
d4p5.	Risperdal 1mg tablet
d4pS.	RISPERIDONE 1mg/mL oral solution
d4s..	Quetiapine
d4sp.	ALAQUET XL 400mg m/r tablets
d4so.	ALAQUET XL 300mg m/r tablets
d4sn.	ALAQUET XL 200mg m/r tablets
d4sm.	ALAQUET XL 150mg m/r tablets
d4sl.	ALAQUET XL 50mg m/r tablets
d4sk.	MINTRELEQ XL 400mg m/r tablets
d4sj.	MINTRELEQ XL 300mg m/r tablets
d4si.	MINTRELEQ XL 200mg m/r tablets
d4sh.	MINTRELEQ XL 150mg m/r tablets
d4sg.	MINTRELEQ XL 50mg m/r tablets
d4sf.	BIQUELLE XL 400mg m/r tablets
d4se.	BIQUELLE XL 300mg m/r tablets
d4sd.	BIQUELLE XL 200mg m/r tablets
d4sc.	BIQUELLE XL 150mg m/r tablets
d4sb.	BIQUELLE XL 50mg m/r tablets
d4sa.	ZALURON XL 400mg m/r tablets
d4sZ.	ZALURON XL 300mg m/r tablets
d4sY.	ZALURON XL 200mg m/r tablets
d4sX.	ZALURON XL 150mg m/r tablets
d4sW.	ZALURON XL 50mg m/r tablets
d4sV.	EBESQUE XL 400mg m/r tablets
d4sU.	EBESQUE XL 300mg m/r tablets
d4sT.	EBESQUE XL 200mg m/r tablets
d4sS.	EBESQUE XL 50mg m/r tablets
d4sR.	ATROLAK XL 400mg m/r tablets
d4sQ.	ATROLAK XL 50mg m/r tablets
d4sP.	SEOTIAPIM XL 400mg m/r tablets
d4sO.	SEOTIAPIM XL 300mg m/r tablets
d4sN.	SEOTIAPIM XL 200mg m/r tablets
d4sM.	ATROLAK XL 300mg m/r tablets
