bu2..%	Antiplatelet aspirin
bu25.	Aspirin 75mg tablet
bu24.	Angettes 75mg tablet
bu23.	Aspirin 75mg dispersible tablet
bu2D.	postMI 75mg dispersible tablet
bu2B.	Aspirin 75mg e/c tablet
bu2F.	Caprin 75mg e/c tablet
bu2H.	Enprin 75mg e/c tablet
bu2K.	Micropirin 75mg e/c tablet
bu2A.	Nu-Seals Aspirin 75mg e/c tablet
bu2G.	Nu-Seals Cardio 75 e/c tablet
bu2E.	postMI 75mg e/c tablet
bu2c.	Aspirin 75mg soluble tablet
bu21.	Aspirin 100mg effervescent tablet
bu22.	Platet 100mg effervescent tablet
bu29.	Aspirin 100mg m/r tablet
bu28.	Disprin CV 100mg m/r tablet
bu27.	Aspirin 300mg effervescent tablet
bu26.	Platet 300mg effervescent tablet
di1f.	Aspirin 300mg e/c tablet
bu2C.	postMI 300mg e/c tablet
di1k.	Caprin 300mg e/c tablet
di1c.	Nu-Seals Aspirin 300mg e/c tablet
bu2b.	Aspirin 300mg m/r tablet
bu2a.	Disprin CV 300mg m/r tablet
bu2I.	Aspirin 162.5mg m/r capsule
bu2J.	Caspac XL 162.5mg m/r capsule
blm..	Isosorbide mononitrate+aspirin
blmz.	Isosorbide mononitrate+aspirin 60mg/75mg m/r tablet
blm1.	IMAZIN XL 60mg/75mg m/r tablet
blmy.	Isosorbide mononitrate+aspirin 60mg/150mg m/r tablet
blm2.	IMAZIN XL forte 60mg/150mg m/r tablet
bu2d.	FLAMASACARD 162.5mg m/r capsules
bu4..%	Dipyridamole+aspirin
bu41.	Dipyridamole+aspirin 200mg/25mg m/r capsule
bu42.	Asasantin Retard m/r capsule
bu43.	MOLITA 200mg/25mg m/r capsules
dibs.	Veganin tablet
dl1C.	MigraMax sachet powder
x02LX%	Aspirin
x04tL%	Oral aspirin
bu25.	Aspirin 75mg tablet
bu24.	Angettes 75mg tablet
bu23.	Aspirin 75mg dispersible tablet
bu2D.	postMI 75mg dispersible tablet
bu2B.	Aspirin 75mg e/c tablet
bu2F.	Caprin 75mg e/c tablet
bu2H.	Enprin 75mg e/c tablet
bu2K.	Micropirin 75mg e/c tablet
bu2A.	Nu-Seals Aspirin 75mg e/c tablet
bu2G.	Nu-Seals Cardio 75 e/c tablet
bu2E.	postMI 75mg e/c tablet
bu2c.	Aspirin 75mg soluble tablet
bu21.	Aspirin 100mg effervescent tablet
bu22.	Platet 100mg effervescent tablet
bu29.	Aspirin 100mg m/r tablet
bu28.	Disprin CV 100mg m/r tablet
j111.	Aspirin 300mg tablet
di15.	Claradin 300mg tablet
