a41..00	ATROPINE SULPHATE [ANTISPASMODIC]
a411.11	ATROPINE SULPHATE 600micrograms tablets
a411.00	ATROPINE SULFATE 600micrograms tablets
a42..00	*ATROPINE METHONITRATE
a42z.00	ATROPINE METHONITRATE 0.6% solution
a421.00	*EUMYDRIN 0.6% solution
bb2..00	ATROPINE SULFATE [ANTIARRHYTHMIC]
bb2D.11	ATROPINE SULPHATE 600micrograms/1mL prefilled syringe
bb2D.00	ATROPINE SULFATE 600micrograms/1mL prefilled syringe
bb2C.11	ATROPINE SULPHATE 1mg/5mL prefilled syringe
bb2C.00	ATROPINE SULFATE 1mg/5mL prefilled syringe
bb2B.11	ATROPINE SULPHATE 3mg/10mL injection
bb2B.00	ATROPINE SULFATE 3mg/10mL injection
bb2A.00	MIN-I-JET ATROPINE 3mg/30mL prefilled syringe
bb29.11	ATROPINE SULPHATE 3mg/30mL prefilled syringe
bb29.00	ATROPINE SULFATE 3mg/30mL prefilled syringe
bb28.11	ATROPINE SULPHATE 3mg/10mL prefilled syringe
bb28.00	ATROPINE SULFATE 3mg/10mL prefilled syringe
bb27.11	ATROPINE SULPHATE 1.25mg/1mL injection
bb27.00	ATROPINE SULFATE 1.25mg/1mL injection
bb26.00	ATROPINE SULPHATE 600micrograms/0.5mL injection
bb25.11	ATROPINE SULPHATE 1mg/1mL injection
bb25.00	ATROPINE SULFATE 1mg/1mL injection
bb24.11	ATROPINE SULPHATE 800microgram/1mL injection
bb24.00	ATROPINE SULFATE 800microgram/1mL injection
bb23.00	ATROPINE SULPHATE 15mg/25mL injection
bb22.11	ATROPINE SULPHATE 600microgram/1mL injection
bb22.00	ATROPINE SULFATE 600microgram/1mL injection
bb21.11	ATROPINE SULPHATE 400microgram/1mL injection
bb21.00	ATROPINE SULFATE 400microgram/1mL injection
bb2..11	ATROPINE SULPHATE [ANTIARRHYTHMIC]
c511.00	ADRENALINE+ATROPINE COMPOUND spray
k71..00	ATROPINE SULFATE [EYES]
k717.11	ATROPINE SULPHATE 0.5% eye drops
k717.00	ATROPINE SULFATE 0.5% eye drops
k716.11	ATROPINE SULPHATE 1% single-use eye drops
k716.00	ATROPINE SULFATE 1% single-use eye drops
k715.00	OPULETS ATROPINE single-use eye drops 0.5mL
k714.11	MINIMS ATROPINE SULPHATE single-use eye drops 0.5mL
k714.00	MINIMS ATROPINE SULFATE single-use eye drops 0.5mL
k713.00	*ISOPTO ATROPINE eye drops 5mL
k712.00	ATROPINE 1% eye ointment
k711.00	ATROPINE 1% eye drops
k71..11	ATROPINE SULPHATE [EYES]
o31..00	ATROPINE SULFATE [PREMEDICATION]
o312.11	ATROPINE SULPHATE 600micrograms/1mL pre-filled syringe
o312.00	ATROPINE SULFATE 600micrograms/1mL pre-filled syringe
o311.11	ATROPINE SULPHATE 600microgram tablet
o311.00	ATROPINE SULFATE 600micrograms tablet
o31..11	ATROPINE SULPHATE [PREMEDICATION]
o458.00	MORPHINE + ATROPINE 10mg injection
a823.00	CO-PHENOTROPE tablets
a823.11	CO-PHENOTROPE 2.5mg/25micrograms tablets
a824.00	*CO-PHENOTROPE liquid
a821.00	LOMOTIL tablets
a822.00	*LOMOTIL liquid
a827.00	DYMOTIL tablets
a825.00	*TROPERGEN tablets
