d2e..00	*PRAZEPAM
d2ez.00	*PRAZEPAM 10mg tablets
d2e1.00	*CENTRAX 10mg tablets
d2d..00	OXAZEPAM
d2d4.00	OXAZEPAM 30mg tablets
d2d3.00	OXAZEPAM 15mg tablets
d2d2.00	OXAZEPAM 10mg tablets
d2d1.00	*OXAZEPAM 30mg capsules
d2d7.00	*OXANID 30mg tablets
d2d6.00	*OXANID 15mg tablets
d2d5.00	*OXANID 10mg tablets
d2b..00	*MEDAZEPAM
d2bz.00	*MEDAZEPAM 10mg capsules
d2by.00	*MEDAZEPAM 5mg capsules
d2b2.00	*NOBRIUM 10mg capsules
d2b1.00	*NOBRIUM 5mg capsules
d2a..00	LORAZEPAM [ANXIOLYTIC]
d2az.00	LORAZEPAM 4mg/1mL injection
d2a2.00	LORAZEPAM 2.5mg tablets
d2a1.00	LORAZEPAM 1mg tablets
d2ax.00	*ATIVAN 4mg/mL injection
d2a7.00	ATIVAN 4mg/1mL injection
d2a6.00	*ATIVAN 2.5mg tablets
d2a5.00	*ATIVAN 1mg tablets
d2a4.00	*ALMAZINE 2.5mg tablets
d2a3.00	*ALMAZINE 1mg tablets
d29..00	*KETAZOLAM
d29z.00	*KETAZOLAM 30mg capsules
d29y.00	*KETAZOLAM 15mg capsules
d292.00	*ANXON 30mg capsules
d291.00	*ANXON 15mg capsules
d21..00	DIAZEPAM [ANXIOLYTIC]
d21z.00	*DIAZEPAM 10mg suppositories
d21J.00	DIAZEPAM 10mg/5mL suspension
d21A.00	DIAZEPAM 5mg/5mL oral solution
d216.00	DIAZEPAM 2mg/5mL elixir
d215.00	DIAZEPAM 10mg tablets
d214.00	DIAZEPAM 5mg tablets
d213.00	DIAZEPAM 2mg tablets
d212.00	*DIAZEPAM 5mg capsules
d211.00	*DIAZEPAM 2mg capsules
d21y.00	*VALIUM 10mg suppositories
d21x.00	*VALIUM 5mg suppositories
d21w.00	*VALIUM DUP DEL injection
d21v.00	VALIUM [ANXIOL] 10mg/2mL injection
d21u.00	*VALIUM 2mg/5mL syrup
