b111.	DIGOXIN 62.5micrograms tablets
b112.	DIGOXIN 125microgram tablets
b211.	BENDROFLUMETHIAZIDE 2.5mg tablets
b231.	HYGROTON 50mg tablets
b311.	FUROSEMIDE 20mg tablets
b312.	FUROSEMIDE 40mg tablets
b31F.	FRUSOL 20mg/5mL sugar free oral solution
b32u.	BUMETANIDE 1mg tablets
b431.	SPIRONOLACTONE 25mg tablets
b432.	SPIRONOLACTONE 50mg tablets
b433.	SPIRONOLACTONE 100mg tablets
b436.	ALDACTONE 100mg tablets
b51a.	MODURET-25 tablets
b51b.	MODURETIC tablets
b51j.	CO-AMILOZIDE 2.5/25mg tablets
b51r.	NAVISPARE 2.5/0.25mg tablets
bA1z.	FELODIPINE+RAMIPRIL 5mg/5mg tablets
bb1y.	AMIODARONE HYDROCHLORIDE 200mg tablets
bB1z.	IVABRADINE 5mg tablets
bb32.	VERAPAMIL 80mg tablets
bb3B.	HALF SECURON SR 120mg m/r tablets
bb3K.	*VERAPRESS MR 240 m/r tablets
bc33.	TAMBOCOR 50mg tablets
bc3z.	FLECAINIDE ACET 150mg/15mL injection
bcc1.	ADENOSINE 6mg/2mL intravenous injection
bd11.	PROPRANOLOL 10mg tablets
bd12.	PROPRANOLOL 40mg tablets
bd13.	PROPRANOLOL 80mg tablets
bd1l.	HALF-INDERAL LA 80mg m/r capsules
bd1y.	PROPRANOLOL 80mg m/r capsules
bd34.	TENORMIN LS 50mg tablets
bd35.	ATENOLOL 50mg tablets
bd36.	ATENOLOL 100mg tablets
bd3j.	ATENOLOL 25mg tablets
bd5u.	*LABETALOL 200mg tablets
bd6x.	METOPROLOL 50mg tablets
bday.	PINDOLOL 5mg tablets
bdcu.	SOTALOL 40mg tablets
bdcv.	SOTALOL 80mg tablets
bddz.	TIMOLOL 10mg tablets
bdf1.	BISOPROLOL FUMARATE 5mg tablets
bdf2.	BISOPROLOL FUMARATE 10mg tablets
bdfw.	BISOPROLOL FUMARATE 1.25mg tablets
bdfx.	BISOPROLOL FUMARATE 2.5mg tablets
bdfy.	BISOPROLOL FUMARATE 3.75mg tablets
bdfz.	BISOPROLOL FUMARATE 7.5mg tablets
bdl6.	CARVEDILOL 6.25mg tablets
bf22.	METHYLDOPA 250mg tablets
bf42.	MOXONIDINE 400micrograms tablets
bh61.	DOXAZOSIN 1mg tablets
bh62.	DOXAZOSIN 2mg tablets
bh63.	DOXAZOSIN 4mg tablets
bh67.	CARDURA XL 4mg m/r tablets
bh6z.	DOXAZOSIN 4mg m/r tablets
bi1w.	CAPTOPRIL 25mg tablets
bi2u.	ENALAPRIL MALEATE 5mg tablets
bi2w.	ENALAPRIL MALEATE 10mg tablets
bi31.	LISINOPRIL 2.5mg tablets
bi32.	LISINOPRIL 5mg tablets
bi33.	LISINOPRIL 10mg tablets
bi34.	LISINOPRIL 20mg tablets
bi3t.	LISINOPRIL+HYDROCHLOROTHIAZIDE 10mg/12.5mg tablets
bi51.	PERINDOPRIL ERBUMINE 2mg tablets
bi52.	PERINDOPRIL ERBUMINE 4mg tablets
bi61.	RAMIPRIL 1.25mg capsules
bi62.	RAMIPRIL 2.5mg capsules
bi63.	RAMIPRIL 5mg capsules
bi67.	RAMIPRIL 10mg capsules
bi6A.	TRITACE Titration Pack capsules
bi6B.	RAMIPRIL 1.25mg tablets
bi6C.	RAMIPRIL 2.5mg tablets
bi6D.	RAMIPRIL 5mg tablets
bi6E.	RAMIPRIL 10mg tablets
bi92.	TRANDOLAPRIL 1mg capsules
bk31.	LOSARTAN POTASSIUM 25mg tablets
bk38.	COZAAR 100mg tablets
bk3z.	LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/25mg tablets
bk41.	VALSARTAN 40mg capsules
bk42.	VALSARTAN 80mg capsules
bk43.	VALSARTAN 160mg capsules
bk44.	DIOVAN 40mg capsules
bk4A.	DIOVAN 40mg tablets
bk4w.	VALSARTAN 40mg tablets
bk4z.	VALSARTAN+HYDROCHLOROTHIAZIDE 160mg/12.5mg tablets
bk51.	IRBESARTAN 75mg tablets
bk52.	IRBESARTAN 150mg tablets
bk53.	IRBESARTAN 300mg tablets
bk58.	COAPROVEL 300mg/12.5mg tablets
bk5x.	IRBESARTAN+HYDROCHLOROTHIAZIDE 300mg/25mg tablets
bk71.	CANDESARTAN CILEXETIL 2mg tablets
bk72.	CANDESARTAN CILEXETIL 4mg tablets
bk73.	CANDESARTAN CILEXETIL 8mg tablets
bk74.	CANDESARTAN CILEXETIL 16mg tablets
bk87.	MICARDISPLUS 80mg/12.5mg tablets
bl1F.	NITROLINGUAL PUMP 400micrograms CFC-free spray
bl3b.	IMDUR DURULES 60mg m/r tablets
bl3L.	ISOSORBIDE MONONITRATE 60mg m/r capsules
bl3v.	ISOSORBIDE MONONITRATE 10mg tablets
bl3y.	ISOSORBIDE MONONITRATE 60mg m/r tablets
bl54.	ADIZEM-SR 120mg m/r tablets
bl5a.	DILTIAZEM HYDROCHLORIDE 90mg m/r tablets
bl5f.	DILTIAZEM HYDROCHLORIDE 60mg m/r capsules
bl5J.	ADIZEM-XL 180mg m/r capsules
bl5z.	DILTIAZEM HYDROCHLORIDE 60mg m/r tablets
