a23v.	Gaviscon Advance s/f susp
a24t.	Peptac liquid
a6bv.	Omeprazole 20mg e/c tablet
a23A.	Gaviscon Advance peppmint susp
a62y.	Ranitidine 300mg tablet
a23f.	Infant Gaviscon 2g/sach pdr
a4ex.	Mebeverine HCl 135mg tablet
a23n.	Gaviscon 250 tablet
a24z.	Peptac peppermint liquid
aa31.	Asacol MR 400mg e/c tablet
a6hv.	ESOMEPRAZOLE 20mg g/r capsules
a4dz.	Alverine citrate 60mg capsule
a681.	Famotidine 20mg tablet
a6hz.	Esomeprazole 20mg tablet
a6c3.	Lansoprazole 15mg capsule
a4ev.	Mebeverine HCl 200mg m/r cap
a47y.	Hyoscine butylbromide 10mg tab
ae11.	Lactulose 3.35g/5mL oral soln
af11.	Bisacodyl 10mg suppository
a6b7.	Omeprazole 10mg capsule
a6hy.	Esomeprazole 40mg tablet
ac59.	Docusate sodium 100mg capsule
aj1c.	Scheriproct ointment 30g
a6b5.	Omeprazole 40mg capsule
a4d2.	Spasmonal 60mg capsule
aj1a.	Proctosedyl ointment 30g
af15.	Glycerol 4g adult suppository
a6c9.	Zoton FasTab 15mg disp tab
aa3T.	MEZAVANT XL 1200mg m/r tablets
b212.	Bendroflumethiazide 5mg tablet
aj1t.	Xyloproct ointment 20g
a6c8.	Lansoprazole 30mg disp tab
a62w.	Ranitidine 150mg tablet
bb3k.	Securon SR 240mg m/r tabs 28CP
b311.	Furosemide 20mg tablet
a83w.	Loperamide HCl 2mg disp tab
ae4b.	MOVICOL PLAIN 13.7g/sachet pdr
b32u.	Bumetanide 1mg tablet
b28z.	Indapamide 2.5mg tablet
ab21.	Fybogel 3.5g s/f granules
a6b1.	Omeprazole 20mg capsule
bd12.	Propranolol HCl 40mg tablet
b45z.	Eplerenone 25mg tablet
ac7v.	Senna 7.5mg/5mL s/f syrup
b112.	Digoxin 125micrograms tablet
bD1z.	RANOLAZINE 375mg m/r tablets
bb3n.	Univer 240mg m/r capsules x28
ac71.	Senna 7.5mg tablet
a6c2.	Lansoprazole 30mg capsule
bD1y.	RANOLAZINE 500mg m/r tablets
bd6w.	Metoprolol 100mg tablet
b111.	Digoxin 62.5micrograms tablet
bd11.	Propranolol HCl 10mg tablet
bd52.	Labetalol HCl 200mg tablet
bdl5.	Carvedilol 3.125mg tablet
ac84.	Dulco-lax 5mg/5mL liquid
a6e5.	Pantoprazole 20mg e/c tablet
bdfx.	Bisoprolol fumarate 2.5mg tab
bdfy.	Bisoprolol fumarate 3.75mg tab
b211.	Bendrofluazide 2.5mg tablet
bd1x.	Propranolol HCl 160mg m/r cap
bh61.	Doxazosin 1mg tablet
bi33.	Lisinopril 10mg tablet
b212.	Bendrofluazide 5mg tablet
a6hu.	ESOMEPRAZOLE 40mg g/r capsules
bi52.	Perindopril erbumine 4mg tab
bh62.	Doxazosin 2mg tablet
b211.	Bendroflumethiazide 2.5mg tab
bd6x.	Metoprolol 50mg tablet
bi51.	Perindopril tert-butyl 2mg tab
bi34.	Lisinopril 20mg tablet
bd35.	Atenolol 50mg tablet
a83y.	Loperamide HCl 2mg capsule
blc5.	Felodipine 2.5mg m/r tablet
bh6y.	Doxazosin 8mg m/r tablet
b312.	Furosemide 40mg tablet
bdf1.	Bisoprolol fumarate 5mg tablet
bi62.	Ramipril 2.5mg capsule
bi61.	Ramipril 1.25mg capsule
bdfw.	Bisoprolol fumarate 1.25mg tab
aa31.	Asacol 400mg e/c tablet
blcr.	CARDIOPLEN XL 2.5mg m/r tabs
bi2z.	Enalapril mal 20mg tabs x28
bd1y.	Propranolol HCl 80mg m/r cap
bdfz.	Bisoprolol fumarate 7.5mg tab
bkL2.	SACUBITRL+VALSRTN 24/26mg tabs
bi63.	Ramipril 5mg capsule
bi51.	Perindopril erbumine 2mg tab
ac11.	Bisacodyl 5mg e/c tablet
blh3.	Lercanidipine HCl 20mg tablet
bi67.	Ramipril 10mg capsule
bd3j.	Atenolol 25mg tablet
bdmy.	NEBIVOLOL 2.5mg tablets
blzI.	Glyceryl tri 400mcg CFC-fr spr
bi6E.	Ramipril 10mg tablet
bk32.	Losartan potassium 50mg tablet
ae49.	Movicol Paed Plain 6.9g/sachet
