dn31.00	CARBAMAZEPINE 100mg tablets
dn32.00	CARBAMAZEPINE 200mg tablets
dn33.00	CARBAMAZEPINE 400mg tablets
dn34.00	TEGRETOL 100mg tablets
dn35.00	TEGRETOL 200mg tablets
dn36.00	TEGRETOL 400mg tablets
dn37.00	TEGRETOL 100mg/5mL sugar free liquid
dn38.00	TEGRETOL RETARD 200mg m/r tabs
dn39.00	TEGRETOL RETARD 400mg m/r tabs
dn3a.00	CARBAMAZEPINE 200mg m/r tabs
dn3A.00	*EPIMAZ 100mg tablets
dn3b.00	CARBAMAZEPINE 400mg m/r tabs
dn3B.00	*EPIMAZ 200mg tablets
dn3c.00	TEGRETOL 100mg chewable tablets
dn3C.00	*EPIMAZ 400mg tablets
dn3d.00	TEGRETOL 200mg chewable tablets
dn3D.00	TEGRETOL 125mg suppositories
dn3e.00	*ARBIL MR 200mg m/r tablets
dn3E.00	TEGRETOL 250mg suppositories
dn3f.00	*ARBIL MR 400mg m/r tablets
dn3H.00	*TERIL CR 200mg m/r tablets
dn3I.00	*TERIL CR 400mg m/r tablets
dn3J.00	CARBAGEN SR 200mg m/r tablets
dn3K.00	CARBAGEN SR 400mg m/r tablets
dn3v.00	CARBAMAZEPINE 125mg suppositories
dn3w.00	CARBAMAZEPINE 250mg suppositories
dn3x.00	CARBAMAZEPINE 200mg chewable tablets
dn3y.00	CARBAMAZEPINE 100mg chewable tablets
dn3z.00	CARBAMAZEPINE 100mg/5mL sugar free liquid
dn3..00	CARBAMAZEPINE
dn3I.11	TERIL RETARD 400mg m/r tablets
dn3H.11	TERIL RETARD 200mg m/r tablets
dn3G.00	TIMONIL RETARD 400mg m/r tablets
dn3F.00	TIMONIL RETARD 200mg m/r tablets
