f125.	Velosulin 100iu/mL injection 10mL
f12a.	Humulin S 100iu/mL injection 10mL
f12A.	Human Actrapid 100iu/mL Penfill cartridge 1.5mL
f12C.	Humaject S 100iu/mL prefilled pen
f12I.	Hypurin Porcine Neutral 100iu/mL injection 10mL
f12L.	Insuman Rapid 100iu/mL injection vial 5mL
f12M.	Insuman Rapid 100iu/mL injection cartridge 3mL
f12Q.	Insuman Rapid OptiSet 100iu/mL prefilled pen 3mL
f12s.	Humulin S 100iu/mL cartridges 3mL
f12S.	Hypurin Bovine Neutral 100iu/mL injection cartridge 3mL
f12T.	Hypurin Porcine Neutral 100iu/mL injection cartridge 3mL
f12U.	EXUBERA 1mg powder for inhalation
f12V.	EXUBERA 3mg powder for inhalation
f12Y.	INSUMAN INFUSAT 100iu/mL soln for inj cartridges 3.15mL
f12Z.	INSUMAN INFUSAT 100iu/mL solution for injection vials 10mL
f131.	Insulin lispro 100iu/mL injection vial
f133.	Insulin lispro 100iu/mL injection cartridge
f134.	Humalog 100iu/mL cartridges 1.5mL
f135.	Humalog 100iu/mL cartridge 3mL
f136.	Insulin lispro 100iu/mL prefilled pen
f138.	HUMALOG KWIKPEN 100iu/mL prefilled pen 3mL
f139.	HUMALOG KWIKPEN 200iu/mL prefilled pen 3mL
f141.	NovoRapid 100units/mL injection vial
f143.	NovoRapid Penfill 100units/mL cartridge 3mL
f144.	NovoRapid FlexPen 100units/mL prefilled pen 3mL
f145.	NOVORAPID FLEXTOUCH 100units/mL soln for injection pen 3mL
f146.	NOVORAPID PUMPCART 100units/mL soln for inj cartridges 1.6mL
f14x.	Insulin aspart 100units/mL injection vial
f14z.	Insulin aspart 100units/mL cartridge
f151.	Apidra 100iu/mL injection vials 10mL
f152.	Apidra 100iu/mL injection cartridges 3mL
f154.	APIDRA 100iu/mL OptiClik cartridges 3mL
f155.	APIDRA 100iu/mL SoloStar prefilled pen 3mL
f15x.	Insulin glulisine 100iu/mL injection prefilled pen
