f125.	VELOSULIN 100iu/mL injection 10mL
f12a.	HUMULIN S 100iu/mL injection 10mL
f12A.	HUMAN ACTRAPID 100iu/mL penfill cartridges 1.5mL
f12C.	HUMAJECT S 100iu/mL prefilled pen
f12I.	HYPURIN PORCINE NEUTRAL 100iu/mL injection 10mL
f12L.	INSUMAN RAPID 100iu/mL injection vials 5mL
f12M.	INSUMAN RAPID 100iu/mL injection cartridge 3mL
f12Q.	INSUMAN RAPID OPTISET 100iu/mL prefilled pen 3mL
f12s.	HUMULIN S 100iu/mL cartridges 3mL
f12S.	HYPURIN BOVINE NEUTRAL 100iu/mL injection cartridge 3mL
f12T.	HYPURIN PORCINE NEUTRAL 100iu/mL injection cartridge 3mL
f12U.	EXUBERA 1mg powder for inhalation
f12V.	EXUBERA 3mg powder for inhalation
f12Y.	INSUMAN INFUSAT 100iu/mL soln for inj cartridges 3.15mL
f12Z.	INSUMAN INFUSAT 100iu/mL solution for injection vials 10mL
f131.	INSULIN LISPRO 100iu/mL vials
f133.	INSULIN LISPRO 100iu/mL cartridges
f134.	HUMALOG 100iu/mL cartridges 1.5mL
f135.	HUMALOG 100iu/mL cartridges 3mL
f136.	INSULIN LISPRO 100iu/mL prefilled pen
f138.	HUMALOG KWIKPEN 100iu/mL prefilled pen 3mL
f139.	HUMALOG KWIKPEN 200iu/mL prefilled pen 3mL
f141.	NOVORAPID 100units/mL injection vial
f143.	NOVORAPID PENFILL 100units/mL cartridges 3mL
f144.	NOVORAPID FLEXPEN 100units/mL prefilled pen 3mL
f145.	NOVORAPID FLEXTOUCH 100units/mL soln for injection pen 3mL
f146.	NOVORAPID PUMPCART 100units/mL soln for inj cartridges 1.6mL
f14x.	INSULIN ASPART 100units/mL injection vial
f14z.	INSULIN ASPART 100units/mL cartridges
f151.	APIDRA 100iu/mL injection vials 10mL
f152.	APIDRA 100iu/mL injection cartridges 3mL
f154.	APIDRA 100iu/mL OptiClik cartridges 3mL
f155.	APIDRA 100iu/mL SoloStar prefilled pen 3mL
f15x.	INSULIN GLULISINE 100iu/mL prefilled pen
f15y.	INSULIN GLULISINE 100iu/mL injection cartridges
f15z.	INSULIN GLULISINE 100iu/mL injection vials
f227.	HUMULIN LENTE 100iu/mL injection 10mL
f242.	HUMULIN ZN 100iu/mL injection 10mL
f253.	INSULATARD 100iu/mL injection 10mL
f25a.	HUMULIN I 100iu/mL injection 10mL
f25A.	HUMULIN I 100iu/mL prefilled pen 3mL
f25B.	INSUMAN BASAL OPTISET 100iu/mL prefilled pen 3mL
f25C.	INSULATARD INNOLET 100units/mL prefilled syringe 3mL
f25D.	INSULATARD FLEXPEN 100iu/mL prefilled pen 3mL
f25E.	HYPURIN BOVINE ISOPHANE 100iu/mL injection cartridge 3mL
f25F.	HYPURIN PORCINE ISOPHANE 100iu/mL injection cartridge 3mL
f25g.	*HUMULIN M3 injection 10mL
f25G.	HUMULIN I KWIKPEN 100iu/mL prefilled pen 3mL
f25H.	INSUMAN BASAL SOLOSTAR 100iu/mL prefilled pen 3mL
f25o.	HUMULIN I 100iu/mL cartridges 3mL
f25r.	PORK INSULATARD 100units/mL injection 10mL
f25v.	HYPURIN BOVINE ISOPHANE 100iu/mL injection 10mL
f25w.	HYPURIN PORCINE ISOPHANE 100iu/mL injection 10mL
f25y.	INSUMAN BASAL 100iu/mL injection vials 5mL
f25Y.	HUMAN ISOPHANE INSULIN 100units/mL injection vials
f25z.	INSUMAN BASAL 100iu/mL injection cartridge 3mL
f27C.	HUMAJECT M3 100iu/mL prefilled pen
f27J.	HUMAN MIXTARD 10 PENFILL cartridges 1.5mL
f27K.	HUMAN MIXTARD 20 PENFILL cartridges 1.5mL
f27L.	HUMAN MIXTARD 30 PENFILL cartridges 1.5mL
f27M.	HUMAN MIXTARD 40 PENFILL cartridges 1.5mL
f27N.	HUMAN MIXTARD 50 PENFILL cartridges 1.5mL
f27O.	MIXTARD 30 INNOLET 100units/mL prefilled syringe 3mL
f27P.	HUMAN MIXTARD 10 prefilled pen
f27Q.	HUMAN MIXTARD 20 prefilled pen
f27R.	HUMAN MIXTARD 30 prefilled pen
f27S.	HUMAN MIXTARD 40 prefilled pen
f27T.	HUMAN MIXTARD 50 prefilled pen
f27u.	*HUMULIN M5 50/50 vials 10mL
f27x.	HUMULIN M2 20/80 cartridges 3mL
f27y.	INSUMAN COMB 25 100iu/mL injection cartridge 3mL
f27z.	HUMULIN M3 30/70 cartridges 3mL
f27Z.	INSUMAN COMB 25 100iu/mL injection vials 5mL
f286.	INSUMAN COMB 15 100iu/mL injection cartridge 3mL
f287.	INSUMAN COMB 50 100iu/mL injection vials 5mL
f288.	INSUMAN COMB 15 OPTISET 100iu/mL prefilled pen 3mL
f289.	INSUMAN COMB 25 OPTISET 100iu/mL prefilled pen 3mL
f28A.	INSUMAN COMB 50 OPTISET 100iu/mL prefilled pen 3mL
f28B.	INSUMAN COMB 15 100iu/mL injection vials 5mL
f28C.	INSUMAN COMB 50 100iu/mL injection cartridge 3mL
f28E.	HUMULIN M3 KWIKPEN 100iu/mL prefilled pen 3mL
f28F.	INSUMAN COMB 25 SOLOSTAR 100iu/mL prefilled pen 3mL
f291.	INSULIN GLARGINE 100iu/mL injection cartridges
f292.	INSULIN GLARGINE 100iu/mL injection vials
f293.	INSULIN GLARGINE 100iu/mL prefilled pen
f294.	LANTUS 100iu/mL injection cartridges 3mL
f295.	LANTUS 100iu/mL injection vials 10mL
f296.	LANTUS 100iu/mL OptiSet prefilled pen 3mL
f297.	LANTUS 100iu/mL OptiClik cartridges 3mL
f298.	LANTUS 100iu/mL SoloStar prefilled pen 3mL
f299.	TOUJEO 300iu/mL SoloStar prefilled pen 1.5mL
f29A.	INSULIN GLARGINE 300iu/mL prefilled pen
f29B.	ABASAGLAR 100iu/mL solution for injection cartridges 3mL
f29C.	ABASAGLAR KWIKPEN 100iu/mL soln for inj prefilled pen 3mL
f2A1.	LEVEMIR PENFILL 100iu/mL injection cartridges 3mL
f2A2.	LEVEMIR FLEXPEN 100iu/mL prefilled pen 3mL
f2A3.	LEVEMIR INNOLET 100iu/mL prefilled syringe 3mL
f2Ay.	INSULIN DETEMIR 100iu/mL prefilled pen
f2Az.	INSULIN DETEMIR 100iu/mL injection cartridges
f2B1.	TRESIBA FLEXTOUCH 100iu/mL prefilled pen 3mL
f2B2.	INSULIN DEGLUDEC 100iu/mL prefilled pen
f2B3.	TRESIBA FLEXTOUCH 200iu/mL prefilled pen 3mL
f2B4.	INSULIN DEGLUDEC 200iu/mL prefilled pen
f2B5.	TRESIBA PENFILL 100iu/mL injection cartridges
f2B6.	INSULIN DEGLUDEC 100iu/mL injection cartridges
f2C1.	XULTOPHY 100iu/mL/3.6mg/mL soln for inj prefilled pen 3mL
f2C2.	INSULIN DEGLUDEC+LIRAGLUTIDE 100iu/mL/3.6mg/mL soln inj pen
f321.	CHLORPROPAMIDE 100mg tablets
f322.	CHLORPROPAMIDE 250mg tablets
f331.	GLIBENCLAMIDE 2.5mg tablets
f332.	GLIBENCLAMIDE 5mg tablets
f333.	*DAONIL 5mg tablets
f334.	*SEMI-DAONIL 2.5mg tablets
f335.	*EUGLUCON 2.5mg tablets
f336.	*EUGLUCON 5mg tablets
f33d.	*DIABETAMIDE 2.5mg tablets
f33e.	*DIABETAMIDE 5mg tablets
f351.	DIAMICRON 80mg tablets
f352.	DIAGLYK 80mg tablets
f354.	DIAMICRON MR 30mg m/r tablets
f355.	NAZDOL MR 30mg m/r tablets
f357.	ZICRON 40mg tablets
f358.	VITILE XL 30mg m/r tablets
f359.	LAAGLYDA MR 60mg m/r tablets
f35A.	VAMJU 30mg m/r tablets
f35B.	VAMJU 60mg m/r tablets
f35w.	GLICLAZIDE 60mg m/r tablets
f35x.	GLICLAZIDE 40mg tablets
f35y.	GLICLAZIDE 30mg m/r tablets
f35z.	GLICLAZIDE 80mg tablets
f361.	GLIPIZIDE 5mg tablets
f362.	*GLIBENESE 5mg tablets
f363.	*MINODIAB 2.5mg tablets
f364.	MINODIAB 5mg tablets
f36z.	GLIPIZIDE 2.5mg tablets
f371.	*GLURENORM 30mg tablets
f37z.	*GLIQUIDONE 30mg tablets
f3a1.	TOLBUTAMIDE 500mg tablets
f3A1.	GLIMEPIRIDE 2mg tablets
f3A2.	AMARYL 2mg tablets
f3A3.	GLIMEPIRIDE 1mg tablets
f3A4.	GLIMEPIRIDE 3mg tablets
f3A5.	GLIMEPIRIDE 4mg tablets
f3A6.	AMARYL 1mg tablets
f3A7.	AMARYL 3mg tablets
f3A8.	AMARYL 4mg tablets
f3A9.	NIDDARYL 1mg tablets
f3AA.	NIDDARYL 2mg tablets
f3AB.	NIDDARYL 3mg tablets
f3AC.	NIDDARYL 4mg tablets
f411.	GLUCOPHAGE 500mg tablets
f412.	GLUCOPHAGE 850mg tablets
f417.	GLUCOPHAGE SR 500mg m/r tablets
f418.	METSOL 500mg/5mL oral solution
f419.	GLUCOPHAGE SR 750mg m/r tablets
f41A.	GLUCOPHAGE SR 1000mg m/r tablets
f41B.	BOLAMYN SR 500mg m/r tablets
f41C.	GLUCOPHAGE 500mg/sachet oral powder
f41D.	GLUCOPHAGE 1000mg/sachet oral powder
f41E.	METABET SR 500mg m/r tablets
f41F.	METABET SR 1000mg m/r tablets
f41G.	GLUCIENT SR 500mg m/r tablets
f41H.	DIAGEMET XL 500mg m/r tablets
f41I.	SUKKARTO SR 500mg m/r tablets
f41J.	SUKKARTO SR 1000mg m/r tablets
f41s.	METFORMIN HYDROCHLORIDE 1000mg/sachet oral powder
f41t.	METFORMIN HYDROCHLORIDE 500mg/sachet oral powder
f41u.	METFORMIN HYDROCHLORIDE 1000mg m/r tablets
f41x.	METFORMIN HYDROCHLORIDE 500mg m/r tablets
f41y.	METFORMIN HYDROCHLORIDE 500mg tablets
f41z.	METFORMIN HYDROCHLORIDE 850mg tablets
ft11.	ACARBOSE 50mg tablets
ft12.	ACARBOSE 100mg tablets
ft13.	GLUCOBAY 50 tablets
ft14.	GLUCOBAY 100 tablets
ft31.	REPAGLINIDE 0.5mg tablets
ft32.	REPAGLINIDE 1mg tablets
ft33.	REPAGLINIDE 2mg tablets
ft34.	*NOVONORM 0.5mg tablets
ft35.	*NOVONORM 1mg tablets
ft36.	*NOVONORM 2mg tablets
