a45..11	DICYCLOMINE HYDROCHLORIDE
a45z.11	DICYCLOMINE HYDROCHLORIDE 10mg/5mL syrup
a45z.00	DICYCLOVERINE HYDROCHLORIDE 10mg/5mL syrup
a45y.11	DICYCLOMINE HYDROCHLORIDE 10mg tablets
a45y.00	DICYCLOVERINE HYDROCHLORIDE 10mg tablets
a45x.11	DICYCLOMINE HYDROCHLORIDE 20mg tablets
a45x.00	DICYCLOVERINE HYDROCHLORIDE 20mg tablets
a455.00	*MERBENTYL-20 20mg tablets
a454.00	*MERBENTYL 10mg/5mL syrup
a453.00	*MERBENTYL 10mg tablets
a452.00	*KOLANTYL gel
a451.00	KOLANTICON gel
a45..00	DICYCLOVERINE HYDROCHLORIDE
